name,height,p_profession
Joey Lauren Adams,163,"actress,soundtrack,director"
Kaye Adams,170,actress
Kelly Adams,163,actress
Kelly Adams,163,"actress,soundtrack"
Maud Adams,175,"actress,director"
Patrick J. Adams,182,"actor,producer,director"
Ryan Adams,173,"soundtrack,director,actor"
Yolanda Adams,185,"actress,soundtrack,composer"
Ava Addams,159,actress
Chris Addison,188,"producer,actor,writer"
Mark Addy,179,"actor,soundtrack"
Lolly Adefope,163,"actress,writer,producer"
Adele,173,"music_artist,soundtrack,actress"
Zuri Adele,170,actress
Paul Adelstein,186,"actor,producer,writer"
Jovan Adepo,179,"actor,soundtrack"
Israel Adesanya,190,actor
Isabelle Adjani,165,"actress,soundtrack,producer"
Scott Adkins,178,"actor,producer,stunts"
Trace Adkins,198,"music_artist,actor,soundtrack"
Max Adler,182,"actor,producer,soundtrack"
Rebecca Adlington,178,actress
Pamela Adlon,151,"actress,producer,writer"
Uzo Aduba,160,"actress,soundtrack,producer"
Dwayne Adway,193,"actor,producer,director"
Ben Affleck,189,"producer,actor,writer"
Casey Affleck,175,"actor,producer,writer"
Afrojack,202,"soundtrack,composer,actor"
Andre Agassi,180,actor
Nina Agdal,175,actress
Steve Agee,199,"writer,actor,producer"
Keiko Agena,155,"actress,soundtrack,costume_department"
Shohreh Aghdashloo,164,"actress,producer,soundtrack"
Dianna Agron,166,"actress,soundtrack,producer"
Siena Agudong,160,actress
Sergio Agüero,173,actor
Christina Aguilera,156,"music_artist,soundtrack,actress"
Jenny Agutter,169,"actress,soundtrack"
Freema Agyeman,156,actress
Brian Aherne,191,"actor,soundtrack"
Caroline Aherne,157,"actress,writer,producer"
Riz Ahmed,172,"actor,soundtrack,producer"
Jouko Ahola,185,actor
Danny Aiello,188,"actor,producer,soundtrack"
Clay Aiken,184,"soundtrack,actor,producer"
Liam Aiken,175,"actor,camera_department"
Laura Aikman,163,"actress,producer,miscellaneous"
Troy Aikman,192,"actor,writer,producer"
Anthony Ainley,178,actor
Kacey Ainsworth,155,"actress,soundtrack,writer"
Lexi Ainsworth,154,"actress,producer,production_manager"
Donna Air,171,actress
Holly Aird,165,"actress,soundtrack"
Maria Aitken,178,"actress,writer,producer"
David Ajala,183,"actor,producer"
Anna Akana,155,"actress,producer,director"
Malin Akerman,171,"actress,producer,soundtrack"
Adeel Akhtar,168,"actor,soundtrack,miscellaneous"
Jimmy Akingbola,178,"actor,producer"
Gbenga Akinnagbe,175,"actor,producer,writer"
Claude Akins,185,"actor,soundtrack"
Asa Akira,155,"actress,director,miscellaneous"
Akon,178,"music_artist,soundtrack,actor"
Chizzy Akudolu,167,"actress,producer,writer"
Yasmine Al Massri,165,"actress,producer,director"
Marc Alaimo,183,actor
Lauren Alaina,166,"music_artist,soundtrack,actress"
Jessica Alba,168,"actress,producer,cinematographer"
Damon Albarn,180,"soundtrack,actor,composer"
Jodi Albert,165,actress
Lola Albright,165,"actress,soundtrack"
Milly Alcock,157,actress
Alan Alda,188,"actor,miscellaneous,soundtrack"
Rutanya Alda,165,"actress,miscellaneous,writer"
Kristen Alderson,155,"actress,soundtrack"
John Alderton,185,"actor,soundtrack,director"
Sophie Aldred,159,"actress,soundtrack"
Ben Aldridge,185,"actor,soundtrack"
Lily Aldridge,173,actress
Kevin Alejandro,178,"actor,director,producer"
Frank Aletter,177,"actor,soundtrack"
Flex Alexander,192,"actor,producer,miscellaneous"
Ian Alexander,152,"actor,writer"
Jaimie Alexander,173,actress
Jane Alexander,171,"actress,producer,soundtrack"
Jane Alexander,171,"actress,sound_department,miscellaneous"
Jason Alexander,164,"actor,soundtrack,writer"
Jessica Alexander,168,actress
Jessica Alexander,168,actress
Kae Alexander,157,actress
Khandi Alexander,163,actress
Nadia Alexander,152,actress
Olly Alexander,174,"soundtrack,actor,composer"
Pico Alexander,185,"actor,writer,script_department"
Sarah Alexander,162,"actress,writer"
Sarah Alexander,162,miscellaneous
Sasha Alexander,165,"actress,director,producer"
Trent Alexander-Arnold,179,actor
Ajiona Alexus,163,"actress,soundtrack"
Kristian Alfonso,163,actress
Niamh Algar,170,"actress,production_designer,art_department"
Jay Ali,182,actor
Mahershala Ali,187,"actor,producer"
Muhammad Ali,189,"actor,soundtrack,writer"
Tatyana Ali,163,"actress,producer,soundtrack"
Ana Alicia,165,"actress,soundtrack,producer"
Bianca Allaine,177,"actress,producer,writer"
Roger Allam,180,"actor,producer,soundtrack"
Freya Allan,161,actress
Keith Allan,188,"actor,writer,director"
Louise Allbritton,171,actress
Alfie Allen,170,"actor,soundtrack"
Beth Allen,163,actress
Brittany Allen,173,"actress,composer,producer"
Chad Allen,169,"actor,producer"
Crystal Allen,173,actress
Debbie Allen,157,"producer,actress,director"
Fiona Allen,168,"actress,writer"
Hoodie Allen,169,"actor,music_department,composer"
Joan Allen,178,"actress,producer,soundtrack"
Karen Allen,165,"actress,soundtrack,director"
Keith Allen,168,"actor,soundtrack,director"
Kris Allen,167,"soundtrack,composer,actor"
Kyle Allen,178,"actor,camera_department,soundtrack"
Laura Allen,164,actress
Laura Allen,164,"editor,editorial_department"
Lily Allen,157,"music_artist,soundtrack,actress"
Marcus Allen,188,"actor,soundtrack,producer"
Nancy Allen,164,"actress,soundtrack"
Peter Allen,178,"soundtrack,music_department,actor"
Peter Allen,178,actor
Peter Allen,178,actor
Tim Allen,179,"actor,producer,miscellaneous"
Woody Allen,165,"writer,director,actor"
Kirstie Alley,171,"actress,producer,writer"
Jade Alleyne,164,"actress,soundtrack"
Marshall Allman,166,"actor,producer,writer"
Andy Allo,162,"actress,soundtrack"
Kirstie Allsopp,169,soundtrack
June Allyson,152,"actress,soundtrack"
Marc Almond,165,"actor,composer,soundtrack"
Laz Alonso,180,"actor,soundtrack,producer"
Hanna Alström,171,"actress,casting_department"
Carol Alt,179,"actress,producer,miscellaneous"
Emily Althaus,165,"actress,producer"
Summer Altice,178,actress
Josef Altin,167,"actor,soundtrack"
John Altman,180,"music_department,composer,soundtrack"
John Altman,180,"actor,director"
Robert Altman,183,"director,producer,writer"
Robert Altman,183,miscellaneous
Robert Altman,183,"miscellaneous,executive"
Trini Alvarado,165,"actress,soundtrack"
Canelo Álvarez,171,"actor,producer"
Joe Alwyn,185,"actor,soundtrack"
India Amarteifio,168,"actress,miscellaneous"
Dan Amboyer,188,"actor,writer,producer"
Lauren Ambrose,165,"actress,soundtrack,producer"
Alessandra Ambrosio,174,actress
Utkarsh Ambudkar,177,"actor,soundtrack,music_department"
Don Ameche,179,"actor,soundtrack,director"
Aml Ameen,170,"actor,producer,director"
Austin Amelio,180,"actor,director,writer"
Robbie Amell,180,"actor,producer"
Stephen Amell,185,"actor,producer,writer"
Tony Amendola,178,"actor,soundtrack,miscellaneous"
Mädchen Amick,165,"actress,director,producer"
Sonia Ammar,169,actress
John Amos,182,"actor,writer,producer"
Tori Amos,157,"soundtrack,composer,actress"
Nikki Amuka-Bird,170,actress
Susie Amy,170,actress
Kristina Anapau,160,"actress,producer,writer"
Anastacia,157,"soundtrack,actress,composer"
Elena Anaya,161,"actress,producer,soundtrack"
Ronni Ancona,177,"actress,writer,producer"
Mini Anden,178,"actress,producer"
Andrea Anders,165,"actress,producer,soundtrack"
David Anders,182,"actor,soundtrack"
Amber Anderson,177,"actress,soundtrack"
Angry Anderson,156,"actor,soundtrack,composer"
Anthony Anderson,175,"actor,producer,soundtrack"
Anthony Anderson,175,actor
Audrey Marie Anderson,168,actress
Blake Anderson,178,"actor,writer,producer"
Brett Anderson,183,"soundtrack,actress,composer"
Brett Anderson,183,"soundtrack,actor,music_department"
Clive Anderson,177,"writer,actor"
Daryl Anderson,193,"actor,producer"
Ella Anderson,157,"actress,soundtrack,writer"
Esther Anderson,170,"actress,editor"
Gillian Anderson,158,"actress,producer,soundtrack"
Gillian Anderson,158,actress
Harry Anderson,192,"actor,soundtrack,writer"
Harry Anderson,192,actor
Jacob Anderson,175,"actor,soundtrack"
Jan Anderson,152,"actress,producer"
Joe Anderson,181,"producer,camera_department,director"
Joe Anderson,181,"actor,soundtrack,music_department"
Joe Anderson,181,"miscellaneous,art_department"
Jon Anderson,165,"soundtrack,actor,composer"
Kevin Anderson,201,"actor,soundtrack,stunts"
Kevin Anderson,201,"writer,director,editor"
Loni Anderson,168,"actress,soundtrack"
Megan Anderson,180,actress
Megan Anderson,180,actress
Megan Anderson,180,actress
Melissa Sue Anderson,160,"actress,producer,soundtrack"
Melody Anderson,168,actress
Natalie Anderson,163,actress
Natalie Anderson,163,"actress,producer,writer"
Nicole Gale Anderson,157,actress
Pamela Anderson,165,"actress,producer,director"
Paul Anderson,177,actor
Paul Anderson,177,"editor,editorial_department,producer"
Paul Anderson,177,"visual_effects,animation_department,art_director"
Paul Anderson,177,actor
Paul Anderson,177,"director,writer,producer"
Paul Thomas Anderson,179,"director,writer,producer"
Richard Anderson,191,"actor,producer"
Richard Dean Anderson,187,"actor,producer,soundtrack"
Samuel Anderson,178,"actor,producer"
Shamier Anderson,187,"actor,producer,writer"
Tori Anderson,174,"actress,soundtrack"
Wes Anderson,185,"writer,director,producer"
Bibi Andersson,163,"actress,soundtrack"
Sophie Anderton,175,actress
Paola Andino,161,actress
Adjoa Andoh,163,"actress,writer,producer"
Fernanda Andrade,164,"actress,producer,soundtrack"
Annette Andre,160,"actress,soundtrack"
Peter Andre,172,"soundtrack,actor,composer"
Ursula Andress,165,"actress,soundtrack"
Cooper Andrews,185,"actor,sound_department,camera_department"
Dana Andrews,178,"actor,soundtrack"
Dean Andrews,175,"actor,soundtrack"
Erin Andrews,178,"actress,writer,soundtrack"
Julie Andrews,170,"actress,soundtrack,writer"
Naveen Andrews,171,actor
Sebastien Andrieu,185,actor
Michelle Ang,160,"actress,soundtrack,director"
Michael Angarano,168,"actor,director,writer"
Asher Angel,177,"actor,soundtrack"
Criss Angel,180,"producer,director,writer"
Vanessa Angel,173,actress
Vanessa Angel,173,actress
Angelababy,164,"actress,soundtrack"
Pier Angeli,152,"actress,soundtrack"
Genevieve Angelson,163,"actress,writer,special_effects"
Anggun,163,"soundtrack,actress,composer"
Kurt Angle,178,"actor,producer,stunts"
Christien Anholt,168,"actor,producer,director"
Jennifer Aniston,164,"actress,producer,soundtrack"
Nicole Aniston,160,actress
Anitta,156,"music_artist,actress,music_department"
Evelyn Ankers,166,"actress,soundtrack"
Lisa Ann,156,"actress,director,producer"
Dave Annable,175,"actor,soundtrack"
Odette Annable,174,"actress,soundtrack"
Chloë Annett,163,"actress,soundtrack"
Francesca Annis,163,actress
Nonso Anozie,196,"actor,producer"
Aziz Ansari,167,"actor,writer,producer"
Ant Anstead,188,"actor,producer"
Adam Ant,173,"soundtrack,actor,composer"
Carmelo Anthony,199,"producer,actor"
La La Anthony,166,"actress,writer,producer"
Lysette Anthony,166,"actress,producer"
Marc Anthony,168,"music_artist,soundtrack,actor"
Marc Anthony,168,actor
Christian Antidormi,170,actor
Vinessa Antoine,168,actress
Susan Anton,180,"actress,soundtrack,producer"
Jason Antoon,173,"actor,writer,producer"
Gabrielle Anwar,157,"actress,producer,soundtrack"
Mina Anwar,157,"actress,director"
Devon Aoki,165,"actress,producer"
K.J. Apa,180,"actor,soundtrack,producer"
Judd Apatow,177,"producer,writer,director"
Maude Apatow,163,"actress,soundtrack,director"
Fiona Apple,157,"soundtrack,actress,composer"
Elisha Applebaum,160,"actress,producer,director"
Shiri Appleby,159,"actress,director,producer"
Christina Applegate,165,"actress,producer,soundtrack"
Alistair Appleton,185,actor
Amy Aquino,173,"actress,producer,soundtrack"
Julian Arahanga,171,"director,producer,actor"
Robert Aramayo,175,actor
Nathaniel Arcand,180,"actor,director,stunts"
Anne Archer,168,"actress,producer,soundtrack"
Jeffrey Archer,177,"writer,actor"
Melissa Archer,164,"actress,writer,producer"
David Archuleta,165,"actor,soundtrack,composer"
Leila Arcieri,160,actress
Manuela Arcuri,171,actress
Hanna Ardéhn,170,actress
Alicia Arden,163,actress
Eve Arden,173,"actress,soundtrack"
Tina Arena,157,"soundtrack,actress,composer"
Lee Arenberg,162,"actor,writer,director"
Camilla Arfwedson,170,actress
Luca Argentero,183,"actor,producer,miscellaneous"
Asia Argento,165,"actress,director,writer"
Carmen Argenziano,179,"actor,producer"
Nina Arianda,173,actress
Silvana Arias,155,"actress,casting_department,casting_director"
Jonathan Aris,179,actor
Amir Arison,182,"actor,producer,director"
Adria Arjona,165,"actress,producer"
Adam Arkin,185,"actor,director,producer"
Alan Arkin,177,"actor,soundtrack,director"
George Arliss,170,"actor,writer,soundtrack"
Emily Arlook,168,"actress,writer"
Lindsay Armaou,165,"soundtrack,actress,composer"
Jasmine Armfield,160,"actress,soundtrack"
Fred Armisen,173,"music_department,actor,writer"
Richard Armitage,189,"actor,soundtrack"
Alexander Armstrong,180,"actor,writer,producer"
Alun Armstrong,178,"actor,soundtrack"
Bess Armstrong,163,actress
Billie Joe Armstrong,170,"soundtrack,actor,composer"
Curtis Armstrong,163,"actor,soundtrack,producer"
Joe Armstrong,178,actor
Jonas Armstrong,182,actor
Kerry Armstrong,166,"actress,soundtrack"
Lance Armstrong,175,"actor,miscellaneous"
Louis Armstrong,167,"music_artist,soundtrack,actor"
Matthew John Armstrong,178,actor
Samaire Armstrong,161,"actress,soundtrack,director"
Todd Armstrong,192,actor
Vaughn Armstrong,183,"actor,miscellaneous"
Desi Arnaz,177,"producer,actor,production_manager"
Lucie Arnaz,174,"actress,soundtrack,producer"
James Arness,198,"actor,producer,miscellaneous"
Will Arnett,189,"actor,producer,writer"
Nora Arnezeder,174,"actress,soundtrack"
Dylan Arnold,180,"actor,producer"
Luke Arnold,173,"actor,director,writer"
Tichina Arnold,165,"actress,soundtrack,producer"
Tom Arnold,185,"actor,producer,writer"
David Arquette,177,"producer,actor,director"
Patricia Arquette,156,"actress,producer,director"
Rosanna Arquette,162,"actress,producer,director"
Gemma Arterton,170,"actress,producer,soundtrack"
James Arthur,188,actor
James Arthur,188,"music_artist,soundtrack,actor"
Jean Arthur,160,"actress,soundtrack"
Madeleine Arthur,163,actress
Owain Arthur,173,actor
Kelsey Asbille,168,"actress,producer"
Katie Aselton,169,"actress,producer,director"
Lauren Ash,170,"actress,writer,miscellaneous"
Leslie Ash,166,"actress,producer"
Peter Ash,168,actor
Ashanti,160,"music_artist,actress,soundtrack"
Dana Ashbrook,183,"actor,writer"
Linden Ashby,180,"actor,director"
Nick E. Tarabay,179,actor
Richard Ashcroft,180,"soundtrack,actor,composer"
Dina Asher-Smith,163,actress
Kate Ashfield,166,"actress,writer,producer"
Annaleigh Ashford,163,"actress,music_department,soundtrack"
Elizabeth Ashley,165,actress
Elizabeth Ashley,165,actress
Simone Ashley,173,actress
Aaron Ashmore,182,"actor,producer"
Shawn Ashmore,180,"actor,producer"
George Eads,177,"actor,soundtrack,producer"
Bobbie Eakes,163,"actress,soundtrack"
Michael Ealy,178,"actor,producer"
David Earl,178,"composer,music_department"
Holly Earl,152,actress
Jason Earles,161,"actor,producer,director"
Dale Earnhardt Jr.,178,"producer,actor,transportation_department"
Fleur East,161,"soundtrack,actress"
Leslie Easterbrook,173,"actress,soundtrack,producer"
Rodney Eastman,171,"actor,soundtrack"
Michael Easton,181,"actor,writer,director"
Michael Easton,181,"composer,music_department"
Sheena Easton,154,"actress,soundtrack"
Clint Eastwood,192,"actor,producer,director"
Francesca Eastwood,165,actress
Zlatan Ibrahimovic,194,"actor,writer"
Vanilla Ice,181,"soundtrack,actor,composer"
Eric Idle,184,"actor,writer,soundtrack"
Billy Idol,175,"music_artist,soundtrack,actor"
Damson Idris,185,"actor,producer"
Rhys Ifans,188,"actor,soundtrack,producer"
Iggy Pop,169,"music_artist,soundtrack,actor"
Enrique Iglesias,187,"music_artist,soundtrack,composer"
Gabriel Iglesias,173,"actor,producer,writer"
Julio Iglesias,183,"music_artist,soundtrack,actor"
Melanie Iglesias,166,actress
John Ashton,179,"actor,soundtrack"
John Ashton,179,actor
Zawe Ashton,178,"actress,producer,writer"
Roger Ashton-Griffiths,174,"actor,writer,director"
Michael Aspel,175,"actor,writer,soundtrack"
Jennifer Aspen,163,"actress,producer,writer"
Josefin Asplund,169,actress
Julian Assange,188,"producer,director,writer"
Armand Assante,177,"actor,soundtrack,producer"
Fred Astaire,175,"soundtrack,actor,miscellaneous"
John Astin,180,"actor,director,soundtrack"
Sean Astin,168,"actor,producer,director"
Scott Eastwood,180,"actor,producer,miscellaneous"
Courtney Eaton,177,actress
Meredith Eaton,122,"actress,soundtrack,miscellaneous"
Shirley Eaton,168,"actress,soundtrack,stunts"
Selita Ebanks,171,"actress,producer"
Elise Eberle,167,actress
Christine Ebersole,177,"actress,soundtrack"
Roger Ebert,171,"writer,actor,producer"
Eriq Ebouaney,186,actor
Robert Iler,166,actor
Annie Ilonzeh,169,"actress,producer"
Iman,174,"producer,actress"
Chanel Iman,175,actress
Natalie Imbruglia,160,"actress,soundtrack,writer"
Ciro Immobile,182,actor
Sabrina Impacciatore,159,"actress,writer,soundtrack"
Skylar Astin,175,"actor,soundtrack"
Rick Astley,175,"soundtrack,actor,composer"
Sam Aston,166,actor
Gertrude Astor,171,"actress,soundtrack"
Mary Astor,166,"actress,soundtrack"
Emily Atack,168,"actress,writer,soundtrack"
Moran Atias,175,"actress,producer,soundtrack"
Aure Atika,173,"actress,director,writer"
Sheila Atim,182,"actress,composer,sound_department"
Christopher Atkins,178,"actor,writer,producer"
Eileen Atkins,169,"actress,writer,miscellaneous"
Emma Atkins,168,actress
Buddy Ebsen,191,"actor,soundtrack,producer"
Christopher Eccleston,182,actor
Paula Echevarría,166,actress
Aaron Eckhart,180,"actor,producer,soundtrack"
Jenny Eclair,163,"actress,writer"
Herb Edelman,196,"actor,soundtrack,assistant_director"
Julian Edelman,177,"actor,producer,executive"
Lisa Edelstein,168,"actress,producer,writer"
Daisy Edgar-Jones,168,"actress,soundtrack"
Michael Imperioli,172,"actor,writer,producer"
Celia Imrie,166,"actress,soundtrack"
Carrie Ann Inaba,168,"actress,miscellaneous,producer"
Indigo,164,actress
Indila,157,"actress,composer,writer"
Ralph Ineson,188,"actor,soundtrack"
Lee Ingleby,175,"actor,writer"
Laura Ingraham,166,"writer,producer,actress"
Kerry Ingram,156,"actress,soundtrack"
Moses Ingram,169,"actress,writer"
Andrés Iniesta,171,"actor,miscellaneous"
John Inman,168,"actor,soundtrack"
Inna,160,actress
Inna,160,actress
Inna,160,"actress,composer,soundtrack"
Inna,160,actress
Essence Atkins,157,"actress,producer,director"
Lexi Atkins,170,actress
Sharif Atkins,184,"actor,director,producer"
Tom Atkins,180,actor
Dorothy Atkinson,157,"actress,soundtrack"
Gemma Atkinson,175,actress
Jayne Atkinson,168,"actress,producer,soundtrack"
Kate Atkinson,157,"writer,producer,script_department"
Kate Atkinson,157,actress
Rebecca Atkinson,168,actress
Ron Atkinson,183,actor
Rowan Atkinson,181,"actor,writer,soundtrack"
David Attenborough,178,"writer,producer,director"
Richard Attenborough,169,"actor,producer,director"
Joel Edgerton,180,"actor,producer,writer"
Gigi Edgley,166,"actress,producer,director"
Noel Edmonds,170,"writer,actor,soundtrack"
Adrian Edmondson,177,"actor,writer,music_department"
Matt Edmondson,171,"writer,producer"
Beatie Edney,157,"actress,soundtrack"
Aimee-Ffion Edwards,155,"actress,soundtrack"
Allegra Edwards,178,"actress,soundtrack"
Anthony Edwards,188,"actor,producer,director"
Anthony Edwards,188,actor
Charles Edwards,184,actor
Laura Innes,163,"actress,director,writer"
John Inverdale,178,actor
Ally Ioannides,159,actress
Michael Irby,168,"actor,stunts,producer"
Jill Ireland,170,"actress,producer,writer"
Kathy Ireland,178,"actress,soundtrack"
Hayley Atwell,168,"actress,soundtrack"
Roman Atwood,173,"actor,producer,director"
Rene Auberjonois,183,"actor,director,soundtrack"
K.D. Aubert,175,"actress,producer"
Juliet Aubrey,173,"actress,soundtrack"
Tony Audenshaw,173,actor
Nadja Auermann,180,actress
Claudine Auger,173,"actress,soundtrack"
Gareth Edwards,171,"producer,writer,script_department"
Gareth Edwards,171,actor
Gareth Edwards,171,"visual_effects,director,writer"
Perrie Edwards,160,"actress,soundtrack,director"
Reign Edwards,165,"actress,soundtrack"
Zac Efron,173,"actor,producer,soundtrack"
Christopher Egan,175,"actor,assistant_director"
Kian Egan,173,"actor,soundtrack"
Melissa Claire Egan,160,actress
Peter Egan,187,"actor,director,cinematographer"
Susan Egan,161,"actress,soundtrack"
Julie Ege,168,actress
Tamsin Egerton,178,actress
Taron Egerton,175,"actor,producer,soundtrack"
Nicole Eggert,156,"actress,producer"
Ryan Eggold,183,"actor,producer,director"
Gretchen Egolf,175,"actress,director,editor"
Jennifer Ehle,170,actress
Alden Ehrenreich,173,"actor,director,writer"
Monica Irimia,168,"actress,soundtrack"
Jeremy Irons,187,"actor,soundtrack,producer"
Max Irons,189,actor
Michael Ironside,177,"actor,producer,writer"
Britt Irvin,163,"actress,producer,soundtrack"
Michael Irvin,188,"actor,writer,producer"
Jeremy Irvine,182,"actor,soundtrack"
Amy Irving,163,"actress,soundtrack,producer"
Kyrie Irving,187,"actor,director,writer"
Ashton Irwin,179,"actor,soundtrack,composer"
Bindi Irwin,150,"actress,soundtrack"
Pernilla August,163,"actress,director,writer"
Scott Aukerman,189,"producer,writer,actor"
Tina Aumont,168,actress
Alana Austin,170,actress
Coco Austin,156,"actress,writer,producer"
Mark Austin,191,actor
Mark Austin,191,"cinematographer,camera_department,assistant_director"
Tracy Austin,163,"miscellaneous,actress"
Daniel Auteuil,170,"actor,director,writer"
Frankie Avalon,168,"soundtrack,actor,producer"
Erick Avari,173,"actor,director,writer"
Elise Avellan,166,actress
Max Ehrich,171,"actor,soundtrack"
Billy Eichner,191,"actor,writer,producer"
Jennifer Irwin,169,"actress,writer"
Steve Irwin,179,"writer,actor,soundtrack"
Tom Irwin,180,actor
Oscar Isaac,171,"actor,producer,soundtrack"
Jason Isaacs,180,"actor,producer,director"
Chris Isaak,184,"music_artist,soundtrack,actor"
Katharine Isabelle,165,actress
Madison Iseman,155,actress
James Avery,194,"actor,soundtrack,producer"
Marie Avgeropoulos,165,"actress,stunts"
Avicii,178,"music_artist,soundtrack,composer"
Mili Avital,163,"actress,director,editor"
Awkwafina,155,"actress,writer,producer"
Nicki Aycox,163,"actress,composer"
Dan Aykroyd,185,"writer,actor,producer"
Reiko Aylesworth,163,"actress,director,producer"
Richard Ayoade,187,"actor,writer,director"
Deborah Ayorinde,161,actress
Lew Ayres,177,"actor,soundtrack,director"
Laëtitia Eïdo,174,"actress,writer,art_department"
David Eigenberg,170,actor
Billie Eilish,160,"music_artist,soundtrack,composer"
Albert Einstein,171,writer
Aron Eisenberg,150,"actor,producer,editor"
Jesse Eisenberg,171,"actor,writer,producer"
India Eisley,161,actress
Luke Eisner,188,"actor,soundtrack,music_department"
Chiwetel Ejiofor,178,"actor,soundtrack,director"
Carmen Ejogo,168,"actress,soundtrack,producer"
Victoria Ekanoye,168,actress
Anita Ekberg,169,"actress,miscellaneous"
Britt Ekland,165,"actress,director,writer"
Jack Elam,183,"actor,soundtrack"
Idris Elba,189,"actor,producer,writer"
Emma Ishta,178,"actress,producer,director"
Kate Isitt,168,actress
Samantha Isler,157,"actress,soundtrack"
John Isner,208,actor
Robert Ito,171,"actor,miscellaneous"
Gregory Itzin,176,actor
Zeljko Ivanek,169,"actor,producer,miscellaneous"
Allen Iverson,180,"actor,producer"
Burl Ives,183,"music_artist,actor,soundtrack"
Madison Ivy,150,actress
Chukwudi Iwuji,174,"actor,writer"
Lorenza Izzo,170,"actress,soundtrack"
Afshan Azad,164,actress
Iggy Azalea,177,"soundtrack,actress,composer"
Victoria Azarenka,180,actress
Hank Azaria,180,"actor,soundtrack,producer"
Valerie Azlynn,175,"actress,producer,writer"
Dana Elcar,184,"actor,director"
Ron Eldard,179,"actor,soundtrack"
Brett Eldredge,192,"music_artist,soundtrack,actor"
Carmen Electra,159,"actress,soundtrack,producer"
Erika Eleniak,166,actress
Jenna Elfman,178,"actress,producer,soundtrack"
Ansel Elgort,191,"actor,producer,soundtrack"
Sapphire Elia,159,"actress,soundtrack"
Christine Elise,164,"actress,producer,writer"
Kimberly Elise,170,"actress,soundtrack,executive"
Shannon Elizabeth,174,"actress,producer,director"
Hector Elizondo,177,"actor,soundtrack,director"
Lindsay Ell,160,"actress,composer,music_department"
Lindsay Ellingson,179,actress
Cass Elliot,165,"soundtrack,actress"
Abby Elliott,169,"actress,soundtrack,writer"
Alison Elliott,169,make_up_department
Alison Elliott,169,"actress,soundtrack"
Alison Elliott,169,actress
Brennan Elliott,179,"actor,producer,soundtrack"
Chris Elliott,183,"actor,writer,producer"
Denholm Elliott,179,"actor,soundtrack"
Emun Elliott,173,actor
Harvey Elliott,168,"producer,miscellaneous,actor"
Missy Elliott,155,"music_artist,soundtrack,actress"
Sam Elliott,188,"actor,producer,soundtrack"
Jack Ellis,184,actor
Jack Ellis,184,actor
Janet Ellis,159,"actress,miscellaneous,producer"
Jay Ellis,192,"actor,producer,writer"
Mary Elizabeth Ellis,163,"actress,writer,producer"
Nadine Ellis,168,actress
Nelsan Ellis,176,"actor,producer,writer"
Richard Ellis,184,actor
Cardi B,155,"music_artist,soundtrack,actress"
Karol G,161,"music_artist,actress,composer"
Chuck D,174,"soundtrack,music_department,actor"
Danielle C. Ryan,159,"actress,producer,sound_department"
Robin Ellis,187,"actor,soundtrack"
Tom Ellis,191,actor
Tom Ellis,191,"actor,soundtrack,producer"
Jennifer Ellison,168,"actress,soundtrack"
Rebekah Elmaloglou,152,actress
Jacob Elordi,196,"actor,writer,producer"
Nabil Elouahabi,170,"actor,producer"
Michael Elphick,178,actor
Michael Elphick,178,"cinematographer,camera_department,editorial_department"
Karen Elson,173,"soundtrack,actress,miscellaneous"
