anime name,name,Birthday,Age,Gender,Blood Type,Height,category
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Pinako Rockbell,,,Female,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Scar,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Izumi Curtis,,35-36,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Roy Mustang,1885,29-32,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Maes Hughes,1885,29,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Riza Hawkeye,,,Female,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Greed,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Lust,,250,Female,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Envy,,~175,Non-binary,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Alex Louis Armstrong,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Grand Basque,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Lan Fan,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Ling Yao,,15,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Shou Tucker,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Olivier Mira Armstrong,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Nina Tucker,,5,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Jean Havoc,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,King Bradley,"Aug 24, 1854",59-60,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Gluttony,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Barry the Chopper,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Kain Fuery,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Vato Falman,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Rosé Tomas,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Black Hayate,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Sheska,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Martel,,,Female,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Maria Ross,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Van Hohenheim,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Trisha Elric,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Cornello,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Cray,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Gracia Hughes,,,Female,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Marcoh Tim,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Rick,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Number 48,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Dolcetto,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Roa,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Bido,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Shifu,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Sig Curtis,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Paninya,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Dominic LeCoulte,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Mason,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Selim Bradley,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Grumman,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,May Chang,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Jerso,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Zampano,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Heinkel,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Darius,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Miles,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Buccaneer,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Flask no Homunculus,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Sloth,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Heymans Breda,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Rebecca Catalina,,,Female,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Kathleen Elle Armstrong,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Isaac McDougal,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Hakuro,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Yoki,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Elicia Hughes,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Denny Brosh,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Shao May,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Foo,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Den,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Scar Ani,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Knox,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Madame Christmas,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Shinri,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Bradley-fujin,,,Female,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Garfiel,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Shan,,,Female,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Narrator,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Raven,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Neil,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Charlie,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Damiano,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Philip Gargantos Armstrong,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Berthold Hawkeye,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Joi,,,Female,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Henry Douglas,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Karley,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Satella LeCoulte,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Ridel LeCoulte,,,,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Gardner,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Edison,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Klemin,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Henschel,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Focker,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Giolio Comanche,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Kinba Isha,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Tetsu,,,Male,,,fictional
Hagane no Renkinjutsushi FULLMETAL ALCHEMIST,Knox no Musuko,,,Male,,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Kaguya Shinomiya,"Jan 1, 2003",17,Female,AB,158,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Miyuki Shirogane,"Sep 9, 2002",17,Male,O,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Yuu Ishigami,Mar 3,15-16,Male,O,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Chika Fujiwara,Mar 3,17,Female,O,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Miko Iino,May 5,16,Female,O,147,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Ai Hayasaka,Apr 2,17-18,Female,AB,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Kei Shirogane,Aug 1,14,Female,B,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Erika Kose,,,Female,,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Tsubame Koyasu,Apr 4,18,Female,A,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Maki Shijo,Jan 1,17,Female,AB,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Moeha Fujiwara,Jun 26,14,Female,AB,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Nagisa Kashiwagi,Jun 25,17,Female,B,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Kobachi Osaragi,Jun 6,16,Female,B,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Adolphe Pescarolo,,,,,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Shirogane no Chichi,,,Male,,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Saburo Odajima,,,Male,,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Rei Onodera,May 17,16,Female,O,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Kazeno,,,Male,,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Terashima,,,Female,,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Daichi Fujiwara,,,Male,,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Zen Seito Kaichou,,,Male,,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Momo Ryuuju,,,Female,,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Gou Kazamatsuri,,,Male,,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Nao Hayasaka,,,Female,,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,J Suzuki,,,Male,,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Saburou Toyosaki,,,Male,,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Fujiwara Sofu,,,Male,,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Yume Atenbo,,,Female,,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Masaru Kobayashi,,,Male,,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Teppei Tanaka,,,Male,,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Daiki Satou,,,Male,,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Ouji,,,Male,,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Jinbouchou no Glutton Girl,,,Female,,,fictional
Kaguyasama wa Kokurasetai Ultra Romantic,Takahiko Tanuma,,93,Male,,,fictional
Shingeki no Kyojin 3 Part 2,Eren Yeager,Mar 30,15-19,Male,,170,fictional
Shingeki no Kyojin 3 Part 2,Mikasa Ackerman,Feb 10,15-19,Female,,170,fictional
Shingeki no Kyojin 3 Part 2,Armin Arlert,Nov 3,"15 (850), 19 (854)",Male,,163,fictional
Shingeki no Kyojin 3 Part 2,Levi,Dec 25,Over 30,Male,,160,fictional
Shingeki no Kyojin 3 Part 2,Erwin Smith,Oct 14,,Male,,188,fictional
Shingeki no Kyojin 3 Part 2,Sasha Blouse,Jul 26,16-20,Female,,,fictional
Shingeki no Kyojin 3 Part 2,Reiner Braun,Aug 1,17-21,Male,,185,fictional
Shingeki no Kyojin 3 Part 2,Connie Springer,May 2,15,Male,,158,fictional
Shingeki no Kyojin 3 Part 2,Bertolt Hoover,Dec 30,16,Male,,192,fictional
Shingeki no Kyojin 3 Part 2,Annie Leonhart,Mar 22,16-20,Female,,153,fictional
Shingeki no Kyojin 3 Part 2,Jean Kirstein,Apr 7,"16, 19",Male,,175,fictional
Shingeki no Kyojin 3 Part 2,Carla Yeager,Jan 29,,Female,,,fictional
Shingeki no Kyojin 3 Part 2,Grisha Yeager,Jan 26,39,Male,,,fictional
Shingeki no Kyojin 3 Part 2,Marco Bott,Jun 16,16,Male,,178,fictional
Shingeki no Kyojin 3 Part 2,Krista Lenz,Jan 15,15; 19,Female,,145,fictional
Shingeki no Kyojin 3 Part 2,Dot Pixis,,,Male,,,fictional
Shingeki no Kyojin 3 Part 2,Hange Zoe,Sep 5,,,,170,fictional
Shingeki no Kyojin 3 Part 2,Nile Dok,Nov 1,,,,,fictional
Shingeki no Kyojin 3 Part 2,Darius Zackly,,,,,,fictional
Shingeki no Kyojin 3 Part 2,Marlo Freudenberg,Feb 28,,Male,,,fictional
Shingeki no Kyojin 3 Part 2,Ymir,Feb 17,,Female,,172,fictional
Shingeki no Kyojin 3 Part 2,Gustav,,,,,,fictional
Shingeki no Kyojin 3 Part 2,Anka Rheinberger,,,,,,fictional
Shingeki no Kyojin 3 Part 2,Hitch Dreyse,May 10,,Female,,168,fictional
Shingeki no Kyojin 3 Part 2,Zeke,Aug 1,25-29,Male,,183,fictional
Shingeki no Kyojin 3 Part 2,Moblit Berner,Apr 24,,Male,,,fictional
Shingeki no Kyojin 3 Part 2,Floch Forster,,,Male,,,fictional
Shingeki no Kyojin 3 Part 2,Harold,,,,,,fictional
Shingeki no Kyojin 3 Part 2,Dirk,,,,,,fictional
Shingeki no Kyojin 3 Part 2,Roy,,,Male,,,fictional
Shingeki no Kyojin 3 Part 2,Pierre,Feb 28,,Male,,,fictional
Shingeki no Kyojin 3 Part 2,Klaus,,,,,,fictional
Shingeki no Kyojin 3 Part 2,Marlene,,,,,,fictional
Shingeki no Kyojin 3 Part 2,Eren Krueger,Apr 5,,Male,,,fictional
Shingeki no Kyojin 3 Part 2,Fay Yeager,,,,,,fictional
Shingeki no Kyojin 3 Part 2,Dina Fritz,,,,,,fictional
Shingeki no Kyojin 3 Part 2,Gross,,,,,,fictional
Shingeki no Kyojin 3 Part 2,Sandra,Apr 10,,Female,,,fictional
Shingeki no Kyojin 3 Part 2,Gordon,,,Male,,,fictional
Shingeki no Kyojin 3 Part 2,Grice,,,,,,fictional
Shingeki no Kyojin 3 Part 2,Grisha no Chichi Yeager,,,Male,,,fictional
Shingeki no Kyojin 3 Part 2,Grisha no Haha Yeager,,,Female,,,fictional
Shingeki no Kyojin 3 Part 2,Tom Ksaver,Mar 20,,Male,,,fictional
Shingeki no Kyojin 3 Part 2,Peering Titan,,,,,,fictional
Shingeki no Kyojin 3 Part 2,Rod Reiss,,,,,,fictional
Shingeki no Kyojin 3 Part 2,Kenny Ackerman,Feb 4,,Male,,,fictional
Shingeki no Kyojin 3 Part 2,Uri Reiss,Dec 31,,Male,,,fictional
Shingeki no Kyojin 3 Part 2,Frieda Reiss,Feb 2,,Female,,,fictional
3gatsu no Lion 2,Rei Kiriyama,Apr 26,,Male,,,fictional
3gatsu no Lion 2,Hinata Kawamoto,Dec 6,,Female,,,fictional
3gatsu no Lion 2,Akari Kawamoto,Jun 3,22-23,Female,,,fictional
3gatsu no Lion 2,Momo Kawamoto,Aug 10,3,Female,,,fictional
3gatsu no Lion 2,Touji Souya,,,Male,,,fictional
3gatsu no Lion 2,Masachika Kouda,,,Male,,,fictional
3gatsu no Lion 2,Kyouko Kouda,,,Female,,,fictional
3gatsu no Lion 2,Ayumu Kouda,,,Male,,,fictional
3gatsu no Lion 2,Harunobu Nikaidou,,,Male,,,fictional
3gatsu no Lion 2,Tatsuyuki Misumi,,,Male,,,fictional
3gatsu no Lion 2,Yuusuke Takahashi,,,Male,,,fictional
3gatsu no Lion 2,Someji Kawamoto,,,Male,,,fictional
3gatsu no Lion 2,Hanaoka,,,Male,,,fictional
3gatsu no Lion 2,Misaki,,,Female,,,fictional
3gatsu no Lion 2,Masamune Gotou,,,Male,,,fictional
3gatsu no Lion 2,Kai Shimada,,,Male,,,fictional
3gatsu no Lion 2,Takashi Hayashida,,,Male,,,fictional
3gatsu no Lion 2,Kokubu-sensei,,,Male,,,fictional
3gatsu no Lion 2,Sakutarou Yanagihara,,,Male,,,fictional
3gatsu no Lion 2,Tannin,,,Female,,,fictional
3gatsu no Lion 2,Megumi Takagi,,,Female,,,fictional
3gatsu no Lion 2,Noguchi Eisaku,,,Male,,,fictional
3gatsu no Lion 2,Morio Shigeta,,,Male,,,fictional
3gatsu no Lion 2,Okuyasu Yokomizo,,,Male,,,fictional
3gatsu no Lion 2,Takanori Jinguuji,,,Male,,,fictional
3gatsu no Lion 2,Yuusuke no Chichi,,,Male,,,fictional
3gatsu no Lion 2,Kouda no Tsuma,,,Female,,,fictional
3gatsu no Lion 2,Raidou Fujimoto,,,Male,,,fictional
3gatsu no Lion 2,Takeshi Tsujii,,,Male,,,fictional
3gatsu no Lion 2,Gakuto Sakurai,,,Male,,,fictional
3gatsu no Lion 2,Chiho Sakura,,,Female,,,fictional
HUNTERHUNTER 2011,Killua Zoldyck,Jul 7,11 (beginning); 14-15 (current),Male,A,158,fictional
HUNTERHUNTER 2011,Kurapika,Apr 4,,Male,AB,171,fictional
HUNTERHUNTER 2011,Leorio Paradinight,Mar 3,19,Male,O,193,fictional
HUNTERHUNTER 2011,Gon Freecss,May 5,"11 (beginning), 14-15 (current)",Male,B,154,fictional
HUNTERHUNTER 2011,Hisoka Morow,Jun 6,28,Male,B,187,fictional
HUNTERHUNTER 2011,Ging Freecss,,31-32,Male,,176,fictional
HUNTERHUNTER 2011,Illumi Zoldyck,,24,Male,A,185,fictional
HUNTERHUNTER 2011,Chrollo Lucilfer,,26,Male,AB,177,fictional
HUNTERHUNTER 2011,Zeno Zoldyck,,,,,,fictional
HUNTERHUNTER 2011,Silva Zoldyck,,,,,,fictional
HUNTERHUNTER 2011,Feitan Portor,Dec 17,,Male,,,fictional
HUNTERHUNTER 2011,Bonolenov Ndongo,,,,,,fictional
HUNTERHUNTER 2011,Franklin Bordeaux,,,,,,fictional
HUNTERHUNTER 2011,Kortopi,,,,,,fictional
HUNTERHUNTER 2011,Machi Komacine,,24,Female,,159,fictional
HUNTERHUNTER 2011,Nobunaga Hazama,Sep 8,,Male,B,,fictional
HUNTERHUNTER 2011,Shalnark Ryuseih,,,,,,fictional
HUNTERHUNTER 2011,Shizuku Murasaki,,,,,,fictional
HUNTERHUNTER 2011,Phinks Magcub,,,,,,fictional
HUNTERHUNTER 2011,Pakunoda,,,Female,,,fictional
HUNTERHUNTER 2011,Uvogin,,,,,,fictional
HUNTERHUNTER 2011,Baka Ki El Dogra,,,,,,fictional
HUNTERHUNTER 2011,Menchi,,,,,,fictional
HUNTERHUNTER 2011,Kalluto Zoldyck,,,Male,,,fictional
HUNTERHUNTER 2011,Leroute,,,,,,fictional
HUNTERHUNTER 2011,Neferpitou,,,Non-binary,,,fictional
