Category,Name,Height
Dragon Ball,Ramushi the Destroyer,213
Dragon Ball,King Yemma,1200
Dragon Ball,Broly,274
Dragon Ball,Mosco the Destroyer,335
Dragon Ball,Marron,152
Dragon Ball,Sour,236
Dragon Ball,Shenron,50000
Dragon Ball,Toppo,205
Dragon Ball,Master Roshi,160
Dragon Ball,South Supreme Kai,298
Dragon Ball,Frieza Gold,168
Dragon Ball,Hit,193
Dragon Ball,Super Shenron,999999999999
Dragon Ball,Mojito,216
Dragon Ball,Camprari,216
Dragon Ball,Cooler Final Form,240
Dragon Ball,Bojack,220
Dragon Ball,Ozaru Vegeta,2500
Dragon Ball,Cabba,151
Dragon Ball,Margarita,183
Dragon Ball,King Vegeta,183
Dragon Ball,Jiren,195
Dragon Ball,Ox King,237
Dragon Ball,Chichi,163
Dragon Ball,Kusu,152
Naruto \ Boruto,Inoichi,180
Naruto \ Boruto,Sasori,163
Naruto \ Boruto,Araya,154
Naruto \ Boruto,Kakuzu,188
Naruto \ Boruto,Gengetsu,185
Naruto \ Boruto,Ibuse,900
Naruto \ Boruto,Haku,155
Naruto \ Boruto,Metal Lee,150
Naruto \ Boruto,Onoki (3th Tsuchikage),130
Naruto \ Boruto,Izumo Kamizuki,169
Naruto \ Boruto,Obito,182
Naruto \ Boruto,Three Giant Snakes,4000
Naruto \ Boruto,Mecha Kurama,7000
Naruto \ Boruto,Anko,167
Naruto \ Boruto,Katsuyu,4000
Naruto \ Boruto,A (4th Raikage),199
Naruto \ Boruto,Mitsuki,149
Naruto \ Boruto,Karin,166
Naruto \ Boruto,Pakkun,28
Naruto \ Boruto,Rin,143
Naruto \ Boruto,Satori,2000
Naruto \ Boruto,Hiruzen (3th Hokage),163
Naruto \ Boruto,Yodo,147
Naruto \ Boruto,Ibiki,192
Naruto \ Boruto,Shino,182
Naruto \ Boruto,Kiba Inuzuka,182
Naruto \ Boruto,Fuu,160
Naruto \ Boruto,Shima,25
Naruto \ Boruto,Kushina Uzumaki,165
Naruto \ Boruto,Kurenai,169
Naruto \ Boruto,Utakata,178
Naruto \ Boruto,Shizune,168
Naruto \ Boruto,Neji Hyuga,172
Naruto \ Boruto,Pain,176
Naruto \ Boruto,Uchiha Shisui,180
Naruto \ Boruto,Kidomaru,158
Naruto \ Boruto,Naruto Uzumaki,177.8
Naruto \ Boruto,Kabuto,177
Naruto \ Boruto,Kisame,202
Naruto \ Boruto,Kimimaro,166
Naruto \ Boruto,Kotetsu,167
Naruto \ Boruto,Fukasaku,25
Naruto \ Boruto,Minato (4th Hokage),179
Naruto \ Boruto,Jiraiya,191
Naruto \ Boruto,Mei Terumi (5th Mizukage),173
Naruto \ Boruto,baki,189
Naruto \ Boruto,Hamura,184
Naruto \ Boruto,Gedomazo,7000
Naruto \ Boruto,Momoshiki Otsutsuki ,176
Naruto \ Boruto,Gaara,172
Naruto \ Boruto,Shikadai,154
Naruto \ Boruto,Mifune,170
Naruto \ Boruto,Danzu,170
Naruto \ Boruto,Uchiha Shin,180
Naruto \ Boruto,Toneri Otsutsuki,184
Naruto \ Boruto,Sumire Kakei ,147
Naruto \ Boruto,Uchiha Sarada,147
Naruto \ Boruto,Giant Panda,360
Naruto \ Boruto,Sakura,165
Naruto \ Boruto,Sai,176
Naruto \ Boruto,Guy,183
Naruto \ Boruto,Namida,140
Naruto \ Boruto,Iruka,178
Naruto \ Boruto,Kokuo (5 tails),6500
Naruto \ Boruto,Zabuza,183
Naruto \ Boruto,Ashura,182
Naruto \ Boruto,Indra,183
Naruto \ Boruto,Shinsuusenju,100000
Naruto \ Boruto,Sarutobi Asuma,190
Naruto \ Boruto,Tenten,166
Naruto \ Boruto,Chomei (7 Tails),5300
Naruto \ Boruto,Juubi,100000
Naruto \ Boruto,Manda,4600
Naruto \ Boruto,Kitsuchi,217
Naruto \ Boruto,Rasa,176
Naruto \ Boruto,Shikamaru,176
Naruto \ Boruto,Deidara,166
Naruto \ Boruto,Rock Lee,177
Naruto \ Boruto,Tobirama (2th Hokage),182
Naruto \ Boruto,Iwabe,167
Naruto \ Boruto,Yagura Karatachi,143
Naruto \ Boruto,Roshi,149
Naruto \ Boruto,Akatsuchi,200
Naruto \ Boruto,Sakon and Ukon,170
Naruto \ Boruto,Jirobo,180
Naruto \ Boruto,Kayodaigumo,500
Naruto \ Boruto,Jugo,202
Naruto \ Boruto,Nagato,175
Naruto \ Boruto,Konohamaru Sarutobi,177
Naruto \ Boruto,Yamato,178
Naruto \ Boruto,Might Dai,185
Naruto \ Boruto,saruiwa (Monkey Rock),10000
Naruto \ Boruto,Uchiha Madara,179
Naruto \ Boruto,Hatake Kakashi,181
Naruto \ Boruto,Chocho kimichi,150
Naruto \ Boruto,Tayuya,148
Naruto \ Boruto,Son Goku (4 Tails),5200
Naruto \ Boruto,Saiken (6 Tails),5400
Naruto \ Boruto,Denki,138
Naruto \ Boruto,Gyuki (8 Tails),8000
Naruto \ Boruto,Konan,169
Naruto \ Boruto,Isobu (3 Tails),5000
Naruto \ Boruto,White Zetsu,176
Naruto \ Boruto,Kushimaru Kuriarare,213
Naruto \ Boruto,Hidan,177
Naruto \ Boruto,Torune,178
Naruto \ Boruto,Choji kimichi,178
Naruto \ Boruto,Inojin Yamanaka,147
Naruto \ Boruto,Ino,164
Naruto \ Boruto,Aoda,4000
Naruto \ Boruto,Suigetsu,178
Naruto \ Boruto,Kaguya's Tailed beast,120000
Naruto \ Boruto,Hinata,163
Naruto \ Boruto,Fuguki Suikazan,249
Naruto \ Boruto,Gamabunta,3000
Naruto \ Boruto,Uchiha Sasuke,182
Naruto \ Boruto,Hashirama,184
Naruto \ Boruto,Mu,173
Naruto \ Boruto,Shukaku (1 tail),5000
Naruto \ Boruto,Uchiha Itachi,178
Naruto \ Boruto,Choza kimichi,182
Naruto \ Boruto,Hagoromo,185
Naruto \ Boruto,Matatabi (2 Tails),5100
Naruto \ Boruto,Temari,170
Naruto \ Boruto,Giant Crustacean,430
Naruto \ Boruto,Mito Uzumaki,169
Naruto \ Boruto,Orochimaru,179
Naruto \ Boruto,Kaguya Ootsutsuki,175
Naruto \ Boruto,A (3rd raikage),205
Naruto \ Boruto,Kinshiki Otsutsuki,231
Naruto \ Boruto,chojuro,163
Naruto \ Boruto,Samui,168
Naruto \ Boruto,Gamahiro,3000
Naruto \ Boruto,Kurama (9 Tails),10000
Naruto \ Boruto,Kurotsuchi,163
Naruto \ Boruto,Tsunade,163
Attack On Titan,Eren Yaeger (Titan),1498.6
Attack On Titan,Eren Yeager,170
Attack On Titan,Annie Leonhart,153
Attack On Titan,Frieda Reiss (Titan),1300
Attack On Titan,darius zackly,165
Attack On Titan,Armin Arlert,168
Attack On Titan,Connie Springer,158
Attack On Titan,Colossal Titan,6000
Attack On Titan,Hannes,190
Attack On Titan,Floch Forster,175
Attack On Titan,Erwin Smith,188
Attack On Titan,Jean Kirstein Render,175
Attack On Titan,Hitch Dreyse,168
Attack On Titan,Bertholdt Hoover,192
Attack On Titan,Annie Leonhart (Titan),1400
Attack On Titan,Grisha Yeager,182
Attack On Titan,Dot Pixis,180
Attack On Titan,Daz,175
Attack On Titan,Ian Dietrich,185
Attack On Titan,Frieda Reiss,171
Attack On Titan,Gunther Schultz,183
Attack On Titan,Hange Zoe,170
Attack On Titan,Zeke Yeager (Beast Titan),1700
Attack On Titan,Eld Gin,182
Attack On Titan,Traute Caven,172
Attack On Titan,Nile Doak,177
Attack On Titan,Mina Carolina,143
Attack On Titan,Ymir (Titan),500
Attack On Titan,Kitz Woermann,195
Attack On Titan,Keith Shadis,198
Attack On Titan,Levi Ackerman,160
Attack On Titan,Oruo Bozad,173
Attack On Titan,Marco Bott,177
Attack On Titan,Reiner Braun,185
Attack On Titan,Ymir,172
Attack On Titan,Petra Rall,158
Attack On Titan,Krista Lenz,145
Attack On Titan,Rico Brzenska,156
Attack On Titan,Mitabi Jarnach,191
Attack On Titan,Zeke Yeager,183
Attack On Titan,Mikasa Ackerman,170
Attack On Titan,Miche Zacharius,196
Attack On Titan,Moblit Berner,175
Attack On Titan,Sawney the Titan,400
Attack On Titan,nifa,165
Attack On Titan,Sasha Braus,168
One Piece,Chouchou,40
One Piece,Crocus,203
One Piece,Demaro Black,245
One Piece,Buggy,192
One Piece,Daz Bones,212
One Piece,Arlong,263
One Piece,Dracule Mihawk,198
One Piece,Eustass Kid,205
One Piece,Bartholomew Kuma,689
One Piece,Benn Beckman,205
One Piece,Camie,197
One Piece,Boa Hancock,191
One Piece,Aladin,627
One Piece,Boa Sandersonia,453
One Piece,Charlotte Linlin (Big Mom),880
One Piece,Den,435
One Piece,Bentham,238
One Piece,Conis,176
One Piece,Catarina Devon,361
One Piece,Fukaboshi,604
One Piece,Bartolomeo,220
One Piece,Bellamy,240
One Piece,Daruma,122
One Piece,Buchi,216
One Piece,Charlotte Oven,492
One Piece,Charlotte Katakuri,509
One Piece,Alvida,196
One Piece,Franky,240
One Piece,Dosun,418
Attack On Titan,Duval,470
One Piece,Boa Marigold,432
One Piece,Bell-mère,186
One Piece,Doc Q ,342
One Piece,Avalo Pizarro,505
One Piece,Charlotte Smoothie,464
One Piece,Cabaji,208
One Piece,Charlotte Daifuku,489
One Piece,Curly Dadan,221
One Piece,Caribou,228
One Piece,Borsalino (Kizaru),302
One Piece,Brogy,2130
One Piece,Fullbody,184
One Piece,Edward Newgate (Whitebeard),666
One Piece,Donquixote Rosinante Corazon,293
One Piece,Bepo,240
One Piece,Basil Hawkins,210
One Piece,Capone Bege,166
One Piece,Crocodile,253
One Piece,Brook,277
One Piece,Fisher Tiger,520
One Piece,Drophy,156
One Piece,Dalton 2.18,218
One Piece,Dorry,2260
One Piece,Charlotte Perospero,333
One Piece,Emporio Ivankov,449
One Piece,Donquixote Doflamingo,305
One Piece,Marco,203
One Piece,Magellan,491
One Piece,Laffitte,340
One Piece,Marshall D Teach (Black Beard),344
One Piece,Scratchmen Apoo,256
One Piece,Going Merry,1100
One Piece,Pagaya,179
One Piece,Sakazuki (Akainu),306
One Piece,Hack (Fishmen),280
One Piece,Pekoms,232
One Piece,Squard,228
One Piece,Jesus Burgess,355
One Piece,Little Oars Jr.,3800
One Piece,Surume ,30000
One Piece,Shirahoshi,1186.18
One Piece,Sugar,120
One Piece,Ikaros Much,499
One Piece,Kin'emon,295
One Piece,Perona,160
One Piece,Igaram,218
One Piece,Lucky Roo,241
One Piece,Thousand Sunny,5600
One Piece,Jewelry Bonney,174
One Piece,Hiluluk,213
One Piece,Gol D. Roger,274
One Piece,Pappag,50
One Piece,Mansherry,20
One Piece,Marguerite,178
One Piece,Otohime,224
One Piece,Tashigi,170
One Piece,Smoker,209
One Piece,Silvers Rayleigh,188
One Piece,Hyouzou,327
One Piece,General Franky,1300
One Piece,Kuzan (Aokiji),298
One Piece,Tamago,301
One Piece,Neptune,1220
One Piece,Jozu,503
One Piece,Koby,167
One Piece,Sanjuan Wolf,18000
One Piece,Higuma,190
One Piece,Sabo,187
One Piece,Portgas D. Ace,185
One Piece,Koala,160
One Piece,Rob Lucci,212
One Piece,Sengoku,278
One Piece,Stussy,179
One Piece,Ryuboshi,544
One Piece,Nefertari Vivi,169
One Piece,Trafalgar D. Water Law,191
One Piece,Monkey D. Garp,287
One Piece,Oars,6700
One Piece,Smiley,15000
One Piece,Kureha,188
One Piece,Tony Tony Chopper,90
One Piece,Hina,181
One Piece,Hannyabal,309
One Piece,Shanks,199
One Piece,Krieg,243
One Piece,Karoo,150
One Piece,Nami,170
One Piece,Tsuru (Marine),204
One Piece,Makino,166
One Piece,Hody Jones (normal),331
One Piece,Nico Robin,188
One Piece,Galdino,179
One Piece,Sadi,183
One Piece,shirley,520
One Piece,Gan Fall,180
One Piece,Helmeppo,179
One Piece,Gekko Moriah,732
One Piece,Karoo,150
One Piece,Large dragon from Punk Hazard,7000
One Piece,Monkey D. Luffy,174
One Piece,Hatchan,220
One Piece,Monkey D. Dragon ,256
One Piece,Kuroobi,252
One Piece,Inazuma,228
One Piece,Laboon,40000
One Piece,Mont Blanc Noland,220
One Piece,Mamboshi,473
One Piece,Pell,189
One Piece,Shiliew,340
One Piece,Kuro,207
One Piece,Issho,270
One Piece,Gaimon,130
One Piece,Jinbe,301
One Piece,Pandaman,200
One Piece,Sentomaru,279
One Piece,Roronoa Zoro,181
One Piece,Vinsmoke Sanji,180
One Piece,Urouge,388
One Piece,Zala,183
One Piece,Wadatsumi ,8000
One Piece,Yasopp,183
One Piece,Zeo ,325
One Piece,Vasco Shot ,573
One Piece,Zunisha,3500000
One Piece,X Drake,233
One Piece,Van Augur,340
One Piece,Usopp,176
One Piece,Vander Decken IX,352
One Piece,Vista,328
Fate/Stay Night,Artoria Pendragon,154
Black Butler,Ciel Phantomhive,152
Black Butler,Sebastian Michaelis,185
Tengen Toppa Gurren Lagann,Simon the Digger,187.96
Seven Deadly Sins,Diane,914.4
Seven Deadly Sins,Meliodas,152.4
Tengen Toppa Gurren Lagann,Super Galaxy Gurren Lagann,500000000
One Piece,Florian Triangle monster,5400000
Mobile Suit Gundam,Gundam,1800
Beyblade,Tyson Granger,140
The Secret World Of Arrietty,Arrietty Clock,10
Please Twins!,Kousei Shimazaki,170
Beyblade,Kai Hiwatari,167.64000000000001
Beyblade,Ray Kon,150
Beyblade,Max Tate,130
Please Twins!,Maiku Kamishiro,170
Sleepy Princess in the Demon Castle,Great Red Siberian,304.8
Seven Deadly Sins,Slader,210
Seven Deadly Sins,Gloxinia,162
Seven Deadly Sins,Red Demon,805
Seven Deadly Sins,Golgius,179
Seven Deadly Sins,Twigo,305
Seven Deadly Sins,Matrona,955
Seven Deadly Sins,Gulia,165
Seven Deadly Sins,Diane,915
Seven Deadly Sins,Griamore,213
Seven Deadly Sins,Liz,160
Seven Deadly Sins,Estarossa,200
Seven Deadly Sins,Drole,2500
Seven Deadly Sins,Melascula,154
Seven Deadly Sins,Derieri,162
Seven Deadly Sins,Albion II,6000
Seven Deadly Sins,Supreme deity,7000
Seven Deadly Sins,Ban,215
Seven Deadly Sins,zaratras,182
Seven Deadly Sins,Escanor (Day Time),325
Seven Deadly Sins,Black hounds,1000
Seven Deadly Sins,Meliodas 152,152
Seven Deadly Sins,Dreyfus,185
Seven Deadly Sins,Galla,172
Seven Deadly Sins,Zeldris,152
Seven Deadly Sins,Hawk,50
Seven Deadly Sins,Escanor (Night Time),165
Seven Deadly Sins,Hendrikson,182
Seven Deadly Sins,Baltra,180
Seven Deadly Sins,Helbram,162
Seven Deadly Sins,Jericho,160
Seven Deadly Sins,Elain,150
Seven Deadly Sins,Merlin,177
Seven Deadly Sins,Monspeet,182
Seven Deadly Sins,Liz,160
Seven Deadly Sins,Grayroad,480
Seven Deadly Sins,Arthur,170
Seven Deadly Sins,Gowter,175
Seven Deadly Sins,Galand,408
Seven Deadly Sins,Howzer,182
Seven Deadly Sins,Elizabeth,162
Seven Deadly Sins,Albion I,4500
Code Geass,Lelouch vi Britannia,178
One Piece,Enel,277
Code Geass,C.C,168
My Hero Academia,Izuku Midoriya,170.18
Haikyuu,Oikawa,182.88
My Hero Academia,Midoriya Izuku,165.1
my hero academia,Izuku Midorya,166
Haikyuu,Kageyama Tobio,181.9
Haikyuu,Hinata Shoyo,164.2
Naruto,Naruto kid,145.3
one piece,Jack,830
one piece,kyoshiro (denjiro),306
One Piece,kyoshiro (denjiro),306
One Piece,kyoshiro (denjiro),306
Naruto,Sakura kid,147.5
my hero academia,All Might,220
One Piece,Kawamatsu,271
None,Jordan Brown,149
One Piece,kyoshiro (denjiro),306
bleach,Kenpachi Zaraki,202
My Hero Academia,All Might (hero form),244
one piece,Jack,830
One Piece,Kawamatsu,271
One Piece,shutenmaru (ashura doji),544
One Piece,nekomamushi,522
One Piece,izo,192
One Piece,o-kiku (kikunojo),287
One Piece,raizou,311
One Piece,kanjuro kurozumi,347
One Piece,inuarashi,511
One Piece,kozuki oden,382
Obey Me: Shall we Date,Lucifer Morningstar,180.5
Jujutsu Kaisen,ryomen sukuna,173
Jujutsu kaisen,Gojo Satoru,190
Bungou Stray Dogs,Nakahara Chuuya,160
Saiki Kusuo no Psi-nan,Kaidou Shun,159
Haikyuu,Nishinoya Yuu,160.5
Hunter X Hunter,Feitan,155
Hunter x hunter,Pakunoda,181
Hunter x hunter,Hisoka ,188
Anime,Sasuke Teen,167.64000000000001
Attack on titan ,Eren Jeager ,183
my hero academia,Tenya Iida,179
Naruto,Sasuke Uchiha kid(13),155
Naruto The Last,Sasuke the last,181
Naruto/Boruto ,Boruto Uzumaki ,157
Naruto The Last,Naruto the last ,179
Naruto Shippuden ,Naruto teen,165
The seven deadly sins,Diane ( human size),161
Highschool DxD,Rias Gremory,172
Highschool DxD,Akeno,169
Naruto Shippuden ,Sakura Teen,161
AOT,yumna,127
Hellsing Ultimate,Alucard,200
High School D×D,Koneko Toujou,138
High School D×D,Xenovia Quarta,166
High School D×D,Asia Argento,155
One Piece,Kaido,1020
High School D×D,Azazel,188
High School D×D,Rossweisse,173
High School D×D,Yuuto Kiba,172
One Piece,Kaido (Dragon Form),52000
High School D×D,Issei Hyoudou,170
High School D×D,Raynare,164
High School D×D,Ravel Phoenix,153
High School D×D,Vali Lucifer,168
Hellsing,Alexander Anderson,203.2
High School D×D,Riser Phenex,180
High School D×D,Gasper Vladi,150
High School D×D,Kuroka,161
High School D×D,Irina Shidou,164
Hellsing,Seras Victoria,165.1
Overlord,Death Knight,200
Overlord,Gargantua,3000
Overlord,Albedo,170
Overlord,Demiurge,181
Overlord,Shalltear Bloodfallen,140
Overlord,Pandora's Actor,177
Overlord,Mare Bello Fiore,104
Overlord,Aura Bella Fiora,104
Overlord,Cocytus,250
Overlord,Sebas Tian,179
Overlord,Ainz Ooal Gown,177
Seven Deadly Sins,Gray Demon,900
Overlord,Ogre,400
Overlord,Narberal Gamma,164
Overlord,entoma,88
Overlord,Solution Epsilon,166
Overlord,Victim,99.06
Overlord,Lupusregina Beta,171
Overlord,CZ2I28 Delta,145
Overlord,Yuri Alpha,174
Overlord,Yuri Alpha,174
Black Rock Shooter,Mato Kuroi,155
91 Days,Angelo Lagusa,175
91 Days,Nero Vanetti,180
91 Days,Frate Vanetti,170
91 Days,Fango,183
91 Days,91 Days,177
Vinland Saga,Thorkell,230
Umineko no Naku Koro ni,Battler Ushiromiya,180
Hololive,Tokino Sora,160
Puella Magi Madoka Magica,Mami Tomoe,159
Puella Magi Madoka Magica,Madoka Kaname,152
Puella Magi Madoka Magica,Sayaka Miki,160
Kill la Kill,Ryuko Matoi,164
Haikyuu,Kotaro Bokuto,185.42
Cuticle Detective Inaba,Gabriella,175.26
Haikyuu,Tetsuro Kuroo,187
Overlord,Ainz,261
Hyperdimension Neptunia,Neptune,146
 Mobile Suit Gundam 0080: War in the Pocket,MSM-03C Hygogg,1524
 Mobile Suit Gundam 0080: War in the Pocket,MSM-07E Z'Gok-E ,1828.8
Beastars ,Sheila,160
Beastars ,Kai,139
Beastars ,Kibi,110
Beastars ,Durham,173
Beastars ,Voss,40
Beastars ,Els,126
Beastars ,Miguno,144
Beastars ,Tem,140
Beastars ,Mizuchi,148
Beastars ,Haru,102
Beastars,Legoshi,206
Beastars ,Pina,174
Beastars ,Riz,205
Beastars ,Jack,170
Beastars ,Ibuki,190
Beastars ,Collot,162
Beastars ,Free,188
Beastars ,Aoba,175
Beastars ,Bill,190
Beastars ,Louis,172
Beastars ,Juno,170
Beastars ,Gohin,194
JoJo's Bizarre Adventure ,Jonathan Joestar,195
JoJo Bizarre Adventure ,Joseph Joestar,205
Jojo,Jojo,195
Jojo,Dio Brando,196
One Piece,King,780
Seton Academy ,Ferryl Okami,204
One Piece,Queen,528
Toriko,King Octopus Kong,22000
Monster Musume,Centorea Shianus,230
Another,Mei Misaki,169
Chunibyo,Rikka Takanashi,164
One Piece,Koyama,438
Naruto,Reibi (0 Tail),5700
Attack on Titan ,Reiner (21 Years),188
One Piece,Rock,4100
Toriko,Zebra,255
One Piece,Scotch,4000
One Piece,Hody Jones (Energy Steroid),438
Seven Deadly Sins,Escanor The One,496
Toriko,Toriko,231
One Piece,Speed,240
One Piece,Byrnndi World,567
My Hero Academia,Yu Takeyama,2062
My Hero Academia,Mt. Lady,20620.1
Assassination Classroom,Kaede Kayano,148
Assassination Classroom,Hinano Kurahashi,149
Assassination Classroom,Hiroto Maehara,175
Assassination Classroom,Tadaomi Karasuma,180
Assassination Classroom,Irina Jelavić,170
Assassination Classroom,Rio Nakamura,162
Assassination Classroom,Sōsuke Sugaya,179
Assassination Classroom,Shiro,172
Assassination Classroom,Megu Kataoka,170
Assassination Classroom,Gakushū Asano,174
Assassination Classroom,Kotaro Takebayashi,169
Assassination Classroom,Itona,160
Assassination Classroom,Ritsu,170
Assassination Classroom,Kōki Mimura,166
Assassination Classroom,Toka Yada,161
Assassination Classroom,Yukiko Kanzaki,158
Assassination Classroom,Masayoshi Kimura,161
Assassination Classroom,Ryunosuke Chiba,172
Assassination Classroom,Yuuma Isogai,172
Assassination Classroom,Taiga Okajima,168
Assassination Classroom,Gakuhō Asano,183
Assassination Classroom,Manami Okuda,149
Assassination Classroom,Rinka Hayami,157
Assassination Classroom,Sumire hara,156
Assassination Classroom,Taisei Yoshida,173
Assassination Classroom,Ryouma Terasaka,180
Assassination Classroom,Lovro Brovski,171
Assassination Classroom,Takuya Muramatsu,175
Assassination Classroom,Koro-Sensei,300
Assassination Classroom,Kirara Hazama,157
Assassination Classroom,Hinata Okano,147
Assassination Classroom,Yuzuki Fuwa,160
Assassination Classroom,Tomohito Sugino,173
Record of Ragnarok,Lu Bu,248
Naruto,Susanoo Madara,28500
One piece,Sea Kings,500000
One piece,Pica stone giant,80000
One piece,Sea Behemots,4000000
Toriko,Brubo,398
Toriko,Midora,318
Fairy Tail,Natsu Dragneel,171
Toriko,Alfaro,297
One Piece,Big Pan,1200
Fairy Tail,Lucy Heartfillia,160
Fairy Tail,Erza Scarlet,169
Toriko,Starjun,231
Fairy Tail,Gray Fullbuster,177
Toriko,Heracles,5000000
Fairy Tail,Wendy Marvell,144
Haikyuu!!,Chikara Ennoshita,175.4
Haikyuu!!,Asahi Azumane,186.4
Toriko,Sunny,211
Toriko,Salamander Sphynx,850
Haikyuu!!,Kiyoka Shimizu,166.2
Toriko,Elephant Kong,15000
Haikyuu!!,Kenma Kozume,169.2
Toriko,Acacia,265
Haikyuu!!,Ittetsu Takeda,166.5
Haikyuu!!,Kazuhito Narita,180.2
Haikyuu!!,Koushi Sugawara,174.3
Anime,Tadashi Yamaguchi,179.5
Haikyuu!!,Ryunosuke Tanaka,177.2
Haikyuu!!,Lev Haiba,194
Toriko,Ob,1800
Haikyuu!!,Kei Tsukishima,190.1
Haikyuu!!,Daichi Sawamura,175
Toriko,Troll Kong,690
Haikyuu!!,Keishin Ukai,178.2
Haikyuu!!,Hisashi Kinoshita,174.7
Anime,Kei Tsukishima,189.9
Haikyuu!!,Wakatoshi Ushijima,189.5
Fairy Tail,Juvia Lockser,163
