subcat1,Name,Height, subcat2
Peppa Pig,Peppa Pig,215.9,TV
dumbo,Dumbo,72,Movies
TELETUBBIES,Tinky winky,304.8,TV
Cars,Lightning McQueen,190,Movies
Cloverfield,Clover (Infant),9144,Movies
Cloverfield Paradox,Clover (Adult),885100,Movies
WALL-E,WALL-E,100,Movies
Planes,Dusty Crophopper,275,Movies
Madagascar,Alex the lion,250,Movies
WALL-E,Axiom,235000.80000000002,Movies
Madagascar,Melman the giraffe,500,Movies
Halo,Installation 00,12753000000,Video games
Star Wars,Death Star,16000000,Movies
War Of The Worlds (2005),Tripod,6000,Movies
Finding Nemo,Nemo,2,Movies
Finding Nemo,Mr. Ray,10,Movies
Finding Nemo,Marlin,4,Movies
Ringworld,Ringworld,30000000000000,Comics
Star Trek,Borg Cube,300000,TV
Transformers,Unicron (planetary size),674200000,Movies
Star Wars,R2-D2,109.22,Movies
Destiny,Dreadnaught,100000000,Video games
Halo,Installation 04,1000000000,Video games
Star Trek,USS Enterprise,7000,TV
Halo,High Charity,50500000,Video games
Teletubbies,Laa Laa,198.12,TV
Teletubbies,Po,195.57999999999998,TV
trevor henderson,Cartoon cat,208.28,Comics
The Simpsons,Homer Simpson,187,TV
ultraman,Gomora,4000,TV
Ultraman,Redking,4500,TV
villainous,Demencia,170,TV
Villainous,Black Hat,221,TV
Trevor Henderson,Breaking News,9500,Comics
Ultraman,Ultraman,4000,TV
villainous,5.0.5,228,TV
The Amazing World Of Gumball,Hector The Giant,259080,TV
villainous,Dr. Flug Slys,177,TV
Villainous,Black Hat,221,TV
barney and friends,Barney The dinosaur,266.7,TV
Transformers,Fortress Maximus,300000,TV
Trevor Henderson,Day 17,10000,Comics
the simpsons,bart simpson,121,TV
The Amazing World Of Gumball,rob,208,TV
The Amazing World Of Gumball,gumball watterson,111,TV
the simpsons,barney gumble,180.34,TV
The Amazing World Of Gumball,richard watterson,195,TV
The Amazing World Of Gumball,anais watterson,86,TV
King Kong (2005),King Kong [2005],762,Movies
The Amazing World Of Gumball,Darwin watterson,99.06,TV
The Amazing World Of Gumball,darwin watterson,99,TV
The Amazing World Of Gumball,nicole watterson,180,TV
Minecraft,Steve,187.96,Video games
Wander Over Yonder,sylvia,160,TV
Wander Over Yonder,lord hater,188,TV
Wander Over Yonder,commander peepers,66,TV
Wander Over Yonder,watchdogs,76,TV
Wander Over Yonder,wander,94,TV
The Amazing World Of Gumball,tina rex,1200,TV
Trevor Henderson,Country Road Creature,600,Comics
trevor henderson,Cartoon Dog,238,Comics
disney,mickey mouse,68.58,TV
disney,goofy,182.88,TV
Disney ,donald duck,68,TV
Pacific Rim: Uprising,Gipsy Avenger,8196.58,Movies
Transformers,Optimus Prime ,850,Movies
ben 10 omniverse,atomix,500,TV
Ben 10,Way Big,9011.92,TV
Outlast,Chris Walker,223,Video games
Godzilla king of the monsters,King Ghidorah (2019),23600,Movies
The Simpsons,Nelson Mutz,96.52,TV
Disney,Jafar,228,TV
Mortal Kombat,Goro,269,Video games
Resident Evil,Nemesis,259,Video games
Marvel,Thanos,251,Comics
Uncle Grandpa,Mr Gus,229,TV
Lord of the Rings,Ancalagon the Black,1000000,Movies
Marvel,Dr.Doom,201,Comics
Mortal Kombat,Shao Kahn,225,Video games
Resident Evil,Mr X,227,Video games
Marvel,Astral Regulator Thanos,1e+19,Comics
Hellboy,Hellboy,210,Movies
Bioshock,Subject Delta,211,Video games
Hazbin Hotel,Valentino,409,TV
Halo,Locke,208,Video games
Marvel Comics,Apocalypse (giant size),10000000,Comics
Marvel Comics,Apocalypse (average size),238,Comics
Halo,Master Chief,225,Video games
Subnautica,Glow whale,1158.24,Video games
Subnautica,Juvenile Reefback,1066.8,Video games
Subnautica: Below Zero,Chelicerate,1249.68,Video games
Subnautica: Below Zero,Squidshark,1036.32,Video games
Subnautica: Below Zero,Ice worm,2712.7200000000003,Video games
Subnautica,Sea emperor leviathan,4036.06,Video games
Subnautica: Below Zero,Ventgardian,10017.76,Video games
Subnautica,Sea dragon leviathan,2926.08,Video games
Hazbin Hotel,Angel Dust,247,TV
Subnautica,Sea Treader Leviathan,2438.4,Video games
Subnautica,Shadow leviathan,1798.32,Video games
Subnautica,Ghost leviathan,1737.3600000000001,Video games
Subnautica,Reaper Leviathan,1432.56,Video games
Subnautica: Below Zero,Juvenile Ventgardian,2382.52,Video games
Subnautica,Reefback,1676.4,Video games
Subnautica: Below Zero,Void chelicerate,1557.02,Video games
Subnautica,Juvenile ghost leviathan,1069.34,Video games
Resident Evil Outbreak,Thanatos ,365.76,Video games
Resident Evil 7 Biohazard,Jack Baker,190,Video games
Hazbin Hotel,Charlie Morningstar,188,TV
Resident Evil Village,Salvatore Moreau,147,Video games
Resident Evil Village,Karl Heisenberg,187.96,Video games
Megas XLR,Megas,3657.6,TV
Resident Evil Village,Ethan Winters,180,Video games
Resident Evil: Damnation ,Unidentified Tyrant series,429.26000000000005,Movies
Resident Evil Village,Alcina Dimitrescu,290,Video games
Resident Evil Village,Miranda,221,Video games
Resident Evil Village,Chris Redfield,187,Video games
Hazbin Hotel,Alastor,244,TV
Hazbin Hotel,Vaggie,158,TV
Hazbin Hotel,Husk,231,TV
Hazbin Hotel,Lucifer Magne,164,TV
God of War,Kratos (young),196,Video games
Yakuza,Kazuma Kiryu,182,Video games
Street Fighter,Ryu,175.26,Video games
God of War,Chronos,48700,Video games
Ratchet & Clank,Ratchet,154.94,Video games
Asura's Wrath,Wyzen,1249680000,Video games
Hazbin Hotel,Nifty,101,TV
Street Fighter,Ken,175.26,Video games
Hazbin Hotel,Blitzo,165.9,TV
Marvel,Apocalypse (biggest size),1000000000000,Comics
Metal Gear Solid,Solid Snake,182.88,Video games
Street Fighter,Akuma,178,Video games
Final Fantasy VII,Sephiroth,200,Video games
Final Fantasy VII (Remake),Cloud Strife,178,Video games
Street Fighter,Chun Li,162.56,Video games
Lord of the Rings,Barad-dûr,152400,Movies
Digimon,Greymon,609.6,Video games
Hazbin Hotel,Sir Pentious,229,TV
Lord of the Rings,Gollum,125,Movies
Hazbin Hotel,Cherri Bomb,197,TV
Digimon,Metalgreymon,2987.04,Video games
Lord of the Rings,Gandalf,198,Movies
Hazbin Hotel,Moxxie,125.9,TV
Digimon,Agumon,100,Video games
Helluva Boss ,Loona,222,TV
Hazbin Hotel,Stolas,364,TV
Hazbin Hotel,Millie,126.9,TV
God of War,Zeus,231,Video games
Star Wars ,Count Dooku,196,Movies
Resident Evil 1,Hunter ,180,Video games
Resident Evil 5,Ndesu,701.04,Video games
Resident Evil 6,Ogroman ,914.4,Video games
Resident Evil 4,El Gigante,701.04,Video games
Hazbin Hotel,Vox,247,TV
Hazbin Hotel,Velvet,135,TV
Marvel,Deadpool,188,Comics
Hazbin Hotel,Striker,167,TV
Hazbin Hotel,Octavia,170,TV
Hazbin Hotel,Collin,79,TV
Hazbin Hotel,Cletus,67,TV
Dark Souls,Artorias,264,Video games
Despicable Me,Gru,217,Movies
Hazbin Hotel,Keenie,73,TV
Hazbin Hotel,Rosie,198,TV
Hazbin Hotel,Verosika ,210,TV
Hazbin Hotel,Vortex,270,TV
Hazbin Hotel,Dazzle,66,TV
Hazbin Hotel,Razzle ,66,TV
Hazbin Hotel,Crymini,155,TV
DeviantArt,Miss Goobelt (regular height),205,Comics
Gino il Pollo,Gino,117,TV
Jurassic World,Indominus Rex,550,Movies
Hazbin Hotel,Fizzarolli,195,TV
Hazbin Hotel,God,388,TV
Doom,The Doom Slayer,225,Video games
DC ,Steppenwolf,258,Comics
Mortal Kombat,Scorpion,189,Video games
Mortal Kombat,Subzero,188,Video games
Mortal Kombat,Reptile,174,Video games
Mortal Kombat,Smoke,186,Video games
Mortal Kombat,Noob Saibot,187,Video games
Mortal Kombat,Rain,193,Video games
Mortal Kombat,Ermac,193,Video games
Overwatch,Reinhardt,223,Video games
Adventure Time,King of Mars,495,TV
Adventure Time,Martin,211,TV
Adventure Time,Finn,168,TV
Hazbin Hotel,Baxter,132,TV
Hazbin Hotel,Arackniss,140,TV
Samsung,Sam,173,TV
Up,Kevin,405,Movies
Cthulhu ,Cthulhu ,32000,Movies
oddbods,fuse,50,TV
oddbods,pogo,50,TV
oddbods,newt,50,TV
oddbods,jeff,50,TV
oddbods,slick,50,TV
oddbods,bubbles,50,TV
oddbods,zee,50,TV
Long Gone Gulch,Mako,167,TV
Godzilla: The Planet Eater,Void Ghidorah,2000000,Movies
God of War ,Hades,758,Video games
God of War ,Colossus of Rhodes,2500,Video games
God of War ,Ares (normal size),242,Video games
God of War ,Ares (giant size),4100,Video games
God of War ,Kratos (old),213,Video games
God of War ,Atreus,154,Video games
God of War,Baldur,179.9,Video games
God Of War,Freya,208,Video games
The Ignea Chronicles,Dregonair,242,Comics
The Ignea Chronicles,Zodiak,317,Comics
Adventure Time,Me-Mow,17,TV
Lord of the Rings,Sauron,350,Movies
The Evil Within,Sadist ,222,Video games
Resident Evil,Agent Albert Wesker,196,Video games
Fallout Games,Deathclaw (Fallout 4),375,Video games
The Evil Within,Sebastian Castellanos,182,Video games
Family Guy,Peter Griffin,178,TV
Dark Souls ,Yhorm the Giant,762,Video games
Skyrim,Giant (Skyrim),407,Video games
Hazbin Hotel,Zestial,370,TV
Bojack Horseman ,Bojack Horseman,204,TV
Mortal Kombat,Onaga ,360,Video games
Family Guy,Quagmire,174,TV
Regular Show,Mordecai ,192,TV
Detroit Become Human,Connor (Detroit),188,Video games
Resident Evil 2 Remake,Leon S. Kennedy,187,Video games
Resident Evil 4,Ramón Salazar,134,Video games
Resident Evil 4,Verdugo,244,Video games
Fast and Furious ,Brixton Lore,195,Movies
Austin Powers ,Fat Bastard,191,Movies
Mortal Kombat,Dark Kahn,267,Video games
Hazbin Hotel,Lilith Magne,225,TV
Adventure Time,Canyon,377,TV
Adventure Time,Billy,364,TV
Adventure Time,Billy (young),389,TV
Adventure Time,Sweet P (young),482,TV
Adventure Time,Beth,328,TV
Adventure Time,Sweet P (grown up),80000,TV
Ben 10,Vilgax,388,TV
Invincible ,Omni-Man,187.96,TV
Hazbin Hotel,Hellvern,965,TV
Pixar,Joe Gardner,210,Movies
Adventure Time,Gibbon (old),141,TV
Adventure Time,Shermy,98,TV
Hazbin Hotel,Stella,305,TV
Super Mario,Rosalina,244,Video games
Hazbin Hotel,Sallie May,119,TV
Xenoblade,Mechonis,35000000,Video games
Xenoblade,Bionis,30000000,Video games
Hazbin Hotel,Robo Fizz,195,TV
Hazbin Hotel,Martha,187,TV
Frozen,Elsa,182.88,Movies
Resident Evil ,Urias,379,Video games
Shadow of the Colossus,Malus,4800,Video games
Resident Evil ,Urias Strajer,468,Video games
Of Orcs and Men,Berserker,250,Video games
Styx: Master of Shadows,Styx,129.54,Video games
League Of Legends,Zac (giant size),17000,Video games
Invincible ,Thragg,211,TV
Hazbin Hotel,Deerie,108,TV
Digimon,Wargreymon,365.76,Video games
Mega Man,Mega Man,132.08,Video games
Mega Man X,Zero,174,Video games
Troll Hunter,Jotnar,6100,Movies
Owl House,Luz Noceda,137,TV
Kong Skull island,Kong 1973 (2017),3150,Movies
Godzilla Vs Kong,Godzilla 2024 (2021),11978.64,Movies
Godzilla,King Ghidorah (2019),15880.08,Movies
Digimon,Weregarurumon,320,Video games
Godzilla the series,"Godzilla 1998-2000 ""zilla jr""",5486.4,TV
Godzilla vs Kong,Kong (Godzilla vs Kong),10271.76,Movies
Digimon,Metalgarurumon,195,Video games
Godzilla: The Series,"Godzilla ""Zilla"" Jr 1998",6492.24,TV
Godzilla Vs Kong,Godzilla Monsterverse (2021),11978.64,Movies
Owl House,Willow Park,131,TV
Digimon,Omegamon,650,Video games
Godzilla Vs Kong,Kong 2024 (2021),10271.76,Movies
Skull island the Birth of kong,Kong (SIBOK),9479.28,Comics
Chica Crew verse,Pyranniosaurus rex ,2037.0800000000002,Movies
Tekken,Kazuya Mishima,185,Video games
Kong:Skull Island,Kong (Kong skull Island),3169.92,Movies
Owl House,Amity Blight,137,TV
Digimon,Garurumon,300,Video games
Digimon,Gabumon,100,Video games
PlayStation All Stars ,Polygon Man,627,Video games
Devil May Cry,Dante,183,Video games
Metal Gear Rising Revengence,Senator Armstrong,243.9,Video games
Metal Gear ,Raiden,177,Video games
Little Tail ,Kyle Bavarois,124,Video games
Little Tail,Malt Marzipan,129,Video games
Little Tail,Boron Brioche,151,Video games
Little Tail,Jin Macchiato,105,Video games
Little Tail,Mei Marzipan,82,Video games
Little Tail,Hanna Fondant,128,Video games
Little Tail,Shvein Hax,210,Video games
Little Tail,Socks Million,110,Video games
Little Tail,Chick Montblanc,107,Video games
Little Tail,Flam Kish,171,Video games
Little Tail,Waffle Ryebread,165,Video games
Little Tail,Britz Strudel,120,Video games
Undertale,Toriel Dremur,171,Video games
Undertale,Asriel Dreemurr,138,Video games
Little Tail,Wappa Charlotte,118,Video games
Little Tail,Waffle Ryebread,165,Video games
Digimon,Agunimon,182.88,Video games
Little Tail,Sheena Falafel,111,Video games
Marvel Comics,Kurse,257,Comics
Total War: Warhammer,Troll (Warhammer),350,Video games
Little Tail,Waffle Ryebread,163,Video games
Transformers,Knockout,657,TV
Transformers,Megatron,907,Movies
Little Tail,Merveille Million,174,Video games
Little Tail,Red Savarin,185,Video games
Little Tail,Blanck Savarin,164,Video games
game,henry sitckmin,2.2,Video games
game,henry stickmin,12.3,Video games
Minecraft,Axolotl (Cyan),80,Video games
Minecraft,Axolotl (Gold),80,Video games
Minecraft,Axolotl (Leucitic),80,Video games
show,pencilmate,2.9,TV
Pirates of the Caribbean,Davy Jones,228,Movies
Tekken,Paul Phoenix,187,Video games
Minecraft,Unused Axolotl,80,Video games
Pirates of the Caribbean,Jack Sparrow,191,Movies
Resident Evil,Carlos Oliveria,181,Video games
Tekken,Miguel,196,Video games
Tekken,Heihachi Misima,174,Video games
Tekken,Marshall Law,180,Video games
Tekken,Yoshimitsu,177,Video games
show,Abby Hatcher,41.1,TV
Minecraft,Axolotl (Rare blue),80,Video games
Lord of the Rings,Gandalf the White,196,Movies
Minecraft,Axolotl (Wild),80,Video games
Harry Potter,Voldemort,185,Movies
Little Tail,Hack Montblanc,114,Video games
Subnautica,Rockgrub,19,Video games
Subnautica,Ancient floater,210,Video games
Subnautica,Ampeel,345,Video games
Subnautica,Boneshark,198,Video games
Subnautica,Peeper,74,Video games
Subnautica,Biter,67,Video games
Subnautica,Bladderfish,76,Video games
Hazbin Hotel,Jack the Ripper,269,TV
Subnautica,Bleeder,25,Video games
Subnautica,Blighter,68,Video games
Subnautica,Oculus,70,Video games
Subnautica,Amoeboid,156,Video games
Adventure Time,Sweet P (born),296,TV
Subnautica,Floater,80,Video games
Neighbours from Hell,Woody,160,Video games
Neighbours from Hell,Rottweiler,203,Video games
God of War ,Thor,238,Video games
God of War ,Magni ,259.08,Video games
Avengers,Thor Odinson,196,Movies
God of War ,Modi,199,Video games
God of War ,Mimir,59,Video games
God of War ,Thamur,47500,Video games
God of War ,Deimos,185,Video games
Hazbin Hotel,Helsa,213,TV
Hazbin Hotel,Seviathan,238,TV
God of War ,Brok,146,Video games
God of War ,Kvasir,221,Video games
God of War ,Sindri,157,Video games
Aladdin,Genie,319,Movies
God of War ,Tyr,260,Video games
God of War ,Kratos (giant size),3600,Video games
Warhammer,Oger,300,Video games
Warhammer,Space Marines,230,Video games
God of War ,Jormungandr,25000,Video games
Resident Evil,Bitores Méndez,224,Video games
Assassin's Creed,Polyphemus,232,Video games
OK K.O.! Let's Be Heroes,Cosma,182.9,TV
God of War ,Cyclops,412,Video games
Halloween series,Michael Myers,205.74,Movies
The Lord of the Rings,Grond,1830,Movies
The Lord of the Rings,Troll,500,Movies
The Lord of the Rings,Mumakil,1500,Movies
Friday The 13th,Jason Voorhees,203,Movies
Willy's Wonderland,Ozzie Ostrich,231,Movies
Willy's Wonderland,Willy Weasel,240,Movies
Willy's Wonderland,Gus Gorilla,206,Movies
Banana Splits,Fleegle,222,TV
Banana Splits,Bingo,211,Movies
Banana Splits,Drooper,232,TV
Banana Splits,Fleegle,222,TV
Willy's Wonderland,Knighty Knight,227,Movies
Willy's Wonderland,Bingo,211,Movies
Halloween,Michael Myers,178,Movies
Banana Splits,Snorky,245,Movies
Willy's Wonderland,Knighty Knight,227,Movies
Duke Nukem Forever,Duke Nukem,201,Video games
FNAF,Freddy Fazbear,223.52,Video games
Mega Man ,Proto Man,132.08,Video games
Poppy Playtime,Huggy Wuggie,304.8,Video games
Warhammer,Swamp Troll,340,Video games
Warhammer,Stone Troll (Warhammer),360,Video games
Metal Gear Rising: Revengance,Mistral,198,Video games
Caillou,Caillou ,125,TV
Tekken,Ancient Ogre,243.84,Video games
Warhammer,Grimgor Ironhide,304.8,Video games
Warhammer,Black Orc,250,Video games
Hazbin Hotel,Asmodeus,634,TV
Warhammer,Ork Boy,200.66,Video games
Eep!,Viegeltje,103,Movies
Ratchet & Clank,Biobliterator,3000.1,Video games
Stranger Things,Demgorgon,258,Movies
Godzilla vs Kong,Mecha Godzilla (2021),12192,Movies
Prototype 2,Goliath,58000,Video games
Evangelion,Kaworu,162,Video games
