Category,Name,Height,Pro1,pro2
209331,H. Lloris,187.96,FR,Tottenham Hotspur,11
209331,G. Higuaín,185.42,AR,Milan,11
164240,Thiago Silva,182.88,BR,Paris Saint-Germain,73
164240,S. Handanovič,193.04,SI,Inter,73
164240,G. Buffon,193.04,IT,Paris Saint-Germain,73
205600,S. Umtiti,182.88,FR,FC Barcelona,241
205600,M. Icardi,180.34,AR,Inter,241
205600,K. Koulibaly,187.96,SN,Napoli,241
195864,P. Pogba,193.04,FR,Manchester United,11
195864,K. Navas,185.42,CR,Real Madrid,11
195864,R. Lukaku,190.5,BE,Manchester United,11
195864,C. Immobile,185.42,IT,Lazio,11
195864,Jordi Alba,170.18,ES,FC Barcelona,11
195864,D. Mertens,170.18,BE,Napoli,11
195864,J. Vertonghen,187.96,BE,Tottenham Hotspur,11
195864,M. Hamšík,182.88,SK,Napoli,11
195864,I. Rakitić,182.88,HR,FC Barcelona,11
152729,Piqué,193.04,ES,FC Barcelona,241
152729,L. Sané,182.88,DE,Manchester City,241
152729,Bernardo Silva,172.72,PT,Manchester City,241
152729,Ederson,187.96,BR,Manchester City,241
152729,S. Mané,175.26,SN,Liverpool,241
152729,V. van Dijk,193.04,NL,Liverpool,241
152729,R. Sterling,170.18,GB,Manchester City,241
152729,Roberto Firmino,180.34,BR,Liverpool,241
152729,R. Varane,190.5,FR,Real Madrid,241
152729,M. Verratti,165.1,IT,Paris Saint-Germain,241
152729,Alex Sandro,180.34,BR,Juventus,241
152729,Douglas Costa,172.72,BR,Juventus,241
152729,T. Müller,185.42,DE,FC Bayern München,241
152729,Thiago,175.26,ES,FC Bayern München,241
152729,M. Reus,180.34,DE,Borussia Dortmund,241
152729,Azpilicueta,177.8,ES,Chelsea,241
152729,L. Bonucci,190.5,IT,Juventus,241
152729,T. Alderweireld,185.42,BE,Tottenham Hotspur,241
152729,M. Pjanić,177.8,BA,Juventus,241
152729,M. Benatia,187.96,MA,Juventus,241
152729,M. Özil,180.34,DE,Arsenal,241
152729,Fernandinho,177.8,BR,Manchester City,241
152729,Iniesta,170.18,ES,Vissel Kobe,241
152729,M. Škriniar,187.96,SK,Inter,241
152729,S. Milinković-Savić,190.5,RS,Lazio,241
152729,Marco Asensio,182.88,ES,Real Madrid,241
152729,N. Fekir,172.72,FR,Olympique Lyonnais,241
152729,Alisson,190.5,BR,Liverpool,241
152729,J. Kimmich,175.26,DE,FC Bayern München,241
152729,Saúl,182.88,ES,Atlético Madrid,241
152729,R. Mahrez,177.8,DZ,Manchester City,241
197445,D. Alaba,180.34,AT,Real Madrid,243
197445,Koke,175.26,ES,Atlético Madrid,243
197445,A. Lacazette,175.26,FR,Arsenal,243
197445,K. Manolas,187.96,GR,Roma,243
197445,N. Otamendi,182.88,AR,Manchester City,243
197445,Parejo,182.88,ES,Valencia CF,243
197445,Paulinho,182.88,BR,Guangzhou Evergrande Taobao FC,243
197445,W. Szczęsny,195.58,PL,Juventus,243
197445,A. Sánchez,170.18,CL,Manchester United,243
197445,Y. Brahimi,175.26,DZ,FC Porto,243
197445,J. Boateng,193.04,DE,FC Bayern München,243
197445,A. Vidal,180.34,CL,FC Barcelona,243
197445,I. Perišić,185.42,HR,Inter,243
197445,E. Džeko,193.04,BA,Roma,243
197445,S. Khedira,187.96,DE,Juventus,243
197445,Diego Costa,187.96,ES,Atlético Madrid,243
197445,R. Nainggolan,175.26,BE,Inter,243
197445,Naldo,198.12,BR,FC Schalke 04,243
197445,B. Matuidi,180.34,FR,Juventus,243
197445,Miranda,185.42,BR,Inter,243
165153,K. Benzema,185.42,FR,Real Madrid,243
165153,Filipe Luís,182.88,BR,Atlético Madrid,243
165153,V. Kompany,190.5,BE,Manchester City,243
165153,Pepe,187.96,PT,Beşiktaş JK,243
165153,Z. Ibrahimović,195.58,SE,LA Galaxy,243
165153,D. Sánchez,187.96,CO,Tottenham Hotspur,243
165153,J. Giménez,185.42,UY,Atlético Madrid,243
165153,Alex Telles,180.34,BR,FC Porto,243
165153,A. Laporte,187.96,FR,Manchester City,243
212198,Bruno Fernandes,177.8,PT,Manchester United,11
212198,N. Süle,195.58,DE,FC Bayern München,11
212198,A. Martial,182.88,FR,Manchester United,11
212198,D. Alli,187.96,GB,Tottenham Hotspur,11
212198,Fabinho,187.96,BR,Liverpool,11
207865,Marquinhos,182.88,BR,Paris Saint-Germain,73
207865,William Carvalho,187.96,PT,Real Betis,73
207865,Jorginho,180.34,IT,Chelsea,73
207865,F. Thauvin,177.8,FR,Olympique de Marseille,73
207865,Carvajal,172.72,ES,Real Madrid,73
202556,M. Depay,175.26,NL,Atlético de Madrid,240
202556,H. Son,182.88,KR,Tottenham Hotspur,240
202556,A. Lopes,182.88,PT,Olympique Lyonnais,240
202556,S. de Vrij,187.96,NL,Inter,240
202556,M. Perin,187.96,IT,Juventus,240
202556,J. Cuadrado,177.8,CO,Juventus,240
202556,Iago Aspas,175.26,ES,RC Celta,240
202556,B. Leno,190.5,DE,Arsenal,240
202556,N. Matić,193.04,RS,Manchester United,240
202556,L. Hrádecký,193.04,FI,Bayer 04 Leverkusen,240
202556,Illarramendi,177.8,ES,Real Sociedad,240
202556,K. Walker,182.88,GB,Manchester City,240
202556,I. Gündoğan,180.34,DE,Manchester City,240
202556,José Callejón,177.8,ES,Napoli,240
202556,A. Di María,180.34,AR,Paris Saint-Germain,240
202556,M. Mandžukić,190.5,HR,Juventus,240
202556,Willian,175.26,BR,Chelsea,240
202556,Sergio Asenjo,187.96,ES,Villarreal CF,240
202556,E. Banega,175.26,AR,Sevilla FC,240
202556,A. Witsel,187.96,BE,Borussia Dortmund,240
202556,D. Payet,175.26,FR,Olympique de Marseille,240
202556,Jonas,180.34,BR,SL Benfica,240
202556,Sokratis,185.42,GR,Arsenal,240
202556,S. Ruffier,187.96,FR,AS Saint-Étienne,240
202556,Falcao,177.8,CO,AS Monaco,240
202556,K. Schmeichel,187.96,DK,Leicester City,240
202556,Raúl Albiol,190.5,ES,Napoli,240
202556,A. Gómez,165.1,AR,Atalanta,240
202556,A. Barzagli,187.96,IT,Juventus,240
202556,Quaresma,175.26,PT,Beşiktaş JK,240
202556,A. Robben,180.34,NL,FC Bayern München,240
231443,O. Dembélé,177.8,FR,FC Barcelona,241
231443,Gabriel Jesus,175.26,BR,Manchester City,241
231443,Ronaldo Cabrais,177.8,BR,Grêmio,241
231443,Josué Chiamulera,185.42,BR,Grêmio,241
231443,Louri Beretta,187.96,BR,Atlético Mineiro,241
225850,P. Kimpembe,187.96,FR,Paris Saint-Germain,73
225850,N. Keïta,172.72,GN,Liverpool,73
225850,C. Tolisso,180.34,FR,FC Bayern München,73
225850,T. Lemar,170.18,FR,Atlético Madrid,73
225850,K. Coman,177.8,FR,FC Bayern München,73
225850,J. Tah,195.58,DE,Bayer 04 Leverkusen,73
225850,Anderson Talisca,190.5,BR,Guangzhou Evergrande Taobao FC,73
225850,T. Werner,180.34,DE,RB Leipzig,73
225850,A. Rabiot,193.04,FR,Paris Saint-Germain,73
225850,L. Goretzka,187.96,DE,FC Bayern München,73
225850,Q. Promes,175.26,NL,Sevilla FC,73
225850,H. Ziyech,180.34,MA,Ajax,73
225850,Lucas Vázquez,172.72,ES,Real Madrid,73
225850,Y. Carrasco,180.34,BE,Dalian YiFang FC,73
225850,Gerard Moreno,180.34,ES,Villarreal CF,73
207863,Felipe,190.5,BR,Atlético de Madrid,240
207863,M. Kovačić,175.26,HR,Chelsea,240
207863,Kepa,185.42,ES,Chelsea,240
207863,Manu Trigueros,177.8,ES,Villarreal CF,240
207863,S. Gnabry,175.26,DE,FC Bayern München,240
207863,J. Pickford,185.42,GB,Everton,240
207863,S. Savić,187.96,ME,Atlético Madrid,240
207863,J. Stones,187.96,GB,Manchester City,240
207863,Suso,175.26,ES,Milan,240
207863,J. Draxler,187.96,DE,Paris Saint-Germain,240
207863,Felipe Anderson,175.26,BR,West Ham United,240
207863,Lucas Moura,175.26,BR,Tottenham Hotspur,240
207863,Danilo Pereira,187.96,PT,FC Porto,240
207863,Nacho Fernández,180.34,ES,Real Madrid,240
207863,T. Horn,193.04,DE,1. FC Köln,240
207863,Allan,175.26,BR,Napoli,240
207863,F. Acerbi,193.04,IT,Lazio,240
207863,Sergi Roberto,177.8,ES,FC Barcelona,240
207863,Rodrigo,182.88,ES,Valencia CF,240
207863,Pizzi,177.8,PT,SL Benfica,240
207863,K. Kampl,177.8,SI,RB Leipzig,240
207863,Neto,190.5,BR,Valencia CF,240
207863,O. Baumann,187.96,DE,TSG 1899 Hoffenheim,240
207863,I. Gueye,175.26,SN,Everton,240
207863,H. Mkhitaryan,177.8,AM,Arsenal,240
207863,Marcos Alonso,187.96,ES,Chelsea,240
207863,D. Subašić,190.5,HR,AS Monaco,240
207863,K. Glik,190.5,PL,AS Monaco,240
207863,K. Strootman,185.42,NL,Olympique de Marseille,240
207863,B. Dost,195.58,NL,Sporting CP,240
207863,Oscar,177.8,BR,Shanghai SIPG FC,240
207863,M. Balotelli,187.96,IT,OGC Nice,240
207863,Luiz Gustavo,187.96,BR,Olympique de Marseille,240
207863,Giuliano,172.72,BR,Al Nassr,240
207863,David Luiz,187.96,BR,Chelsea,240
207863,R. Fährmann,198.12,DE,FC Schalke 04,240
207863,Juan Mata,170.18,ES,Manchester United,240
207863,Adán,190.5,ES,Atlético Madrid,240
207863,Rui Patrício,190.5,PT,Wolverhampton Wanderers,240
207863,Y. Sommer,182.88,CH,Borussia Mönchengladbach,240
207863,Javi Martínez,193.04,ES,FC Bayern München,240
207863,L. Bender,185.42,DE,Bayer 04 Leverkusen,240
207863,Lucas Leiva,177.8,BR,Lazio,240
207863,S. Mandanda,185.42,FR,Olympique de Marseille,240
207863,Cesc Fàbregas,177.8,ES,Chelsea,240
207863,M. Dembélé,185.42,BE,Tottenham Hotspur,240
207863,F. Ribéry,170.18,FR,FC Bayern München,240
207863,R. Jarstein,190.5,NO,Hertha BSC,240
207863,D. De Rossi,182.88,IT,Roma,240
207863,Pepe Reina,187.96,ES,Milan,240
207863,J. Pavlenka,195.58,CZ,SV Werder Bremen,240
207863,M. de Ligt,187.96,NL,Ajax,240
207863,Rodri,190.5,ES,Atlético Madrid,240
207863,Arthur,170.18,BR,FC Barcelona,240
207863,G. Donnarumma,195.58,IT,Milan,240
207863,Rosberto Dourado,175.26,BR,Atlético Mineiro,240
207863,Juiano Mestres,180.34,BR,Cruzeiro,240
207863,Raphaelito Anjos,190.5,BR,Grêmio,240
207863,Gelson Martins,172.72,PT,Atlético Madrid,240
207863,Gonçalo Guedes,177.8,PT,Valencia CF,240
207863,L. Torreira,167.64,UY,Arsenal,240
207863,Malcom,172.72,BR,FC Barcelona,240
207863,Pau López,187.96,ES,Real Betis,240
207863,L. Hernández,182.88,FR,Atlético Madrid,240
220440,C. Lenglet,185.42,FR,FC Barcelona,241
220440,A. Kramarić,177.8,HR,TSG 1899 Hoffenheim,241
220440,A. Robertson,177.8,gb-sct,Liverpool,241
220440,Dani García,180.34,ES,Athletic Club de Bilbao,241
220440,F. Bernardeschi,185.42,IT,Juventus,241
220440,J. Brandt,185.42,DE,Bayer 04 Leverkusen,241
220440,D. Rugani,190.5,IT,Juventus,241
220440,Samu Castillejo,182.88,ES,Milan,241
220440,João Cancelo,182.88,PT,Juventus,241
220440,A. Romagnoli,187.96,IT,Milan,241
220440,T. Partey,185.42,GH,Atlético Madrid,241
220440,Fred,170.18,BR,Manchester United,241
208830,J. Vardy,177.8,GB,Leicester City,95
208830,A. Belotti,180.34,IT,Torino,95
208830,E. Forsberg,177.8,SE,RB Leipzig,95
208830,J. Lingard,175.26,GB,Manchester United,95
208830,F. Vázquez,185.42,AR,Sevilla FC,95
208830,E. Višća,172.72,BA,Medipol Başakşehir FK,95
208830,A. Rüdiger,190.5,DE,Chelsea,95
208830,A. Florenzi,172.72,IT,Roma,95
203263,H. Maguire,193.04,GB,Leicester City,95
203263,T. Meunier,190.5,BE,Paris Saint-Germain,95
203263,S. Sané,195.58,SN,FC Schalke 04,95
201455,G. Kondogbia,187.96,CF,Atlético de Madrid,240
201455,Rafinha,175.26,BR,FC Barcelona,240
201455,Gabriel Paulista,187.96,BR,Valencia CF,240
201455,Morata,187.96,ES,Chelsea,240
201455,J. Cillessen,185.42,NL,FC Barcelona,240
201455,W. Ben Yedder,170.18,FR,Sevilla FC,240
201455,C. Bakambu,182.88,cg,Beijing Sinobo Guoan FC,240
201455,Pablo Sarabia,175.26,ES,Sevilla FC,240
201455,W. Zaha,180.34,CI,Crystal Palace,240
201455,Luis Alberto,182.88,ES,Lazio,240
201455,Jonathan Viera,170.18,ES,Beijing Sinobo Guoan FC,240
201455,Bartra,182.88,ES,Real Betis,240
201455,S. Coates,195.58,UY,Sporting CP,240
201455,Willian José,187.96,BR,Real Sociedad,240
201455,Mário Fernandes,187.96,RU,PFC CSKA Moscow,240
201455,Víctor Ruiz,185.42,ES,Villarreal CF,240
201455,T. Delaney,182.88,DK,Borussia Dortmund,240
201455,K. Casteels,198.12,BE,VfL Wolfsburg,240
201455,M. Götze,175.26,DE,Borussia Dortmund,240
201455,S. Mustafi,182.88,DE,Arsenal,240
201455,J. Pastore,187.96,AR,Roma,240
201455,Pedro,170.18,ES,Chelsea,240
201455,G. Bonaventura,180.34,IT,Milan,240
201455,R. Bürki,187.96,CH,Borussia Dortmund,240
201455,Taison,172.72,BR,Shakhtar Donetsk,240
201455,S. Nzonzi,195.58,FR,Roma,240
201455,Marlos,175.26,UA,Shakhtar Donetsk,240
201455,A. Ramsey,182.88,gb-wls,Arsenal,240
186345,K. Trippier,177.8,GB,Newcastle Utd,13
186345,A. Kolarov,187.96,RS,Roma,13
186345,G. Sigurðsson,185.42,IS,Everton,13
186345,S. Giovinco,162.56,IT,Toronto FC,13
186345,M. Arnautović,193.04,AT,West Ham United,13
186345,N. Gaitán,172.72,AR,Dalian YiFang FC,13
186345,J. Henderson,182.88,GB,Liverpool,13
186345,M. Kruse,180.34,DE,SV Werder Bremen,13
186345,M. Parolo,182.88,IT,Lazio,13
186345,L. Fejsa,182.88,RS,SL Benfica,13
186345,A. Rami,190.5,FR,Olympique de Marseille,13
186345,V. Ćorluka,193.04,HR,Lokomotiv Moscow,13
186345,G. Wijnaldum,175.26,NL,Liverpool,13
186345,F. Fazio,195.58,AR,Roma,13
186345,O. Giroud,193.04,FR,Chelsea,13
186345,Marcano,187.96,ES,Roma,13
186345,A. Guardado,170.18,MX,Real Betis,13
186345,E. Garay,187.96,AR,Valencia CF,13
186345,Jardel,193.04,BR,SL Benfica,13
186345,S. Sirigu,193.04,IT,Torino,13
186345,E. Viviano,195.58,IT,Sporting CP,13
186345,L. Koscielny,185.42,FR,Arsenal,13
186345,A. Consigli,187.96,IT,Sassuolo,13
186345,L. Biglia,177.8,AR,Milan,13
186345,Dani Alves,172.72,BR,Paris Saint-Germain,13
186345,David Villa,175.26,ES,New York City FC,13
186345,Aduriz,182.88,ES,Athletic Club de Bilbao,13
186345,P. Čech,195.58,CZ,Arsenal,13
186345,Casillas,185.42,ES,FC Porto,13
231677,M. Rashford,185.42,GB,Manchester United,11
231677,Laure Santeiro,170.18,BR,Fluminense,11
231677,L. Bailey,177.8,JM,Bayer 04 Leverkusen,11
231677,M. Akanji,187.96,CH,Borussia Dortmund,11
231677,F. de Jong,180.34,NL,Ajax,11
231677,Nélson Semedo,177.8,PT,FC Barcelona,11
231677,Pablo Fornals,177.8,ES,Villarreal CF,11
231677,Fabián,187.96,ES,Napoli,11
231677,E. Bailly,185.42,CI,Manchester United,11
231677,Dani Ceballos,177.8,ES,Real Madrid,11
231677,H. Lozano,175.26,MX,PSV,11
231677,Morales,180.34,ES,Levante UD,11
231677,J. Seri,170.18,CI,Fulham,11
231677,M. Politano,170.18,IT,Inter,11
231677,M. Brozović,180.34,HR,Inter,11
231677,Williams,185.42,ES,Athletic Club de Bilbao,11
231677,A. Correa,170.18,AR,Atlético Madrid,11
231677,A. Christensen,187.96,DK,Chelsea,11
231677,João Mário,177.8,PT,Inter,11
231677,T. Strakosha,193.04,AL,Lazio,11
231677,E. Hysaj,182.88,AL,Napoli,11
231677,P. Zieliński,180.34,PL,Napoli,11
231677,Ricardo Pereira,175.26,PT,Leicester City,11
231677,Grimaldo,170.18,ES,SL Benfica,11
231677,R. Guerreiro,170.18,PT,Borussia Dortmund,11
231677,A. Doucouré,182.88,FR,Watford,11
231677,J. Martínez,170.18,VE,Atlanta United,11
231677,C. Bacca,180.34,CO,Villarreal CF,11
231677,A. Plea,180.34,FR,Borussia Mönchengladbach,11
231677,B. Davies,182.88,gb-wls,Tottenham Hotspur,11
231677,M. Nastasić,187.96,RS,FC Schalke 04,11
231677,A. Milik,185.42,PL,Napoli,11
231677,M. Sabitzer,177.8,AT,RB Leipzig,11
231677,B. Mendy,185.42,FR,Manchester City,11
231677,C. Kramer,190.5,DE,Borussia Mönchengladbach,11
231677,S. Vrsaljko,180.34,HR,Inter,11
231677,T. Hazard,175.26,BE,Borussia Mönchengladbach,11
231677,K. Bellarabi,182.88,DE,Bayer 04 Leverkusen,11
231677,S. Zaza,185.42,IT,Torino,11
231677,F. Ghoulam,182.88,DZ,Napoli,11
231677,B. Lecomte,185.42,FR,Montpellier HSC,11
231677,J. Iličić,190.5,SI,Atalanta,11
231677,K. Volland,177.8,DE,Bayer 04 Leverkusen,11
231677,Paco Alcácer,175.26,ES,Borussia Dortmund,11
231677,Vitolo,185.42,ES,Atlético Madrid,11
199503,G. Xhaka,185.42,CH,Arsenal,01
199503,D. Tadić,180.34,RS,Ajax,01
199503,C. Aránguiz,170.18,CL,Bayer 04 Leverkusen,01
199503,S. Verdi,170.18,IT,Napoli,01
199503,D. Lovren,187.96,HR,Liverpool,01
199503,G. Medel,170.18,CL,Beşiktaş JK,01
199503,X. Shaqiri,170.18,CH,Liverpool,01
199503,J. Corona,172.72,MX,FC Porto,01
199503,A. Areola,195.58,FR,Paris Saint-Germain,01
199503,K. Vogt,193.04,DE,TSG 1899 Hoffenheim,01
199503,Ander Herrera,182.88,ES,Manchester United,01
199503,E. Salvio,172.72,AR,SL Benfica,01
199503,S. El Shaarawy,177.8,IT,Roma,01
199503,C. Smalling,193.04,GB,Manchester United,01
199503,Hulk,180.34,BR,Shanghai SIPG FC,01
199503,S. Kagawa,175.26,JP,Borussia Dortmund,01
199503,M. Lanzini,167.64,AR,West Ham United,01
199503,F. Smolov,187.96,RU,Lokomotiv Moscow,01
199503,L. Stindl,180.34,DE,Borussia Mönchengladbach,01
199503,O. Toprak,185.42,TR,Borussia Dortmund,01
199503,D. Perotti,177.8,AR,Roma,01
199503,F. Muslera,190.5,UY,Galatasaray SK,01
199503,B. Höwedes,187.96,DE,Lokomotiv Moscow,01
199503,S. Kjær,187.96,DK,Sevilla FC,01
199503,S. Bender,185.42,DE,Bayer 04 Leverkusen,01
199503,M. Valbuena,167.64,FR,Fenerbahçe SK,01
199503,Pedro León,182.88,ES,SD Eibar,01
199503,K. Boateng,185.42,GH,Sassuolo,01
199503,L. Piszczek,182.88,PL,Borussia Dortmund,01
199503,A. Candreva,180.34,IT,Inter,01
199503,D. Wass,180.34,DK,Valencia CF,01
199503,E. Lamela,182.88,AR,Tottenham Hotspur,01
199503,D. Rose,175.26,GB,Tottenham Hotspur,01
199503,C. Vela,177.8,MX,Los Angeles FC,01
199503,Renato Augusto,185.42,BR,Beijing Sinobo Guoan FC,01
199503,A. Valencia,180.34,EC,Manchester United,01
199503,L. Fabiański,190.5,PL,West Ham United,01
199503,João Moutinho,170.18,PT,Wolverhampton Wanderers,01
199503,Borja Valero,175.26,ES,Inter,01
199503,F. Quagliarella,180.34,IT,Sampdoria,01
199503,B. Gomis,182.88,FR,Al Hilal,01
199503,Manuel Fernandes,175.26,PT,Lokomotiv Moscow,01
199503,H. Herrera,182.88,MX,FC Porto,01
199503,Raffael,175.26,BR,Borussia Mönchengladbach,01
199503,Nani,177.8,PT,Sporting CP,01
199503,J. Milner,175.26,GB,Liverpool,01
199503,J. Mathieu,187.96,FR,Sporting CP,01
199503,Joaquín,177.8,ES,Real Betis,01
199503,M. Gómez,185.42,UY,RC Celta,01
199503,K. Havertz,187.96,DE,Bayer 04 Leverkusen,01
199503,T. Ndombele,180.34,FR,Olympique Lyonnais,01
199503,H. Aouar,175.26,FR,Olympique Lyonnais,01
199503,Carlos Soler,180.34,ES,Valencia CF,01
199503,Odriozola,175.26,ES,Real Madrid,01
199503,M. Almirón,175.26,PY,Atlanta United,01
199503,Welington Dano,177.8,BR,Cruzeiro,01
199503,Everton Andrão,177.8,BR,Fluminense,01
199503,Oyarzabal,180.34,ES,Real Sociedad,01
199503,F. Balbuena,187.96,PY,West Ham United,01
199503,M. Marega,185.42,ML,FC Porto,01
199503,B. Pavard,185.42,FR,VfB Stuttgart,01
199503,W. Ndidi,182.88,NG,Leicester City,01
199503,A. Onana,187.96,CM,Ajax,01
199503,G. Lo Celso,175.26,AR,Real Betis,01
199503,M. Acuña,172.72,AR,Sporting CP,01
224293,Rúben Neves,180.34,PT,Wolverhampton Wanderers,110
224293,Mariano,180.34,DO,Real Madrid,110
224293,Raúl,187.96,BR,SC Braga,110
224293,M. Caldara,187.96,IT,Milan,110
224293,M. Vecino,187.96,UY,Inter,110
224293,T. Bakayoko,187.96,FR,Milan,110
224293,M. Dahoud,177.8,DE,Borussia Dortmund,110
224293,Rafa,172.72,PT,SL Benfica,110
224293,K. Baldé,180.34,SN,Inter,110
224293,G. Rulli,187.96,AR,Real Sociedad,110
224293,F. Armani,187.96,AR,River Plate,110
224293,Rony Lopes,175.26,PT,AS Monaco,110
224293,Santi Mina,180.34,ES,Valencia CF,110
224293,K. Demirbay,182.88,DE,TSG 1899 Hoffenheim,110
224293,Gayà,172.72,ES,Valencia CF,110
224293,André Gomes,187.96,PT,Everton,110
224293,N. Tagliafico,170.18,AR,Ajax,110
224293,M. Sanson,180.34,FR,Olympique de Marseille,110
224293,Pacheco,185.42,ES,Deportivo Alavés,110
224293,E. Can,182.88,DE,Juventus,110
224293,H. Çalhanoğlu,177.8,TR,Milan,110
224293,M. Ginter,187.96,DE,Borussia Mönchengladbach,110
224293,M. Keane,190.5,GB,Everton,110
224293,L. Paredes,180.34,AR,,110
224293,T. Stepanenko,180.34,UA,Shakhtar Donetsk,110
224293,L. Shaw,180.34,GB,Manchester United,110
224293,Z. Feddal,190.5,MA,Real Betis,110
224293,S. Haller,190.5,FR,Eintracht Frankfurt,110
224293,Bernard,165.1,BR,Everton,110
224293,T. Inui,170.18,JP,Real Betis,110
224293,Portu,177.8,ES,Girona FC,110
224293,M. Batshuayi,185.42,BE,Valencia CF,110
224293,E. Zahavi,182.88,IL,Guangzhou R&F; FC,110
224293,T. Vaclík,187.96,CZ,Sevilla FC,110
224293,N. Pope,200.66,GB,Burnley,110
224293,Héctor Bellerín,177.8,ES,Arsenal,110
224293,P. Kadeřábek,182.88,CZ,TSG 1899 Hoffenheim,110
224293,J. Butland,195.58,GB,Stoke City,110
224293,J. Vestergaard,198.12,DK,Southampton,110
224293,J. Tarkowski,193.04,GB,Burnley,110
224293,Deulofeu,177.8,ES,Watford,110
224293,E. Dier,187.96,GB,Tottenham Hotspur,110
224293,J. Murillo,182.88,CO,Valencia CF,110
224293,M. Badelj,185.42,HR,Lazio,110
224293,Ismaily,177.8,BR,Shakhtar Donetsk,110
224293,N. Schulz,180.34,DE,TSG 1899 Hoffenheim,110
224293,L. Digne,177.8,FR,Everton,110
224293,M. Uth,185.42,DE,FC Schalke 04,110
224293,Cristian Tello,177.8,ES,Real Betis,110
224293,D. Vida,182.88,HR,Beşiktaş JK,110
224293,L. Muriel,177.8,CO,Sevilla FC,110
224293,V. Aboubakar,182.88,CM,FC Porto,110
224293,A. Oxlade-Chamberlain,175.26,GB,Liverpool,110
224293,S. Aurier,175.26,CI,Tottenham Hotspur,110
224293,J. Matip,193.04,CM,Liverpool,110
224293,Y. Rakitskyi,185.42,UA,Shakhtar Donetsk,110
224293,Sergi Enrich,180.34,ES,SD Eibar,110
224293,A. Yarmolenko,190.5,UA,West Ham United,110
224293,Hugo Mallo,175.26,ES,RC Celta,110
224293,André Almeida,185.42,PT,SL Benfica,110
224293,D. Didavi,180.34,DE,VfB Stuttgart,110
224293,R. Rodríguez,180.34,CH,Milan,110
224293,R. Pereyra,182.88,AR,Watford,110
224293,Mario Gaspar,182.88,ES,Villarreal CF,110
224293,Maicon,190.5,BR,Galatasaray SK,110
224293,D. Blind,180.34,NL,Ajax,110
224293,J. Zoet,187.96,NL,PSV,110
224293,A. Ljajić,182.88,RS,Beşiktaş JK,110
224293,Canales,180.34,ES,Real Betis,110
224293,Iago Falqué,175.26,ES,Torino,110
224293,L. de Jong,187.96,NL,PSV,110
224293,Guaita,190.5,ES,Crystal Palace,110
224293,Muniain,170.18,ES,Athletic Club de Bilbao,110
224293,Susaeta,177.8,ES,Athletic Club de Bilbao,110
224293,S. Rudy,177.8,DE,FC Schalke 04,110
224293,K. Trapp,187.96,DE,Eintracht Frankfurt,110
224293,V. Wanyama,182.88,KE,Tottenham Hotspur,110
224293,N. Nkoulou,182.88,CM,Torino,110
224293,R. Boudebouz,177.8,DZ,Real Betis,110
224293,Camacho,182.88,ES,VfL Wolfsburg,110
224293,S. Ulreich,193.04,DE,FC Bayern München,110
224293,M. Musacchio,180.34,AR,Milan,110
224293,C. Stuani,185.42,UY,Girona FC,110
224293,P. Gulácsi,193.04,HU,RB Leipzig,110
224293,Bruno,182.88,ES,Villarreal CF,110
224293,F. Delph,175.26,GB,Manchester City,110
224293,A. Lallana,177.8,GB,Liverpool,110
224293,Marcelo,190.5,BR,Olympique Lyonnais,110
224293,S. Coleman,177.8,IE,Everton,110
