name,gender,height,category,subcat1,subcat2,extras
izuku midoriya,m,166.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
itsuka kendo,f,166.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
tomoko shiretoko,f,166.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
emi fukukado,f,166.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
mina ashido,f,159.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
fumikage tokoyami,m,158.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
mei hatsume,f,157.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
ochako uraraka,f,156.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
kyoka jiro,f,154.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
toru hagakure,f,152.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
tsuyu asui,f,150.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
gran torino,m,120.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
minoru mineta,m,108.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
kouta izumi,m,107.0,Fictional,Anime,My Hero Academia (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
charlotte linlin,f,880.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
jack,m,830.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
bartholomew kuma,m,689.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
edward weevil,m,680.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
charlotte katakuri,m,509.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
charlotte daifuku,m,489.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
charlotte smoothies,f,464.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
urouge,m,388.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
marshall d. teach,m,344.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
charlotte perospero,m,333.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
donquixote doflamingo,m,305.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
jinbe,m,301.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
brook,m,266.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
yamato,f,263.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
riku dold iii,m,261.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
scratchmen apoo,m,256.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
crocodile,m,253.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
franky,m,225.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
basil,m,210.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
eustass kid,m,205.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
t-bone,m,200.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
killer,m,195.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
trafalgar law,m,191.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
nico robin,f,188.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
portgas d. ace,m,185.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
wyper,m,183.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
roronoa zoro,m,178.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
sanji,m,177.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
usopp,m,174.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
jewelry bonney,f,174.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
monkey d. luffy,m,172.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
tashigi,f,170.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
charlotte flampe,f,170.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
nami,f,169.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
capone bege,m,166.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
streusen,m,140.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
kozuki momonosuke,m,110.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
tony tony chopper,m,90.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
manshelly,f,20.0,Fictional,Anime,One Piece,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
shuuji hanma,m,192.0,Fictional,Anime,Tokyo Revengers Season 2,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
kanji mochizuki,m,192.0,Fictional,Anime,Tokyo Revengers Season 2,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
yasuhiro mutou,m,187.0,Fictional,Anime,Tokyo Revengers Season 2,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
ken ryuuguuji,m,185.0,Fictional,Anime,Tokyo Revengers Season 2,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
hakkai shiba,m,183.0,Fictional,Anime,Tokyo Revengers Season 2,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
seishu inui,m,177.0,Fictional,Anime,Tokyo Revengers Season 2,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
ryouhei hayashi,m,176.0,Fictional,Anime,Tokyo Revengers Season 2,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
keisuke baji,m,175.0,Fictional,Anime,Tokyo Revengers Season 2,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
hajime kokonoi,m,174.0,Fictional,Anime,Tokyo Revengers Season 2,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
makoto suzuki,m,172.0,Fictional,Anime,Tokyo Revengers Season 2,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
haruchiyo sanzu,m,172.0,Fictional,Anime,Tokyo Revengers Season 2,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
nahoya kawata,m,170.0,Fictional,Anime,Tokyo Revengers Season 2,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
takashi mitsuya,m,170.0,Fictional,Anime,Tokyo Revengers Season 2,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
atsushi sendou,m,168.0,Fictional,Anime,Tokyo Revengers Season 2,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
chifuyu matsuno,f,168.0,Fictional,Anime,Tokyo Revengers Season 2,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
takuya yamamoto,m,166.0,Fictional,Anime,Tokyo Revengers Season 2,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
takemichi hanagaki (teen),m,165.0,Fictional,Anime,Tokyo Revengers Season 2,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
yuzuha shiba,f,165.0,Fictional,Anime,Tokyo Revengers Season 2,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
izana kurokawa,m,165.0,Fictional,Anime,Tokyo Revengers Season 2,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
haruki hayashida,m,164.0,Fictional,Anime,Tokyo Revengers Season 2,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
tetta kisaki,m,164.0,Fictional,Anime,Tokyo Revengers Season 2,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
manjirou sano,m,162.0,Fictional,Anime,Tokyo Revengers Season 2,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
kazushi yamagishi,m,158.0,Fictional,Anime,Tokyo Revengers Season 2,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
hinata tachibana (teen),f,153.0,Fictional,Anime,Tokyo Revengers Season 2,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
emma sano,f,150.0,Fictional,Anime,Tokyo Revengers Season 2,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
naoto tachibana (young),m,148.0,Fictional,Anime,Tokyo Revengers Season 2,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
yoshikatsu kuroda,m,190.0,Fictional,Anime,Fastest Finger First,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
gakuto sasajima,m,183.0,Fictional,Anime,Fastest Finger First,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
masaru shibata,m,180.0,Fictional,Anime,Fastest Finger First,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
kunimitsu ookura,m,178.0,Fictional,Anime,Fastest Finger First,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
seiji fukami,m,178.0,Fictional,Anime,Fastest Finger First,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
yousuke ashiya,m,177.0,Fictional,Anime,Fastest Finger First,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
haruomi konoe,m,176.0,Fictional,Anime,Fastest Finger First,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
minoru hanabusa,m,175.0,Fictional,Anime,Fastest Finger First,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
chisato mikuriya,f,172.0,Fictional,Anime,Fastest Finger First,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
ryouta mukai,m,170.0,Fictional,Anime,Fastest Finger First,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
takumi niina,m,170.0,Fictional,Anime,Fastest Finger First,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
toichirou nakazawa,m,168.0,Fictional,Anime,Fastest Finger First,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
koutarou tozuka,m,165.0,Fictional,Anime,Fastest Finger First,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
daisuke inoue,m,163.0,Fictional,Anime,Fastest Finger First,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
wataru maruyama,m,163.0,Fictional,Anime,Fastest Finger First,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
yuki kouzuki,f,162.0,Fictional,Anime,Fastest Finger First,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
jinko sasajima,f,161.0,Fictional,Anime,Fastest Finger First,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
mari fukami,f,157.0,Fictional,Anime,Fastest Finger First,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
akira sonohara,m,157.0,Fictional,Anime,Fastest Finger First,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
tamami kogawa,f,155.0,Fictional,Anime,Fastest Finger First,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
shiki koshiyama,m,153.0,Fictional,Anime,Fastest Finger First,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
hajime sasaki,m,153.0,Fictional,Anime,Fastest Finger First,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
chiaki sonohara,f,153.0,Fictional,Anime,Fastest Finger First,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
fumika kenmochi,f,151.0,Fictional,Anime,Fastest Finger First,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
barinas,m,190.0,Fictional,Anime,Illusion Connect,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
camille,f,179.0,Fictional,Anime,Illusion Connect,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
hersey,m,177.0,Fictional,Anime,Illusion Connect,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
beatrice,f,176.0,Fictional,Anime,Illusion Connect,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
anna,f,172.0,Fictional,Anime,Illusion Connect,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
frantiva,f,172.0,Fictional,Anime,Illusion Connect,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
yuffie,f,170.0,Fictional,Anime,Illusion Connect,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
victoria,f,168.0,Fictional,Anime,Illusion Connect,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
ashwaya,f,167.0,Fictional,Anime,Illusion Connect,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
kiraya,f,166.0,Fictional,Anime,Illusion Connect,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
angela,f,164.0,Fictional,Anime,Illusion Connect,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
miyuki soga,f,163.0,Fictional,Anime,Illusion Connect,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
kasumi,f,161.0,Fictional,Anime,Illusion Connect,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
saya murasaki,f,159.0,Fictional,Anime,Illusion Connect,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
maki toubun,f,158.0,Fictional,Anime,Illusion Connect,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
hotaru kamiizumi,f,157.0,Fictional,Anime,Illusion Connect,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
nina,f,156.0,Fictional,Anime,Illusion Connect,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
gekka ootori,f,156.0,Fictional,Anime,Illusion Connect,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
rikia,f,156.0,Fictional,Anime,Illusion Connect,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
emma,f,155.0,Fictional,Anime,Illusion Connect,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
rie natsume,f,145.0,Fictional,Anime,Illusion Connect,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
rotania,f,139.0,Fictional,Anime,Illusion Connect,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
mei iga,f,138.0,Fictional,Anime,Illusion Connect,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
saazbaum,m,190.0,Fictional,Anime,Aldnoah Zero,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
cruhteo,m,187.0,Fictional,Anime,Aldnoah Zero,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
rayregalia vers rayvers,m,185.0,Fictional,Anime,Aldnoah Zero,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
trillram,m,185.0,Fictional,Anime,Aldnoah Zero,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
kouichirou marito,m,183.0,Fictional,Anime,Aldnoah Zero,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
vlad,m,182.0,Fictional,Anime,Aldnoah Zero,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
souma yagarai,m,180.0,Fictional,Anime,Aldnoah Zero,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
yuutarou tsumugi,m,176.0,Fictional,Anime,Aldnoah Zero,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
calm craftman,m,175.0,Fictional,Anime,Aldnoah Zero,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
femieanne,f,173.0,Fictional,Anime,Aldnoah Zero,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
shigou kakei,m,172.0,Fictional,Anime,Aldnoah Zero,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
slaine troyard,m,170.0,Fictional,Anime,Aldnoah Zero,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
darzana magbaredge,f,170.0,Fictional,Anime,Aldnoah Zero,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
okisuke mikuni,m,170.0,Fictional,Anime,Aldnoah Zero,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
kisaki matsuribi,f,170.0,Fictional,Anime,Aldnoah Zero,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
yuki kaizuka,f,168.0,Fictional,Anime,Aldnoah Zero,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
kaoru mizusaki,f,166.0,Fictional,Anime,Aldnoah Zero,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
inko amifumi,f,165.0,Fictional,Anime,Aldnoah Zero,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
inaho kaizuka,m,164.0,Fictional,Anime,Aldnoah Zero,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
rayet areash,f,158.0,Fictional,Anime,Aldnoah Zero,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
nina klein,f,158.0,Fictional,Anime,Aldnoah Zero,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
asseylum vers allusia,f,155.0,Fictional,Anime,Aldnoah Zero,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
eddelrittuo,f,134.0,Fictional,Anime,Aldnoah Zero,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
zastin deviluke,m,205.0,Fictional,Anime,To Love-Ru (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
ryoko mikado,f,171.0,Fictional,Anime,To Love-Ru (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
ren elsie jewelria,f,168.0,Fictional,Anime,To Love-Ru (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
risa momioka,f,167.0,Fictional,Anime,To Love-Ru (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
rin kujou,f,167.0,Fictional,Anime,To Love-Ru (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
tearju lunatique,f,167.0,Fictional,Anime,To Love-Ru (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
lala satalin deviluke,f,165.0,Fictional,Anime,To Love-Ru (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
saki tenjoin,f,165.0,Fictional,Anime,To Love-Ru (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
yui kotegawa,f,162.0,Fictional,Anime,To Love-Ru (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
kyoko kirisaki,f,162.0,Fictional,Anime,To Love-Ru (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
haruna sairenji,f,160.0,Fictional,Anime,To Love-Ru (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
oshizu murasame,f,159.0,Fictional,Anime,To Love-Ru (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
run elsie jewelria,f,158.0,Fictional,Anime,To Love-Ru (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
ayako 'aya' fujisaki,f,157.0,Fictional,Anime,To Love-Ru (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
golden darkness,f,153.0,Fictional,Anime,To Love-Ru (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
mea kurosaki,f,153.0,Fictional,Anime,To Love-Ru (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
momo belia deviluke,f,151.0,Fictional,Anime,To Love-Ru (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
nulla astar deviluke,f,151.0,Fictional,Anime,To Love-Ru (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
mikan yuuki,f,149.0,Fictional,Anime,To Love-Ru (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
celine,f,47.0,Fictional,Anime,To Love-Ru (Series),"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
kuina,f,186.0,Fictional,Anime,The Scales of Nil Admirari: The Mysterious Story of Teito,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
hideki owase,m,185.0,Fictional,Anime,The Scales of Nil Admirari: The Mysterious Story of Teito,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
takashi shiginuma,m,183.0,Fictional,Anime,The Scales of Nil Admirari: The Mysterious Story of Teito,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
yutaka nabari,m,182.0,Fictional,Anime,The Scales of Nil Admirari: The Mysterious Story of Teito,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
akira kougami,m,180.0,Fictional,Anime,The Scales of Nil Admirari: The Mysterious Story of Teito,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
takuma yoshikiri,m,180.0,Fictional,Anime,The Scales of Nil Admirari: The Mysterious Story of Teito,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
shizuru migiwa,f,178.0,Fictional,Anime,The Scales of Nil Admirari: The Mysterious Story of Teito,"{'Birthday': null, 'Age':null, 'gender': null, 'Blood Type': null}"
