name,gender,occupation,height,details
adam beach,male,"{actor,film_producer}",182.0,"{\"net_worth\": 2000000.0, \"birthday\": \"1972-11-11,age\": 50.0, \"is_alive\": 1.0, \"death\": None}"
adam brody,male,"{actor,musician,voice_actor}",180.0,"{\"net_worth\": 16000000.0, \"birthday\": \"1979-12-15,age\": 43.0, \"is_alive\": 1.0, \"death\": None}"
adam campbell,male,actor,171.0,"{\"net_worth\": 2000000.0, \"birthday\": \"1980-08-19,age\": 42.0, \"is_alive\": 1.0, \"death\": None}"
adam carolla,male,"{comedian,talk_show_host,radio_personality,actor,carpentry,tv_personality,presenter,voice_actor,screenwriter,television_producer}",188.0,"{\"net_worth\": 20000000.0, \"birthday\": \"1964-05-27,age\": 59.0, \"is_alive\": 1.0, \"death\": None}"
adam deacon,male,"{actor,film_director,rapper,screenwriter,writer}",165.0,"{\"net_worth\": 4000000.0, \"birthday\": \"1983-03-04,age\": 40.0, \"is_alive\": 1.0, \"death\": None}"
adam devine,male,"{film_producer,actor,screenwriter,television_producer,comedian,voice_actor}",173.0,"{\"net_worth\": 8000000.0, \"birthday\": \"1983-11-07,age\": 39.0, \"is_alive\": 1.0, \"death\": None}"
adam driver,male,actor,191.0,"{\"net_worth\": 16000000.0, \"birthday\": \"1983-11-19,age\": 39.0, \"is_alive\": 1.0, \"death\": None}"
adam garcia,male,"{actor,dancer,singer}",180.0,"{\"net_worth\": 3000000.0, \"birthday\": \"1973-06-01,age\": 50.0, \"is_alive\": 1.0, \"death\": None}"
adam goldberg,male,"{actor,film_director,film_producer,musician,film_editor,singer,voice_actor,composer,screenwriter}",180.0,"{\"net_worth\": 6000000.0, \"birthday\": \"1970-10-25,age\": 52.0, \"is_alive\": 1.0, \"death\": None}"
adam lamberg,male,actor,162.0,"{\"net_worth\": 1500000.0, \"birthday\": \"1984-09-14,age\": 38.0, \"is_alive\": 1.0, \"death\": None}"
adam lambert,male,"{actor,musician,artist,record_producer,singer-songwriter,music_artist}",185.0,"{\"net_worth\": 30000000.0, \"birthday\": \"1982-01-29,age\": 41.0, \"is_alive\": 1.0, \"death\": None}"
adam levine,male,"{musician,guitarist,actor,singer-songwriter,entrepreneur,vocal_coach}",182.0,"{\"net_worth\": 120000000.0, \"birthday\": \"1979-03-18,age\": 44.0, \"is_alive\": 1.0, \"death\": None}"
adam mckay,male,"{screenwriter,actor,film_director,comedian,television_producer,television_director,film_producer}",196.0,"{\"net_worth\": 40000000.0, \"birthday\": \"1968-04-17,age\": 55.0, \"is_alive\": 1.0, \"death\": None}"
adam pally,male,"{actor,television_director,screenwriter,comedian,film_producer}",179.0,"{\"net_worth\": 600000.0, \"birthday\": \"1982-03-18,age\": 41.0, \"is_alive\": 1.0, \"death\": None}"
adam rodriguez,male,"{actor,television_director,screenwriter}",183.0,"{\"net_worth\": 16000000.0, \"birthday\": \"1975-04-02,age\": 48.0, \"is_alive\": 1.0, \"death\": None}"
adam sandler,male,"{screenwriter,film_producer,actor,television_producer,comedian,musician,songwriter,voice_actor}",177.0,"{\"net_worth\": 420000000.0, \"birthday\": \"1966-09-09,age\": 56.0, \"is_alive\": 1.0, \"death\": None}"
adam savage,male,"{actor,educator,television_producer,special_effects_designer,presenter,industrial_designer}",182.0,"{\"net_worth\": 8000000.0, \"birthday\": \"1967-07-15,age\": 55.0, \"is_alive\": 1.0, \"death\": None}"
adam scott,male,"{actor,film_producer,television_producer,television_director,screenwriter}",177.0,"{\"net_worth\": 8000000.0, \"birthday\": \"1973-04-03,age\": 50.0, \"is_alive\": 1.0, \"death\": None}"
adam west,male,"{actor,voice_actor,presenter}",188.0,"{\"net_worth\": 8000000.0, \"birthday\": \"1928-09-19,age\": 88.0, \"is_alive\": 0.0, \"death\": \"2017-06-09"}"
addison timlin,female,actor,154.0,"{\"net_worth\": 400000.0, \"birthday\": \"1991-06-29,age\": 32.0, \"is_alive\": 1.0, \"death\": None}"
adelaide clemens,female,actor,175.0,"{\"net_worth\": 4000000.0, \"birthday\": \"1989-11-30,age\": 33.0, \"is_alive\": 1.0, \"death\": None}"
madeleine albright,female,"{politician,diplomat,professor}",147.0,"{\"net_worth\": 10000000.0, \"birthday\": \"1937-05-15,age\": 86.0, \"is_alive\": 1.0, \"death\": None}"
adrian chiles,male,"{presenter,radio_personality,disc_jockey,actor,writer,screenwriter}",183.0,"{\"net_worth\": 2000000.0, \"birthday\": \"1967-03-21,age\": 56.0, \"is_alive\": 1.0, \"death\": None}"
adrian grenier,male,"{actor,film_producer,musician,television_producer,film_director}",183.0,"{\"net_worth\": 12000000.0, \"birthday\": \"1976-07-10,age\": 46.0, \"is_alive\": 1.0, \"death\": None}"
adrian holmes,male,"{actor,voice_actor}",182.0,"{\"net_worth\": 4000000.0, \"birthday\": \"1974-03-31,age\": 49.0, \"is_alive\": 1.0, \"death\": None}"
adrian lester,male,"{actor,television_director,screenwriter}",185.0,"{\"net_worth\": 6000000.0, \"birthday\": \"1968-08-14,age\": 54.0, \"is_alive\": 1.0, \"death\": None}"
adrian pasdar,male,"{actor,film_director,voice_actor,guitarist}",178.0,"{\"net_worth\": 10000000.0, \"birthday\": \"1965-04-30,age\": 58.0, \"is_alive\": 1.0, \"death\": None}"
adrian paul,male,"{actor,film_producer,television_producer,model,dancer,choreographer}",183.0,"{\"net_worth\": 500000.0, \"birthday\": \"1959-05-29,age\": 64.0, \"is_alive\": 1.0, \"death\": None}"
adrian zmed,male,actor,173.0,"{\"net_worth\": 3000000.0, \"birthday\": \"1954-03-14,age\": 69.0, \"is_alive\": 1.0, \"death\": None}"
adriana lima,female,"{model,supermodel,fashion_model}",178.0,"{\"net_worth\": 95000000.0, \"birthday\": \"1981-06-12,age\": 42.0, \"is_alive\": 1.0, \"death\": None}"
adrianne curry,female,"{model,television_producer,actor,waiting_staff}",179.0,"{\"net_worth\": 500000.0, \"birthday\": \"1982-08-06,age\": 40.0, \"is_alive\": 1.0, \"death\": None}"
adrianne palicki,female,actor,180.0,"{\"net_worth\": 4000000.0, \"birthday\": \"1983-05-06,age\": 40.0, \"is_alive\": 1.0, \"death\": None}"
adrien brody,male,"{actor,film_producer,voice_actor}",185.0,"{\"net_worth\": 16000000.0, \"birthday\": \"1973-04-14,age\": 50.0, \"is_alive\": 1.0, \"death\": None}"
adrienne bailon,female,"{actor,singer-songwriter,dancer,tv_personality}",150.0,"{\"net_worth\": 4000000.0, \"birthday\": \"1983-10-24,age\": 39.0, \"is_alive\": 1.0, \"death\": None}"
adrienne barbeau,female,"{actor,voice_actor,writer,author}",159.0,"{\"net_worth\": 5000000.0, \"birthday\": \"1945-06-11,age\": 78.0, \"is_alive\": 1.0, \"death\": None}"
adrienne maloof-nassif,female,"{businessperson,presenter}",155.0,"{\"net_worth\": 50000000.0, \"birthday\": \"1961-09-04,age\": 61.0, \"is_alive\": 1.0, \"death\": None}"
afrojack,male,"{disc_jockey,record_producer,remixer}",208.0,"{\"net_worth\": 60000000.0, \"birthday\": \"1987-09-09,age\": 35.0, \"is_alive\": 1.0, \"death\": None}"
afshan azad,female,"{actor,model}",170.0,"{\"net_worth\": 1500000.0, \"birthday\": \"1988-02-12,age\": 35.0, \"is_alive\": 1.0, \"death\": None}"
agnes bruckner,female,"{actor,model}",172.0,"{\"net_worth\": 2000000.0, \"birthday\": \"1985-08-16,age\": 37.0, \"is_alive\": 1.0, \"death\": None}"
agnieszka radwanska,female,tennis_player,172.0,"{\"net_worth\": 25000000.0, \"birthday\": \"1989-03-06,age\": 34.0, \"is_alive\": 1.0, \"death\": None}"
agyness deyn,female,"{fashion_model,singer,actor}",173.0,"{\"net_worth\": 5000000.0, \"birthday\": \"1983-02-16,age\": 40.0, \"is_alive\": 1.0, \"death\": None}"
ahmed best,male,"{actor,television_producer,television_director,screenwriter,musician,voice_actor}",180.0,"{\"net_worth\": 3000000.0, \"birthday\": \"1973-08-19,age\": 49.0, \"is_alive\": 1.0, \"death\": None}"
aida turturro,female,actor,165.0,"{\"net_worth\": 5000000.0, \"birthday\": \"1962-09-25,age\": 60.0, \"is_alive\": 1.0, \"death\": None}"
aidan gillen,male,actor,178.0,"{\"net_worth\": 8000000.0, \"birthday\": \"1968-04-24,age\": 55.0, \"is_alive\": 1.0, \"death\": None}"
aidan quinn,male,actor,183.0,"{\"net_worth\": 12000000.0, \"birthday\": \"1959-03-08,age\": 64.0, \"is_alive\": 1.0, \"death\": None}"
aileen quinn,female,"{actor,dancer,film_director,singer-songwriter}",149.0,"{\"net_worth\": 500000.0, \"birthday\": \"1971-06-28,age\": 52.0, \"is_alive\": 1.0, \"death\": None}"
aimee garcia,female,"{actor,teacher,voice_actor,screenwriter}",157.0,"{\"net_worth\": 2000000.0, \"birthday\": \"1978-11-28,age\": 44.0, \"is_alive\": 1.0, \"death\": None}"
aimee mann,female,"{singer,singer-songwriter,bassist,songwriter,actor,guitarist}",182.0,"{\"net_worth\": 10000000.0, \"birthday\": \"1960-09-08,age\": 62.0, \"is_alive\": 1.0, \"death\": None}"
aimee teegarden,female,"{actor,model,film_producer}",170.0,"{\"net_worth\": 6000000.0, \"birthday\": \"1989-10-10,age\": 33.0, \"is_alive\": 1.0, \"death\": None}"
ainsley harriott,male,"{presenter,chef,celebrity_chef,actor}",191.0,"{\"net_worth\": 4000000.0, \"birthday\": \"1957-02-28,age\": 66.0, \"is_alive\": 1.0, \"death\": None}"
aisha tyler,female,"{actor,comedian,author,voice_actor,screenwriter}",183.0,"{\"net_worth\": 8000000.0, \"birthday\": \"1970-09-18,age\": 52.0, \"is_alive\": 1.0, \"death\": None}"
aishwarya rai,female,"{actor,model}",170.0,"{\"net_worth\": 100000000.0, \"birthday\": \"1973-11-01,age\": 49.0, \"is_alive\": 1.0, \"death\": None}"
aisleyne horgan-wallace,female,"{fashion_designer,model,presenter,actor}",172.0,"{\"net_worth\": 3000000.0, \"birthday\": \"1978-12-28,age\": 44.0, \"is_alive\": 1.0, \"death\": None}"
aj michalka,female,"{singer,songwriter,actor,model,musician,guitarist}",168.0,"{\"net_worth\": 700000.0, \"birthday\": \"1991-04-10,age\": 32.0, \"is_alive\": 1.0, \"death\": None}"
ajay devgan,male,"{actor,film_producer,film_director}",175.0,"{\"net_worth\": 30000000.0, \"birthday\": \"1969-04-02,age\": 54.0, \"is_alive\": 1.0, \"death\": None}"
aksel hennie,male,"{actor,film_director,screenwriter,voice_actor}",173.0,"{\"net_worth\": 5000000.0, \"birthday\": \"1975-10-29,age\": 47.0, \"is_alive\": 1.0, \"death\": None}"
akshay kumar,male,"{actor,presenter,stunt_performer,martial_artist,film_producer}",180.0,"{\"net_worth\": 240000000.0, \"birthday\": \"1967-09-09,age\": 55.0, \"is_alive\": 1.0, \"death\": None}"
al cowlings,male,american_football_player,196.0,"{\"net_worth\": 250000.0, \"birthday\": \"1947-06-16,age\": 76.0, \"is_alive\": 1.0, \"death\": None}"
al franken,male,"{politician,comedian,author,actor,screenwriter,radio_personality,commentator,television_producer}",168.0,"{\"net_worth\": 8000000.0, \"birthday\": \"1951-05-21,age\": 72.0, \"is_alive\": 1.0, \"death\": None}"
al gore,male,"{politician,writer,author,presenter,advocate,philanthropist,environmentalist,actor}",187.0,"{\"net_worth\": 300000000.0, \"birthday\": \"1948-03-31,age\": 75.0, \"is_alive\": 1.0, \"death\": None}"
jamal lewis,male,american_football_player,180.0,"{\"net_worth\": -1000000.0, \"birthday\": \"1979-08-26,age\": 43.0, \"is_alive\": 1.0, \"death\": None}"
al pacino,male,"{actor,film_director,film_producer,theatre_director}",170.0,"{\"net_worth\": 120000000.0, \"birthday\": \"1940-04-25,age\": 83.0, \"is_alive\": 1.0, \"death\": None}"
al roker,male,"{tv_meteorologist,tv_journalist,presenter,journalist,writer,author,actor,television_producer,voice_actor}",173.0,"{\"net_worth\": 70000000.0, \"birthday\": \"1954-08-20,age\": 68.0, \"is_alive\": 1.0, \"death\": None}"
alain delon,male,"{actor,film_producer,screenwriter,film_director,soldier,singer,television_producer}",177.0,"{\"net_worth\": 200000000.0, \"birthday\": \"1935-11-08,age\": 87.0, \"is_alive\": 1.0, \"death\": None}"
alan alda,male,"{actor,television_director,screenwriter,film_director,author,activist}",188.0,"{\"net_worth\": 40000000.0, \"birthday\": \"1936-01-28,age\": 87.0, \"is_alive\": 1.0, \"death\": None}"
alan arkin,male,"{actor,television_director,singer,musician,screenwriter,film_director}",175.0,"{\"net_worth\": 15000000.0, \"birthday\": \"1934-03-26,age\": 89.0, \"is_alive\": 1.0, \"death\": None}"
alan cumming,male,"{actor,singer,film_director,film_producer,screenwriter,author,entrepreneur,voice_actor,film_score_composer}",178.0,"{\"net_worth\": 5000000.0, \"birthday\": \"1965-01-27,age\": 58.0, \"is_alive\": 1.0, \"death\": None}"
alan dale,male,"{actor,rugby_player,voice_actor}",188.0,"{\"net_worth\": 8000000.0, \"birthday\": \"1947-05-06,age\": 76.0, \"is_alive\": 1.0, \"death\": None}"
alan jackson,male,"{songwriter,singer,singer-songwriter,musician,artist,music_artist}",193.0,"{\"net_worth\": 95000000.0, \"birthday\": \"1958-10-17,age\": 64.0, \"is_alive\": 1.0, \"death\": None}"
alan king,male,actor,173.0,"{\"net_worth\": 10000000.0, \"birthday\": \"1973-02-05,age\": 50.0, \"is_alive\": 1.0, \"death\": None}"
alan rickman,male,"{actor,graphic_designer,film_director,film_producer,screenwriter,voice_actor}",185.0,"{\"net_worth\": 16000000.0, \"birthday\": \"1946-02-21,age\": 77.0, \"is_alive\": 1.0, \"death\": None}"
alan ritchson,male,"{singer,model,actor}",188.0,"{\"net_worth\": 3000000.0, \"birthday\": \"1984-11-28,age\": 38.0, \"is_alive\": 1.0, \"death\": None}"
alan ruck,male,actor,183.0,"{\"net_worth\": 10000000.0, \"birthday\": \"1956-07-01,age\": 67.0, \"is_alive\": 1.0, \"death\": None}"
alan shearer,male,"{coach,football_player}",183.0,"{\"net_worth\": 52500000.0, \"birthday\": \"1970-08-13,age\": 52.0, \"is_alive\": 1.0, \"death\": None}"
alan sugar,male,"{businessperson,tv_personality,entrepreneur,author,politician}",173.0,"{\"net_worth\": 1300000000.0, \"birthday\": \"1947-03-24,age\": 76.0, \"is_alive\": 1.0, \"death\": None}"
alan thicke,male,"{actor,songwriter,screenwriter,television_producer,comedian,writer,presenter,master_of_ceremonies,musician,composer}",185.0,"{\"net_worth\": 40000000.0, \"birthday\": \"1947-03-01,age\": 69.0, \"is_alive\": 0.0, \"death\": \"2016-12-13"}"
alan tudyk,male,"{actor,voice_actor}",183.0,"{\"net_worth\": 2000000.0, \"birthday\": \"1971-03-16,age\": 52.0, \"is_alive\": 1.0, \"death\": None}"
alan young,male,"{actor,voice_actor}",178.0,"{\"net_worth\": 5000000.0, \"birthday\": \"1919-11-19,age\": 103.0, \"is_alive\": 1.0, \"death\": None}"
alana de la garza,female,actor,175.0,"{\"net_worth\": 4000000.0, \"birthday\": \"1976-06-18,age\": 47.0, \"is_alive\": 1.0, \"death\": None}"
alanis morissette,female,"{writer,singer,record_producer,songwriter,actor,film_director,film_score_composer,film_producer,guitarist,musician}",163.0,"{\"net_worth\": 45000000.0, \"birthday\": \"1974-06-01,age\": 49.0, \"is_alive\": 1.0, \"death\": None}"
alanna ubach,female,"{actor,voice_actor,singer}",157.0,"{\"net_worth\": 800000.0, \"birthday\": \"1975-10-03,age\": 47.0, \"is_alive\": 1.0, \"death\": None}"
albert brooks,male,"{comedian,actor,screenwriter,film_director,television_director,voice_actor}",178.0,"{\"net_worth\": 28000000.0, \"birthday\": \"1947-07-22,age\": 75.0, \"is_alive\": 1.0, \"death\": None}"
albert einstein,male,"{physicist,scientist,writer,philosopher,theoretical_physicist,mathematician,author,teacher}",175.0,"{\"net_worth\": 1000000.0, \"birthday\": \"1879-03-14,age\": 76.0, \"is_alive\": 0.0, \"death\": \"1955-04-18"}"
albert finney,male,"{actor,film_producer,singer,film_director,voice_actor}",175.0,"{\"net_worth\": 10000000.0, \"birthday\": \"1936-05-09,age\": 82.0, \"is_alive\": 0.0, \"death\": \"2019-02-07"}"
alberto del rio,male,"{mixed_martial_artist,wrestler}",196.0,"{\"net_worth\": 6000000.0, \"birthday\": \"1977-05-25,age\": 46.0, \"is_alive\": 1.0, \"death\": None}"
aldis hodge,male,"{actor,voice_actor}",185.0,"{\"net_worth\": 10000000.0, \"birthday\": \"1986-09-20,age\": 36.0, \"is_alive\": 1.0, \"death\": None}"
alec baldwin,male,"{actor,television_producer,film_producer,voice_actor,author,comedian}",183.0,"{\"net_worth\": 60000000.0, \"birthday\": \"1958-04-03,age\": 65.0, \"is_alive\": 1.0, \"death\": None}"
alec guinness,male,actor,178.0,"{\"net_worth\": 100000000.0, \"birthday\": \"1914-04-02,age\": 86.0, \"is_alive\": 0.0, \"death\": \"2000-08-05"}"
alec mapa,male,"{actor,writer,comedian}",165.0,"{\"net_worth\": 1000000.0, \"birthday\": \"1965-07-10,age\": 57.0, \"is_alive\": 1.0, \"death\": None}"
alejandro gonzalez inarritu,male,"{film_director,film_producer,screenwriter,composer,film_score_composer,film_editor}",184.0,"{\"net_worth\": 40000000.0, \"birthday\": \"1963-08-15,age\": 59.0, \"is_alive\": 1.0, \"death\": None}"
alek wek,female,"{fashion_model,supermodel}",180.0,"{\"net_worth\": 20000000.0, \"birthday\": \"1977-04-16,age\": 46.0, \"is_alive\": 1.0, \"death\": None}"
alesha dixon,female,"{singer,songwriter,musician,singer-songwriter,model,presenter,rapper,dancer}",169.0,"{\"net_worth\": 4000000.0, \"birthday\": \"1978-10-07,age\": 44.0, \"is_alive\": 1.0, \"death\": None}"
alessandra ambrosio,female,"{fashion_model,supermodel,actor}",176.0,"{\"net_worth\": 80000000.0, \"birthday\": \"1981-04-11,age\": 42.0, \"is_alive\": 1.0, \"death\": None}"
alessandro nivola,male,actor,175.0,"{\"net_worth\": 3000000.0, \"birthday\": \"1972-06-28,age\": 51.0, \"is_alive\": 1.0, \"death\": None}"
alex band,male,"{musician,singer-songwriter,record_producer,actor}",178.0,"{\"net_worth\": 500000.0, \"birthday\": \"1981-06-08,age\": 42.0, \"is_alive\": 1.0, \"death\": None}"
alex borstein,female,"{actor,screenwriter,television_producer,comedian,singer,voice_actor,film_producer}",152.0,"{\"net_worth\": 24000000.0, \"birthday\": \"1973-02-15,age\": 50.0, \"is_alive\": 1.0, \"death\": None}"
alex d. linz,male,"{actor,voice_actor}",163.0,"{\"net_worth\": 400000.0, \"birthday\": \"1989-01-03,age\": 34.0, \"is_alive\": 1.0, \"death\": None}"
alex ferguson,male,"{coach,manager,football_player}",180.0,"{\"net_worth\": 70000000.0, \"birthday\": \"1941-12-31,age\": 81.0, \"is_alive\": 1.0, \"death\": None}"
alex gaskarth,male,"{singer-songwriter,guitarist}",184.0,"{\"net_worth\": 1000000.0, \"birthday\": \"1987-12-14,age\": 35.0, \"is_alive\": 1.0, \"death\": None}"
alex jennings,male,actor,188.0,"{\"net_worth\": 5000000.0, \"birthday\": \"1957-05-10,age\": 66.0, \"is_alive\": 1.0, \"death\": None}"
alex jones,male,"{actor,film_director,film_producer,radio_personality}",178.0,"{\"net_worth\": 5000000.0, \"birthday\": \"1974-02-11,age\": 49.0, \"is_alive\": 1.0, \"death\": None}"
alex kapranos,male,"{singer,guitarist,author,record_producer,songwriter,musician}",180.0,"{\"net_worth\": 10000000.0, \"birthday\": \"1972-03-20,age\": 51.0, \"is_alive\": 1.0, \"death\": None}"
alex karras,male,"{wrestler,american_football_player,actor,writer,television_producer}",188.0,"{\"net_worth\": 6000000.0, \"birthday\": \"1935-07-15,age\": 77.0, \"is_alive\": 0.0, \"death\": \"2012-10-10"}"
alex kingston,female,actor,170.0,"{\"net_worth\": 6000000.0, \"birthday\": \"1963-03-11,age\": 60.0, \"is_alive\": 1.0, \"death\": None}"
alex morgan,female,football_player,173.0,"{\"net_worth\": 3000000.0, \"birthday\": \"1989-07-02,age\": 34.0, \"is_alive\": 1.0, \"death\": None}"
alex o'loughlin,male,"{actor,writer}",188.0,"{\"net_worth\": 25000000.0, \"birthday\": \"1976-08-24,age\": 46.0, \"is_alive\": 1.0, \"death\": None}"
alex pettyfer,male,"{model,actor}",181.0,"{\"net_worth\": 3500000.0, \"birthday\": \"1990-04-10,age\": 33.0, \"is_alive\": 1.0, \"death\": None}"
alex rodriguez,male,"{baseball_player,actor,athlete}",190.0,"{\"net_worth\": 350000000.0, \"birthday\": \"1975-07-27,age\": 47.0, \"is_alive\": 1.0, \"death\": None}"
alex turner,male,"{singer,guitarist,songwriter,musician,composer}",177.0,"{\"net_worth\": 25000000.0, \"birthday\": \"1986-01-06,age\": 37.0, \"is_alive\": 1.0, \"death\": None}"
alex wolff,male,"{drummer,actor,songwriter,musician,composer,guitarist,keyboard_player}",140.0,"{\"net_worth\": 3000000.0, \"birthday\": \"1997-11-01,age\": 25.0, \"is_alive\": 1.0, \"death\": None}"
alexa chung,female,"{presenter,model,editor}",173.0,"{\"net_worth\": 12000000.0, \"birthday\": \"1983-11-05,age\": 39.0, \"is_alive\": 1.0, \"death\": None}"
alexa davalos,female,actor,170.0,"{\"net_worth\": 4000000.0, \"birthday\": \"1982-05-28,age\": 41.0, \"is_alive\": 1.0, \"death\": None}"
alexa vega,female,"{actor,singer}",155.0,"{\"net_worth\": 8000000.0, \"birthday\": \"1988-08-27,age\": 34.0, \"is_alive\": 1.0, \"death\": None}"
alexander armstrong,male,"{presenter,actor,comedian,television_producer,screenwriter}",191.0,"{\"net_worth\": 5000000.0, \"birthday\": \"1970-03-02,age\": 53.0, \"is_alive\": 1.0, \"death\": None}"
alexander ludwig,male,"{actor,model,singer-songwriter,voice_actor}",188.0,"{\"net_worth\": 3000000.0, \"birthday\": \"1992-05-07,age\": 31.0, \"is_alive\": 1.0, \"death\": None}"
alexander siddig,male,actor,182.0,"{\"net_worth\": 3000000.0, \"birthday\": \"1965-11-21,age\": 57.0, \"is_alive\": 1.0, \"death\": None}"
alexander skarsgard,male,"{actor,film_director}",194.0,"{\"net_worth\": 12000000.0, \"birthday\": \"1976-08-25,age\": 46.0, \"is_alive\": 1.0, \"death\": None}"
alexandra breckenridge,female,"{actor,photographer,voice_actor}",170.0,"{\"net_worth\": 2000000.0, \"birthday\": \"1982-05-15,age\": 41.0, \"is_alive\": 1.0, \"death\": None}"
alexandra burke,female,"{singer,singer-songwriter,model,dancer}",162.0,"{\"net_worth\": 8000000.0, \"birthday\": \"1988-08-25,age\": 34.0, \"is_alive\": 1.0, \"death\": None}"
alexandra daddario,female,"{actor,model}",173.0,"{\"net_worth\": 8000000.0, \"birthday\": \"1986-03-16,age\": 37.0, \"is_alive\": 1.0, \"death\": None}"
alexandra paul,female,"{swimmer,actor,athlete}",178.0,"{\"net_worth\": 4000000.0, \"birthday\": \"1963-07-29,age\": 59.0, \"is_alive\": 1.0, \"death\": None}"
alexei sayle,male,"{actor,comedian,screenwriter,author}",180.0,"{\"net_worth\": 6000000.0, \"birthday\": \"1952-08-07,age\": 70.0, \"is_alive\": 1.0, \"death\": None}"
alexis bledel,female,"{actor,model,film_producer}",170.0,"{\"net_worth\": 6000000.0, \"birthday\": \"1981-09-16,age\": 41.0, \"is_alive\": 1.0, \"death\": None}"
alexis denisof,male,"{actor,voice_actor}",186.0,"{\"net_worth\": 2000000.0, \"birthday\": \"1966-02-25,age\": 57.0, \"is_alive\": 1.0, \"death\": None}"
