name,net_worth,gender,nationality,birthday,age,is_alive,death,birthDate,deathDate,category,height
alexander ludwig,3000000.0,male,ca,1992-05-07,31.0,1.0,,,,'actor',188.0
alexander siddig,3000000.0,male,sd,1965-11-21,57.0,1.0,,,,'actor',182.0
alexander skarsgard,12000000.0,male,se,1976-08-25,46.0,1.0,,,,'actor',194.0
alexandra breckenridge,2000000.0,female,us,1982-05-15,41.0,1.0,,,,'actor',170.00000000000003
alexandra burke,8000000.0,female,gb,1988-08-25,34.0,1.0,,,,'singer',162.0
alexandra daddario,8000000.0,female,us,1986-03-16,37.0,1.0,,,,'actor',173.0
alexandra paul,4000000.0,female,us,1963-07-29,59.0,1.0,,,,'swimmer',178.0
alexandria ocasio-cortez,100000.0,,,,,,,,,nan,
alexei sayle,6000000.0,male,gb,1952-08-07,70.0,1.0,,,,'actor',180.0
alexia echevarria,3000000.0,,,,,,,,,nan,
alexis bellino,1500000.0,female,us,1977,,,,,,'tv_personality',
alexis bledel,6000000.0,female,us,1981-09-16,41.0,1.0,,,,'actor',170.00000000000003
alexis denisof,2000000.0,male,us,1966-02-25,57.0,1.0,,,,'actor',186.0
alexis dziena,3000000.0,female,us,1984-07-08,39.0,1.0,,,,'actor',157.0
alexis fields,3000000.0,female,us,1979-03-03,44.0,1.0,,,,'actor',
alexis ren,3000000.0,,,,,,,,,nan,
alexis sanchez,50000000.0,male,cl,1988-12-19,34.0,1.0,,,,'soccer_player',169.0
alfie allen,6000000.0,male,gb,1986-09-12,36.0,1.0,,,,'actor',175.0
alfonso cuaron,50000000.0,male,mx,1961-11-28,61.0,1.0,,,,'screenwriter',182.0
alfonso ribeiro,7000000.0,male,us,1971-09-21,51.0,1.0,,,,'actor',168.00000000000003
alfre woodard,13000000.0,female,us,1952-11-08,70.0,1.0,,,,'actor',160.0
alfred enoch,3000000.0,male,gb,1988-12-02,34.0,1.0,,,,'actor',184.0
alfred hitchcock,200000000.0,male,gb,1899-08-13,80.0,0.0,1980-04-29,,,'film_director',170.00000000000003
alfred molina,8000000.0,male,us,1953-05-24,70.0,1.0,,,,'actor',189.0
ali fedotowsky,600000.0,female,,1984-09-16,38.0,1.0,,,,'actor',170.00000000000003
ali landry,6000000.0,female,us,1973-07-21,49.0,1.0,,,,'actor',175.0
ali larter,10000000.0,female,us,1976-02-28,47.0,1.0,,,,'actor',173.0
ali macgraw,6000000.0,female,us,1939-04-01,84.0,1.0,,,,'actor',177.0
ali wong,3000000.0,,,,,,,,,nan,
alia bhatt,10000000.0,female,in,1993-03-15,30.0,1.0,,,,'actor',168.00000000000003
alia shawkat,4000000.0,female,us,1989-04-18,34.0,1.0,,,,'actor',166.0
alice braga,2000000.0,female,br,1983-04-15,40.0,1.0,,,,'actor',163.0
alice cooper,50000000.0,male,us,1948-02-04,75.0,1.0,,,,'singer',177.0
alice evans,5000000.0,female,gb,1971-08-02,51.0,1.0,,,,'actor',173.0
alice eve,6000000.0,female,gb,1982-02-06,41.0,1.0,,,,'actor',166.0
alicia arden,500000.0,,,,,,,,,nan,
alicia keys,150000000.0,female,us,1981-01-25,42.0,1.0,,,,'musician',168.00000000000003
alicia silverstone,20000000.0,female,us,1976-10-04,46.0,1.0,,,,'model',165.0
alicia vikander,8000000.0,female,se,1988-10-03,34.0,1.0,,,,'actor',166.0
alicia witt,4000000.0,female,us,1975-08-21,47.0,1.0,,,,'actor',173.0
alisan porter,500000.0,female,us,1981-06-20,42.0,1.0,,,,'actor',153.0
alison becker,2000000.0,female,us,1977-03-08,46.0,1.0,,,,'actor',162.0
alison brie,10000000.0,female,us,1982-12-29,40.0,1.0,,,,'actor',160.0
alison doody,25000000.0,female,ie,1966-11-11,56.0,1.0,,,,'actor',175.0
alison haislip,500000.0,female,us,1981-02-06,42.0,1.0,,,,'actor',170.00000000000003
alison lohman,5000000.0,female,us,1979-09-18,43.0,1.0,,,,'actor',157.0
alison moyet,18000000.0,female,gb,1961-06-18,62.0,1.0,,,,'singer',
alison pill,2000000.0,female,ca,1985-11-27,37.0,1.0,,,,'actor',168.00000000000003
alison sweeney,9000000.0,female,us,1976-09-19,46.0,1.0,,,,'actor',162.0
alissa violet,6000000.0,,,,,,,,,nan,
alistair overeem,10000000.0,male,nl,1980-05-17,43.0,1.0,,,,nan,196.0
allen covert,10000000.0,male,us,1964-10-13,58.0,1.0,,,,'comedian',175.0
allen iverson,1000000.0,male,us,1975-06-07,48.0,1.0,,,,'basketball_player',183.0
allen payne,5000000.0,male,us,1968-07-07,55.0,1.0,,,,'actor',185.0
alley mills,4000000.0,female,us,1951-05-09,72.0,1.0,,,,'actor',165.0
allison janney,14000000.0,female,us,1959-11-19,63.0,1.0,,,,'actor',183.0
allison mack,2000000.0,female,us,1982-07-29,40.0,1.0,,,,'actor',165.0
allison munn,2000000.0,female,us,1974-10-07,48.0,1.0,,,,'actor',160.0
allison tolman,3000000.0,female,us,1981-11-18,41.0,1.0,,,,'actor',168.00000000000003
allison williams,5000000.0,female,us,1987-11-30,35.0,1.0,,,,'actor',167.0
ally sheedy,6000000.0,female,us,1962-06-13,61.0,1.0,,,,'actor',165.0
ally walker,8000000.0,female,us,1961-08-25,61.0,1.0,,,,'actor',178.0
alok nath,10000000.0,male,in,1956-07-10,66.0,1.0,,,,'actor',
alona tal,600000.0,female,il,1983-10-20,39.0,1.0,,,,'actor',163.0
alton brown,13000000.0,male,us,1962-07-30,60.0,1.0,,,,'tv_chef',182.0
aly michalka,2000000.0,female,us,1989-03-25,34.0,1.0,,,,'singer',173.0
alysia reiner,4000000.0,female,us,1970-07-21,52.0,1.0,,,,'actor',
alyson hannigan,40000000.0,female,us,1974-03-24,49.0,1.0,,,,'actor',165.0
alyson stoner,1500000.0,female,us,1993-08-11,29.0,1.0,,,,'model',157.0
alyssa campanella,300000.0,female,,1990-03-21,33.0,1.0,,,,nan,174.0
alyssa milano,10000000.0,female,us,1972-12-19,50.0,1.0,,,,'singer',157.0
amaia salamanca,3000000.0,female,es,1986-03-28,37.0,1.0,,,,'actor',167.0
amal clooney,50000000.0,female,gb,1978-02-03,45.0,1.0,,,,'lawyer',
amanda bearse,16000000.0,female,us,1958-08-09,64.0,1.0,,,,'actor',162.0
amanda blake,500000.0,female,us,1929-02-20,60.0,0.0,1989-08-16,,,'actor',167.0
amanda bynes,3000000.0,female,us,1986-04-03,37.0,1.0,,,,'singer',170.00000000000003
amanda cerny,8000000.0,,,,,,,,,nan,
amanda crew,2000000.0,female,ca,1986-06-05,37.0,1.0,,,,'actor',178.0
amanda detmer,2500000.0,female,us,1971-09-27,51.0,1.0,,,,'actor',163.0
amanda holden,6000000.0,female,gb,1971-02-16,52.0,1.0,,,,'actor',162.0
amanda pays,8000000.0,female,gb,1959-06-06,64.0,1.0,,,,'actor',170.00000000000003
amanda peet,100000000.0,female,us,1972-01-11,51.0,1.0,,,,'actor',170.00000000000003
amanda peterson,50000.0,female,us,1971-07-08,52.0,1.0,,,,'actor',163.0
amanda plummer,2000000.0,female,us,1957-03-23,66.0,1.0,,,,'actor',163.0
amanda righetti,3000000.0,female,us,1983-04-04,40.0,1.0,,,,'actor',174.0
amanda seales,3000000.0,female,us,1981-07-01,42.0,1.0,,,,'poet',
amanda seyfried,12000000.0,female,us,1985-12-03,37.0,1.0,,,,'actor',161.0
amanda tapping,5000000.0,female,ca,1965-08-28,57.0,1.0,,,,'actor',175.0
amanda wyss,600000.0,female,us,1960-11-24,62.0,1.0,,,,'actor',162.0
amandla stenberg,2000000.0,female,us,1998-10-23,24.0,1.0,,,,'actor',142.0
amar'e stoudemire,70000000.0,male,us,1982-11-16,40.0,1.0,,,,'basketball_player',211.0
amaury nolasco,2000000.0,male,pr,1970-12-24,52.0,1.0,,,,'actor',179.0
amber benson,3000000.0,female,us,1977-01-08,46.0,1.0,,,,'film_director',163.0
amber heard,8000000.0,female,us,1986-04-22,37.0,1.0,,,,'actor',173.0
amber lancaster,500000.0,female,,1980-09-19,42.0,1.0,,,,nan,165.0
amber marshall,2000000.0,female,ca,1988-06-02,35.0,1.0,,,,'actor',165.0
amber riley,2000000.0,female,us,1986-02-15,37.0,1.0,,,,'actor',160.0
amber rose,12000000.0,female,us,1983-10-21,39.0,1.0,,,,'model',173.0
amber smith,13000000.0,female,us,1971-03-02,52.0,1.0,,,,'fashion_model',175.0
amber stevens,3000000.0,female,us,1986-10-07,36.0,1.0,,,,'actor',175.0
amber tamblyn,3000000.0,female,us,1983-05-14,40.0,1.0,,,,'actor',170.00000000000003
amber valletta,16000000.0,female,us,1974-02-09,49.0,1.0,,,,'model',175.0
ambyr childers,5000000.0,female,us,1988-07-18,34.0,1.0,,,,'actor',
ameesha patel,30000000.0,female,in,1976-06-09,47.0,1.0,,,,'actor',159.0
amelia heinle,4000000.0,female,us,1973-03-17,50.0,1.0,,,,'actor',168.00000000000003
amelia warner,3000000.0,female,gb,1982-06-04,41.0,1.0,,,,'actor',168.00000000000003
amelle berrabah,6000000.0,female,gb,1984-04-22,39.0,1.0,,,,'singer',157.0
america ferrera,16000000.0,female,us,1984-04-18,39.0,1.0,,,,'actor',155.0
amir blumenfeld,700000.0,male,il,1983-01-18,40.0,1.0,,,,'actor',178.0
amir khan,40000000.0,male,gb,1986-12-08,36.0,1.0,,,,nan,176.0
amitabh bachchan,400000000.0,male,in,1942-10-11,80.0,1.0,,,,'actor',185.0
aml ameen,3000000.0,male,gb,1985-07-30,37.0,1.0,,,,'actor',
amrish puri,20000000.0,male,in,1932-06-22,72.0,0.0,2005-01-12,,,'actor',
amrita rao,20000000.0,female,in,1981-06-07,42.0,1.0,,,,'model',165.0
amy acker,2000000.0,female,us,1976-12-05,46.0,1.0,,,,'actor',173.0
amy adams,60000000.0,female,us,1974-08-20,48.0,1.0,,,,'actor',163.0
amy brenneman,16000000.0,female,us,1964-06-22,59.0,1.0,,,,'actor',168.00000000000003
amy childs,6000000.0,female,gb,1990-06-07,33.0,1.0,,,,'model',173.0
amy davidson,2000000.0,female,us,1979-09-15,43.0,1.0,,,,nan,152.0
amy dumas,4000000.0,female,us,1975-04-14,48.0,1.0,,,,'wrestler',168.00000000000003
amy irving,120000000.0,female,us,1953-09-10,69.0,1.0,,,,'actor',163.0
amy jo johnson,300000.0,female,us,1970-10-06,52.0,1.0,,,,'songwriter',157.0
amy lee,12000000.0,female,us,1981-12-13,41.0,1.0,,,,'singer',161.0
amy locane,100000.0,female,us,1971-12-19,51.0,1.0,,,,'actor',167.0
amy macdonald,9000000.0,female,gb,1987-08-25,35.0,1.0,,,,'singer-songwriter',163.0
amy madigan,6000000.0,female,us,1950-09-11,72.0,1.0,,,,'actor',166.0
amy paffrath,3000000.0,female,us,1983-07-22,39.0,1.0,,,,'actor',160.0
amy poehler,25000000.0,female,us,1971-09-16,51.0,1.0,,,,'actor',157.0
amy robach,10000000.0,female,us,1973-02-06,50.0,1.0,,,,'journalist',165.0
amy ryan,3000000.0,female,us,1968-05-03,55.0,1.0,,,,'actor',162.0
amy schumer,25000000.0,female,us,1981-06-01,42.0,1.0,,,,'actor',170.00000000000003
amy sedaris,12000000.0,female,us,1961-03-29,62.0,1.0,,,,'actor',156.0
amy shirley,4500000.0,female,,,,,,,,'production_designer',165.0
amy smart,8000000.0,female,us,1976-03-26,47.0,1.0,,,,'actor',168.00000000000003
amy weber,400000.0,female,us,1970-07-02,53.0,1.0,,,,'actor',170.00000000000003
amy winehouse,10000000.0,female,gb,1983-09-14,27.0,0.0,2011-07-23,,,'music_arranger',160.0
amy yasbeck,16000000.0,female,us,1962-09-12,60.0,1.0,,,,'actor',170.00000000000003
ana beatriz barros,15000000.0,female,br,1982-05-29,41.0,1.0,,,,'fashion_model',182.0
ana brenda contreras,10000000.0,female,mx,1986-12-24,36.0,1.0,,,,'actor',
ana cheri,5000000.0,,,,,,,,,nan,
ana de armas,4000000.0,female,cu,1988-04-30,35.0,1.0,,,,'actor',168.00000000000003
ana de la reguera,2000000.0,female,mx,1977-04-08,46.0,1.0,,,,'actor',160.0
ana gasteyer,2000000.0,female,us,1967-05-04,56.0,1.0,,,,'actor',170.00000000000003
ana hickmann,10000000.0,female,br,1981-03-01,42.0,1.0,,,,'fashion_model',185.0
ana ivanovic,16000000.0,female,rs,1987-11-06,35.0,1.0,,,,'tennis_player',184.0
ana kasparian,2000000.0,female,us,1986-07-07,37.0,1.0,,,,'film_producer',
ana ortiz,2000000.0,female,us,1971-01-25,52.0,1.0,,,,'actor',164.0
anahi,10000000.0,female,mx,1983-05-14,40.0,1.0,,,,'singer',163.0
anastacia,40000000.0,female,us,1968-09-17,54.0,1.0,,,,'singer',157.0
anders holm,7000000.0,male,us,1981-05-29,42.0,1.0,,,,'comedian',193.00000000000003
anderson cooper,200000000.0,male,us,1967-06-03,56.0,1.0,,,,'model',178.0
anderson silva,8000000.0,male,br,1975-04-14,48.0,1.0,,,,'mixed_martial_artist',188.0
