name,gender,occupation,height,details
adrien brody,male,"{""actor"", ""film_producer"", ""voice_actor""}",185.0,"{""net_worth"": 16000000.0, ""birthday"": ""1973-04-14"", ""age"": 50.0, ""is_alive"": 1.0, ""death"": null}"
adrienne bailon,female,"{""actor"", ""singer-songwriter"", ""dancer"", ""tv_personality""}",150.0,"{""net_worth"": 4000000.0, ""birthday"": ""1983-10-24"", ""age"": 39.0, ""is_alive"": 1.0, ""death"": null}"
adrienne barbeau,female,"{""actor"", ""voice_actor"", ""writer"", ""author""}",159.0,"{""net_worth"": 5000000.0, ""birthday"": ""1945-06-11"", ""age"": 78.0, ""is_alive"": 1.0, ""death"": null}"
adrienne maloof-nassif,female,"{""businessperson"", ""presenter""}",155.0,"{""net_worth"": 50000000.0, ""birthday"": ""1961-09-04"", ""age"": 61.0, ""is_alive"": 1.0, ""death"": null}"
afrojack,male,"{""disc_jockey"", ""record_producer"", ""remixer""}",208.0,"{""net_worth"": 60000000.0, ""birthday"": ""1987-09-09"", ""age"": 35.0, ""is_alive"": 1.0, ""death"": null}"
afshan azad,female,"{""actor"", ""model""}",170.0,"{""net_worth"": 1500000.0, ""birthday"": ""1988-02-12"", ""age"": 35.0, ""is_alive"": 1.0, ""death"": null}"
agnes bruckner,female,"{""actor"", ""model""}",172.0,"{""net_worth"": 2000000.0, ""birthday"": ""1985-08-16"", ""age"": 37.0, ""is_alive"": 1.0, ""death"": null}"
agnieszka radwanska,female,"{""tennis_player""}",172.0,"{""net_worth"": 25000000.0, ""birthday"": ""1989-03-06"", ""age"": 34.0, ""is_alive"": 1.0, ""death"": null}"
agyness deyn,female,"{""fashion_model"", ""singer"", ""actor""}",173.0,"{""net_worth"": 5000000.0, ""birthday"": ""1983-02-16"", ""age"": 40.0, ""is_alive"": 1.0, ""death"": null}"
ahmed best,male,"{""actor"", ""television_producer"", ""television_director"", ""screenwriter"", ""musician"", ""voice_actor""}",180.0,"{""net_worth"": 3000000.0, ""birthday"": ""1973-08-19"", ""age"": 49.0, ""is_alive"": 1.0, ""death"": null}"
aida turturro,female,"{""actor""}",165.0,"{""net_worth"": 5000000.0, ""birthday"": ""1962-09-25"", ""age"": 60.0, ""is_alive"": 1.0, ""death"": null}"
aidan gillen,male,"{""actor""}",178.0,"{""net_worth"": 8000000.0, ""birthday"": ""1968-04-24"", ""age"": 55.0, ""is_alive"": 1.0, ""death"": null}"
aidan quinn,male,"{""actor""}",183.0,"{""net_worth"": 12000000.0, ""birthday"": ""1959-03-08"", ""age"": 64.0, ""is_alive"": 1.0, ""death"": null}"
aileen quinn,female,"{""actor"", ""dancer"", ""film_director"", ""singer-songwriter""}",149.0,"{""net_worth"": 500000.0, ""birthday"": ""1971-06-28"", ""age"": 52.0, ""is_alive"": 1.0, ""death"": null}"
aimee garcia,female,"{""actor"", ""teacher"", ""voice_actor"", ""screenwriter""}",157.0,"{""net_worth"": 2000000.0, ""birthday"": ""1978-11-28"", ""age"": 44.0, ""is_alive"": 1.0, ""death"": null}"
aimee mann,female,"{""singer"", ""singer-songwriter"", ""bassist"", ""songwriter"", ""actor"", ""guitarist""}",182.0,"{""net_worth"": 10000000.0, ""birthday"": ""1960-09-08"", ""age"": 62.0, ""is_alive"": 1.0, ""death"": null}"
aimee teegarden,female,"{""actor"", ""model"", ""film_producer""}",170.0,"{""net_worth"": 6000000.0, ""birthday"": ""1989-10-10"", ""age"": 33.0, ""is_alive"": 1.0, ""death"": null}"
ainsley harriott,male,"{""presenter"", ""chef"", ""celebrity_chef"", ""actor""}",191.0,"{""net_worth"": 4000000.0, ""birthday"": ""1957-02-28"", ""age"": 66.0, ""is_alive"": 1.0, ""death"": null}"
aisha tyler,female,"{""actor"", ""comedian"", ""author"", ""voice_actor"", ""screenwriter""}",183.0,"{""net_worth"": 8000000.0, ""birthday"": ""1970-09-18"", ""age"": 52.0, ""is_alive"": 1.0, ""death"": null}"
aishwarya rai,female,"{""actor"", ""model""}",170.0,"{""net_worth"": 100000000.0, ""birthday"": ""1973-11-01"", ""age"": 49.0, ""is_alive"": 1.0, ""death"": null}"
aisleyne horgan-wallace,female,"{""fashion_designer"", ""model"", ""presenter"", ""actor""}",172.0,"{""net_worth"": 3000000.0, ""birthday"": ""1978-12-28"", ""age"": 44.0, ""is_alive"": 1.0, ""death"": null}"
aj michalka,female,"{""singer"", ""songwriter"", ""actor"", ""model"", ""musician"", ""guitarist""}",168.0,"{""net_worth"": 700000.0, ""birthday"": ""1991-04-10"", ""age"": 32.0, ""is_alive"": 1.0, ""death"": null}"
ajay devgan,male,"{""actor"", ""film_producer"", ""film_director""}",175.0,"{""net_worth"": 30000000.0, ""birthday"": ""1969-04-02"", ""age"": 54.0, ""is_alive"": 1.0, ""death"": null}"
aksel hennie,male,"{""actor"", ""film_director"", ""screenwriter"", ""voice_actor""}",173.0,"{""net_worth"": 5000000.0, ""birthday"": ""1975-10-29"", ""age"": 47.0, ""is_alive"": 1.0, ""death"": null}"
akshay kumar,male,"{""actor"", ""presenter"", ""stunt_performer"", ""martial_artist"", ""film_producer""}",180.0,"{""net_worth"": 240000000.0, ""birthday"": ""1967-09-09"", ""age"": 55.0, ""is_alive"": 1.0, ""death"": null}"
al cowlings,male,"{""american_football_player""}",196.0,"{""net_worth"": 250000.0, ""birthday"": ""1947-06-16"", ""age"": 76.0, ""is_alive"": 1.0, ""death"": null}"
al franken,male,"{""politician"", ""comedian"", ""author"", ""actor"", ""screenwriter"", ""radio_personality"", ""commentator"", ""television_producer""}",168.0,"{""net_worth"": 8000000.0, ""birthday"": ""1951-05-21"", ""age"": 72.0, ""is_alive"": 1.0, ""death"": null}"
al gore,male,"{""politician"", ""writer"", ""author"", ""presenter"", ""advocate"", ""philanthropist"", ""environmentalist"", ""actor""}",187.0,"{""net_worth"": 300000000.0, ""birthday"": ""1948-03-31"", ""age"": 75.0, ""is_alive"": 1.0, ""death"": null}"
jamal lewis,male,"{""american_football_player""}",180.0,"{""net_worth"": -1000000.0, ""birthday"": ""1979-08-26"", ""age"": 43.0, ""is_alive"": 1.0, ""death"": null}"
al pacino,male,"{""actor"", ""film_director"", ""film_producer"", ""theatre_director""}",170.0,"{""net_worth"": 120000000.0, ""birthday"": ""1940-04-25"", ""age"": 83.0, ""is_alive"": 1.0, ""death"": null}"
al roker,male,"{""tv_meteorologist"", ""tv_journalist"", ""presenter"", ""journalist"", ""writer"", ""author"", ""actor"", ""television_producer"", ""voice_actor""}",173.0,"{""net_worth"": 70000000.0, ""birthday"": ""1954-08-20"", ""age"": 68.0, ""is_alive"": 1.0, ""death"": null}"
alain delon,male,"{""actor"", ""film_producer"", ""screenwriter"", ""film_director"", ""soldier"", ""singer"", ""television_producer""}",177.0,"{""net_worth"": 200000000.0, ""birthday"": ""1935-11-08"", ""age"": 87.0, ""is_alive"": 1.0, ""death"": null}"
alan alda,male,"{""actor"", ""television_director"", ""screenwriter"", ""film_director"", ""author"", ""activist""}",188.0,"{""net_worth"": 40000000.0, ""birthday"": ""1936-01-28"", ""age"": 87.0, ""is_alive"": 1.0, ""death"": null}"
alan arkin,male,"{""actor"", ""television_director"", ""singer"", ""musician"", ""screenwriter"", ""film_director""}",175.0,"{""net_worth"": 15000000.0, ""birthday"": ""1934-03-26"", ""age"": 89.0, ""is_alive"": 1.0, ""death"": null}"
alan cumming,male,"{""actor"", ""singer"", ""film_director"", ""film_producer"", ""screenwriter"", ""author"", ""entrepreneur"", ""voice_actor"", ""film_score_composer""}",178.0,"{""net_worth"": 5000000.0, ""birthday"": ""1965-01-27"", ""age"": 58.0, ""is_alive"": 1.0, ""death"": null}"
alan dale,male,"{""actor"", ""rugby_player"", ""voice_actor""}",188.0,"{""net_worth"": 8000000.0, ""birthday"": ""1947-05-06"", ""age"": 76.0, ""is_alive"": 1.0, ""death"": null}"
alan jackson,male,"{""songwriter"", ""singer"", ""singer-songwriter"", ""musician"", ""artist"", ""music_artist""}",193.0,"{""net_worth"": 95000000.0, ""birthday"": ""1958-10-17"", ""age"": 64.0, ""is_alive"": 1.0, ""death"": null}"
alan king,male,"{""actor""}",173.0,"{""net_worth"": 10000000.0, ""birthday"": ""1973-02-05"", ""age"": 50.0, ""is_alive"": 1.0, ""death"": null}"
alan rickman,male,"{""actor"", ""graphic_designer"", ""film_director"", ""film_producer"", ""screenwriter"", ""voice_actor""}",185.0,"{""net_worth"": 16000000.0, ""birthday"": ""1946-02-21"", ""age"": 77.0, ""is_alive"": 1.0, ""death"": null}"
alan ritchson,male,"{""singer"", ""model"", ""actor""}",188.0,"{""net_worth"": 3000000.0, ""birthday"": ""1984-11-28"", ""age"": 38.0, ""is_alive"": 1.0, ""death"": null}"
alan ruck,male,"{""actor""}",183.0,"{""net_worth"": 10000000.0, ""birthday"": ""1956-07-01"", ""age"": 67.0, ""is_alive"": 1.0, ""death"": null}"
alan shearer,male,"{""coach"", ""football_player""}",183.0,"{""net_worth"": 52500000.0, ""birthday"": ""1970-08-13"", ""age"": 52.0, ""is_alive"": 1.0, ""death"": null}"
alan sugar,male,"{""businessperson"", ""tv_personality"", ""entrepreneur"", ""author"", ""politician""}",173.0,"{""net_worth"": 1300000000.0, ""birthday"": ""1947-03-24"", ""age"": 76.0, ""is_alive"": 1.0, ""death"": null}"
alan thicke,male,"{""actor"", ""songwriter"", ""screenwriter"", ""television_producer"", ""comedian"", ""writer"", ""presenter"", ""master_of_ceremonies"", ""musician"", ""composer""}",185.0,"{""net_worth"": 40000000.0, ""birthday"": ""1947-03-01"", ""age"": 69.0, ""is_alive"": 0.0, ""death"": ""2016-12-13""}"
alan tudyk,male,"{""actor"", ""voice_actor""}",183.0,"{""net_worth"": 2000000.0, ""birthday"": ""1971-03-16"", ""age"": 52.0, ""is_alive"": 1.0, ""death"": null}"
alan young,male,"{""actor"", ""voice_actor""}",178.0,"{""net_worth"": 5000000.0, ""birthday"": ""1919-11-19"", ""age"": 103.0, ""is_alive"": 1.0, ""death"": null}"
alana de la garza,female,"{""actor""}",175.0,"{""net_worth"": 4000000.0, ""birthday"": ""1976-06-18"", ""age"": 47.0, ""is_alive"": 1.0, ""death"": null}"
alanis morissette,female,"{""writer"", ""singer"", ""record_producer"", ""songwriter"", ""actor"", ""film_director"", ""film_score_composer"", ""film_producer"", ""guitarist"", ""musician""}",163.0,"{""net_worth"": 45000000.0, ""birthday"": ""1974-06-01"", ""age"": 49.0, ""is_alive"": 1.0, ""death"": null}"
alanna ubach,female,"{""actor"", ""voice_actor"", ""singer""}",157.0,"{""net_worth"": 800000.0, ""birthday"": ""1975-10-03"", ""age"": 47.0, ""is_alive"": 1.0, ""death"": null}"
albert brooks,male,"{""comedian"", ""actor"", ""screenwriter"", ""film_director"", ""television_director"", ""voice_actor""}",178.0,"{""net_worth"": 28000000.0, ""birthday"": ""1947-07-22"", ""age"": 75.0, ""is_alive"": 1.0, ""death"": null}"
albert einstein,male,"{""physicist"", ""scientist"", ""writer"", ""philosopher"", ""theoretical_physicist"", ""mathematician"", ""author"", ""teacher""}",175.0,"{""net_worth"": 1000000.0, ""birthday"": ""1879-03-14"", ""age"": 76.0, ""is_alive"": 0.0, ""death"": ""1955-04-18""}"
albert finney,male,"{""actor"", ""film_producer"", ""singer"", ""film_director"", ""voice_actor""}",175.0,"{""net_worth"": 10000000.0, ""birthday"": ""1936-05-09"", ""age"": 82.0, ""is_alive"": 0.0, ""death"": ""2019-02-07""}"
alberto del rio,male,"{""mixed_martial_artist"", ""wrestler""}",196.0,"{""net_worth"": 6000000.0, ""birthday"": ""1977-05-25"", ""age"": 46.0, ""is_alive"": 1.0, ""death"": null}"
aldis hodge,male,"{""actor"", ""voice_actor""}",185.0,"{""net_worth"": 10000000.0, ""birthday"": ""1986-09-20"", ""age"": 36.0, ""is_alive"": 1.0, ""death"": null}"
alec baldwin,male,"{""actor"", ""television_producer"", ""film_producer"", ""voice_actor"", ""author"", ""comedian""}",183.0,"{""net_worth"": 60000000.0, ""birthday"": ""1958-04-03"", ""age"": 65.0, ""is_alive"": 1.0, ""death"": null}"
alec guinness,male,"{""actor""}",178.0,"{""net_worth"": 100000000.0, ""birthday"": ""1914-04-02"", ""age"": 86.0, ""is_alive"": 0.0, ""death"": ""2000-08-05""}"
alec mapa,male,"{""actor"", ""writer"", ""comedian""}",165.0,"{""net_worth"": 1000000.0, ""birthday"": ""1965-07-10"", ""age"": 57.0, ""is_alive"": 1.0, ""death"": null}"
alejandro gonzalez inarritu,male,"{""film_director"", ""film_producer"", ""screenwriter"", ""composer"", ""film_score_composer"", ""film_editor""}",184.0,"{""net_worth"": 40000000.0, ""birthday"": ""1963-08-15"", ""age"": 59.0, ""is_alive"": 1.0, ""death"": null}"
alek wek,female,"{""fashion_model"", ""supermodel""}",180.0,"{""net_worth"": 20000000.0, ""birthday"": ""1977-04-16"", ""age"": 46.0, ""is_alive"": 1.0, ""death"": null}"
alesha dixon,female,"{""singer"", ""songwriter"", ""musician"", ""singer-songwriter"", ""model"", ""presenter"", ""rapper"", ""dancer""}",169.0,"{""net_worth"": 4000000.0, ""birthday"": ""1978-10-07"", ""age"": 44.0, ""is_alive"": 1.0, ""death"": null}"
alessandra ambrosio,female,"{""fashion_model"", ""supermodel"", ""actor""}",176.0,"{""net_worth"": 80000000.0, ""birthday"": ""1981-04-11"", ""age"": 42.0, ""is_alive"": 1.0, ""death"": null}"
alessandro nivola,male,"{""actor""}",175.0,"{""net_worth"": 3000000.0, ""birthday"": ""1972-06-28"", ""age"": 51.0, ""is_alive"": 1.0, ""death"": null}"
alex band,male,"{""musician"", ""singer-songwriter"", ""record_producer"", ""actor""}",178.0,"{""net_worth"": 500000.0, ""birthday"": ""1981-06-08"", ""age"": 42.0, ""is_alive"": 1.0, ""death"": null}"
alex borstein,female,"{""actor"", ""screenwriter"", ""television_producer"", ""comedian"", ""singer"", ""voice_actor"", ""film_producer""}",152.0,"{""net_worth"": 24000000.0, ""birthday"": ""1973-02-15"", ""age"": 50.0, ""is_alive"": 1.0, ""death"": null}"
alex d. linz,male,"{""actor"", ""voice_actor""}",163.0,"{""net_worth"": 400000.0, ""birthday"": ""1989-01-03"", ""age"": 34.0, ""is_alive"": 1.0, ""death"": null}"
alex ferguson,male,"{""coach"", ""manager"", ""football_player""}",180.0,"{""net_worth"": 70000000.0, ""birthday"": ""1941-12-31"", ""age"": 81.0, ""is_alive"": 1.0, ""death"": null}"
alex gaskarth,male,"{""singer-songwriter"", ""guitarist""}",184.0,"{""net_worth"": 1000000.0, ""birthday"": ""1987-12-14"", ""age"": 35.0, ""is_alive"": 1.0, ""death"": null}"
alex jennings,male,"{""actor""}",188.0,"{""net_worth"": 5000000.0, ""birthday"": ""1957-05-10"", ""age"": 66.0, ""is_alive"": 1.0, ""death"": null}"
alex jones,male,"{""actor"", ""film_director"", ""film_producer"", ""radio_personality""}",178.0,"{""net_worth"": 5000000.0, ""birthday"": ""1974-02-11"", ""age"": 49.0, ""is_alive"": 1.0, ""death"": null}"
alex kapranos,male,"{""singer"", ""guitarist"", ""author"", ""record_producer"", ""songwriter"", ""musician""}",180.0,"{""net_worth"": 10000000.0, ""birthday"": ""1972-03-20"", ""age"": 51.0, ""is_alive"": 1.0, ""death"": null}"
alex karras,male,"{""wrestler"", ""american_football_player"", ""actor"", ""writer"", ""television_producer""}",188.0,"{""net_worth"": 6000000.0, ""birthday"": ""1935-07-15"", ""age"": 77.0, ""is_alive"": 0.0, ""death"": ""2012-10-10""}"
alex kingston,female,"{""actor""}",170.0,"{""net_worth"": 6000000.0, ""birthday"": ""1963-03-11"", ""age"": 60.0, ""is_alive"": 1.0, ""death"": null}"
alex morgan,female,"{""football_player""}",173.0,"{""net_worth"": 3000000.0, ""birthday"": ""1989-07-02"", ""age"": 34.0, ""is_alive"": 1.0, ""death"": null}"
