name,subcategory,height,category
Archie Madekwe,tv,196.0,actor
Archie Renaux,tv,185.0,actor
Archie Panjabi,tv,159.0,actress
Archita Sahu,movie,,actress
Ardal O'hanlon,,,comedian
Ariana Grande,pop,154.0,singer
Arden Cho,tv,159.0,actress
Arden Myrin,tv,,actress
Ari Graynor,movie,165.0,actress
Aretha Franklin,soul,165.0,singer
Ariana Richards,movie,167.0,actress
Ari Meyers,tv,157.0,actress
Ari Lennox,r&b,168.0,singer
Ari Stidham,tv,159.0,actor
Ariana DeBose,stage,160.0,actress
Arianne Zucker,soap,175.0,actress
Ariane Rinehart,movie,170.0,actress
Ariane Labed,movie,170.0,actress
Ariana Madix,tv,164.0,actress
Ariela Barer,tv,162.0,actress
Ariel Winter,tv,154.0,actress
Ari Shaffir,,,comedian
Arielle Carver-O'Neill,tv,163.0,actress
Arianny Celeste,,165.0,model
Arabella Weir,young,163.0,adult
Ariel Helwani,,,journalist
Arjan Bajwa,movie,,actor
Arjun Gupta,tv,184.0,actor
Arielle Kebbel,movie,171.0,actress
Arisa Cox,tv,166.0,show
Arjun Kapoor,movie,182.0,actor
Arjun Rampal,movie,,actor
Arjun Mathur,tv,,actor
Arlene Dahl,movie,170.0,actress
Arlene Francis,movie,166.0,actress
Arlene Golonka,tv,,actress
Archana Puran Singh,tv,,actress
Arliss Howard,movie,169.0,actor
Armie Hammer,movie,194.0,actor
Armin Shimerman,movie,166.0,actor
Arnold Schwarzenegger,movie,187.0,actor
Arlissa,pop,,singer
Armand Assante,tv,177.0,actor
Arnold Vosloo,movie,187.0,actor
Arshad Warsi,movie,,actor
Arón Piper,movie,,actor
Arsenio Hall,tv,180.0,show
Arsher Ali,movie,,actor
Art Carney,tv,178.0,actor
Art LaFleur,movie,180.0,actor
Art Garfunkel,folk,175.0,singer
Art Parkinson,tv,,actor
Arthur Darvill,tv,180.0,actor
Arthur Lowe,tv,164.0,actor
Arthur Treacher,movie,191.0,actor
Arthur Miller,,189.0,playwright
Arthur Miller,,189.0,playwright
Arun Vijay,movie,,actor
Arunoday Singh,movie,,actor
Arvind Krishna,movie,,actor
Arvind Swamy,movie,,actor
Arye Gross,movie,,actor
Asa Akira,born,155.0,1986
Asa Butterfield,movie,183.0,actor
Arya Babbar,movie,,actor
Asha Negi,tv,,actress
Asha Bhat,pageant,,contestant
Ashanti,r&b,160.0,singer
Asher Angel,tv,177.0,actor
ASAP Rocky,,,rapper
Ashish Vidyarthi,movie,,actor
Ashlee Simpson,pop,164.0,singer
Aron Eisenberg,tv,150.0,actor
Ashleigh Barty,,,tennis
Ashleigh Brewer,soap,173.0,actress
Ashley Alexiss,,,model
Ashleigh Cummings,tv,163.0,actress
Ashley Banjo,,196.0,dancer
Aruna Irani,movie,,actress
Ashley Argota,tv,,actress
Ashley Doris,movie,,actress
Ashley Bell,movie,160.0,actress
Ashley Costello,rock,,singer
Ashley Fink,tv,,actress
Ashley Greene,movie,164.0,actress
Ashley Graham,,175.0,model
Ashley Jensen,,160.0,movies
Ashley Jensen,,160.0,movies
Ashley Jones,reality,169.0,star
Ashley James,reality,,star
Ashley Johnson,tv,163.0,actress
Ashley Johnson,tv,163.0,actress
Ashley Hamilton,tv,,actor
Ashley Leggat,tv,165.0,actress
Ashley Laurence,movie,165.0,actress
Ashley Judd,movie,167.0,actress
Ashley Hinshaw,,160.0,model
Ashley Liao,tv,157.0,actress
Ashley Madekwe,tv,170.0,actress
Ashleigh Murray,tv,160.0,actress
Ashley Nicole Black,,,comedian
Asher Keddie,tv,165.0,actress
Ashley Nicole Williams,tv,175.0,actress
Ashley Olsen,tv,151.0,actress
Ashley Park,stage,163.0,actress
Ashley Newbrough,tv,174.0,actress
Art Malik,movie,183.0,actor
Ashley Roberts,pop,161.0,singer
Ashley Roberts,pop,161.0,singer
Ashley Reyes,tv,,actress
Ashley Scott,tv,171.0,actress
Ashley Rickards,tv,159.0,actress
Ashley Walters,,170.0,rapper
Ashley Williams,tv,165.0,actress
Ashley Zukerman,tv,180.0,actor
Ashley Young,,,soccer
Ashly Burch,youtube,152.0,star
Ashlyn Pearce,soap,,actress
Ashnoor Kaur,tv,,actress
Ashley Tisdale,tv,159.0,actress
Ashley Benson,tv,161.0,actress
Ashok Kumar,movie,,actor
Ashok Kumar,movie,,actor
Ashok Selvan,movie,,actor
Ashton Irwin,,179.0,drummer
Ashton Holmes,tv,175.0,actor
Ashok Saraf,movie,,actor
Ashton Sanders,movie,180.0,actor
Ashutosh Rana,tv,,actor
Asia Kate Dillon,tv,170.0,actress
Astro,,,band
Asia Argento,movie,165.0,actress
Ashton Kutcher,tv,189.0,actor
Asim Chaudhry,tv,169.0,actor
Ashwini Kalsekar,tv,,actress
Asif Basra,movie,,actor
Asif Ali,tv,,actor
Asin Thottumkal,movie,,actress
Assumpta Serna,tv,170.0,actress
Aston Merrygold,pop,165.0,singer
Asuka,,,wrestler
Athiya Shetty,movie,,actress
Atharvaa,movie,,actor
Athulya Ravi,movie,,actress
Atticus Shaffer,tv,140.0,actor
Atul Agnihotri,movie,,actor
Atul Kulkarni,tv,,actor
Athena Karkanis,movie,168.0,actress
Aubrey Cleland,pop,173.0,singer
Aubrey Dollar,tv,,actress
Aubrey Miller,tv,,actress
Aubrey O'Day,pop,163.0,singer
Aubrey Peeples,tv,157.0,actress
Audie Murphy,war,169.0,hero
Aubrey Plaza,tv,168.0,actress
Auditya Venkatesh,,,photographer
Ato Essandoh,tv,191.0,actor
Audley Harrison,,198.0,boxer
Audra McDonald,stage,171.0,actress
Audra McLaughlin,country,,singer
Audrey Hepburn,movie,188.0,actress
Audrey Fleurot,tv,172.0,actress
Audrey Landers,tv,160.0,actress
Audrey Marie Anderson,tv,168.0,actress
Audrey Meadows,tv,168.0,actress
Audrey Tautou,movie,160.0,actress
Audrey Moore,tv,,actress
Audrey Totter,movie,,actress
Audrey Whitby,tv,163.0,actress
Audrey Quock,,,model
Aura Garrido,movie,162.0,actress
Aunjanue Ellis,movie,,actress
Augie Duke,tv,157.0,actress
Auli'i Cravalho,voice,159.0,actress
August Alsina,r&b,,singer
Audrina Patridge,reality,166.0,star
Austin Abrams,movie,171.0,actor
Aurora Perrineau,movie,178.0,actress
Austin Basis,tv,,actor
Austin Amelio,tv,180.0,actor
Aurora Burghart,tv,,actress
Austin Highsmith,movie,,actress
Aure Atika,movie,173.0,actress
Austin Butler,tv,182.0,actor
Austin Aries,,,wrestler
Austin North,tv,,actor
Austin Nichols,movie,191.0,actor
Austin Nichols,movie,191.0,actor
Austin Mahone,pop,177.0,singer
Austin Stowell,movie,164.0,actor
Austin Peck,soap,185.0,actor
Ava Addams,born,159.0,1979
Austin Swift,instagram,,star
Ava Gardner,movie,166.0,actress
Ava Max,pop,155.0,singer
Autumn Reeser,tv,161.0,actress
Avan Jogia,tv,,actor
Ava Michelle Cota,,,dancer
Avani Gregg,tiktok,,star
Avneet Kaur,tv,,actress
Avi Nash,tv,,actor
Avery Brooks,tv,185.0,actor
Avery Brooks,tv,185.0,actor
Avicii,,178.0,dj
Avinash,first,,name
Avril Lavigne,pop,155.0,singer
Awkwafina,,155.0,rapper
Axle Whitehead,pop,183.0,singer
Axl Rose,rock,174.0,singer
Aya Cash,tv,155.0,actress
Ayelet Zurer,movie,168.0,actress
Ayesha Dharker,movie,157.0,actress
Ayesha Takia,movie,,actress
Ayla Kell,tv,161.0,actress
Ayushmann Khurrana,tv,,show
Azie Tesfai,tv,165.0,actress
Aziz Ansari,tv,167.0,actor
Azita Ghanizada,tv,,actress
Augustus Prew,movie,180.0,actor
Azealia Banks,,157.0,rapper
Azura Skye,tv,168.0,actress
B.J. Novak,tv,,actor
Babs Olusanmokun,movie,,actor
Babe Ruth,,187.0,baseball
Baby Ariel,pop,,singer
Baekhyun,pop,,singer
Bailey Bass,movie,162.0,actress
Bae Yong-joon,tv,,actor
Bailee Madison,tv,166.0,actress
Bailey Chase,tv,183.0,actor
Bad Bunny,,180.0,rapper
Balakrishnan,last,,name
Bala Hijam,movie,,actress
Bailey De Young,tv,152.0,actress
Audrey Esparza,tv,160.0,actress
Bailey Noble,tv,167.0,actress
Balthazar Getty,movie,175.0,actor
Bam Bam Bigelow,,188.0,wrestler
Bam Margera,reality,173.0,star
Barack Obama,us,185.0,president
Bar Paly,movie,174.0,actress
Bar Refaeli,,174.0,model
Barbara Babcock,tv,173.0,actress
Barbara Babcock,tv,173.0,actress
Barbara Barrie,movie,,actress
Barbara Bain,tv,170.0,actress
Barbara Bosson,tv,170.0,actress
Barbara Bach,movie,170.0,actress
Barbara Billingsley,tv,,actress
Barbara Bel Geddes,movie,159.0,actress
Bárbara Carrera,movie,,actress
Barbara Bouchet,movie,166.0,actress
Barbara Baxley,movie,,actress
Barbara Eden,tv,,actress
Barbara Flynn,tv,164.0,actress
Barbara Crampton,movie,163.0,actress
Bai Ling,movie,,actress
Barbara Feldon,tv,174.0,actress
Barbara Harris,movie,164.0,actress
Barbara Harris,movie,164.0,actress
Barbara Hale,tv,163.0,actress
Barbara Hershey,movie,184.0,actress
Barbara Kent,movie,,actress
Barbara Nedeljakova,movie,167.0,actress
Barbara Niven,soap,164.0,actress
Barbara Palvin,,171.0,model
Barbara Rhoades,movie,175.0,actress
Barbara Rush,movie,168.0,actress
Barbara Shelley,movie,170.0,actress
Barbara Sukowa,movie,164.0,actress
Barbara Windsor,soap,149.0,actress
Barbara Walters,,164.0,journalist
Barbara Stuart,tv,,actress
Barbie Blank,,164.0,wrestler
Baris Arduc,tv,,actor
Barkha Singh,tv,,actress
Barkhad Abdi,movie,177.0,actor
Baron Corbin,,,wrestler
Barrett Foa,tv,178.0,actor
Barrett Doss,tv,171.0,actress
Barry Corbin,tv,180.0,actor
Barry Bostwick,movie,192.0,actor
Barbie Ferreira,instagram,168.0,star
Barry Foster,,171.0,football
Barbara Stanwyck,movie,165.0,actress
Barry Gibb,rock,180.0,singer
Barbara Alyn Woods,movie,,actress
Barry Jenkins,,170.0,director
Barry Jenkins,,170.0,director
Barry Humphries,voice,,actor
Barry Keoghan,tv,170.0,actor
Barry Shabaka Henley,movie,185.0,actor
Barry McGuigan,,166.0,boxer
Barry Morse,tv,177.0,actor
Barry Pepper,movie,166.0,actor
Barry Sloane,tv,,actor
Barry Van Dyke,tv,184.0,actor
Barry Watson,tv,,actor
Barry White,r&b,189.0,singer
Barry Williams,tv,178.0,actor
Barry Williams,tv,178.0,actor
Bayley,,,wrestler
Barun Sobti,tv,,actor
BC Jean,pop,,singer
Basil Rathbone,movie,186.0,actor
BD Wong,tv,164.0,actor
Bea Miller,pop,155.0,singer
Bea Arthur,tv,,actress
Bea Benaderet,tv,,actress
Barbra Streisand,pop,185.0,singer
Beah Richards,movie,,actress
Barbi Benton,,160.0,model
Barsha Rani Bishaya,movie,,actress
Beanie Feldstein,movie,155.0,actress
Bear Grylls,reality,182.0,star
Barry Manilow,pop,183.0,singer
Beatrice Grannò,tv,,actress
Beatrice Straight,movie,,actress
Beau Brady,tv,,actor
Beau Bridges,movie,179.0,actor
Beau Mirchoff,tv,,actor
Bebe Neuwirth,tv,164.0,actress
Beatie Edney,tv,157.0,actress
Bebe Rexha,pop,163.0,singer
Beau Knapp,movie,180.0,actor
Bebe Daniels,movie,157.0,actress
Beetlejuice,,130.0,comedian
Beau Garrett,movie,177.0,actress
Becki Newton,tv,159.0,actress
Becca Tobin,tv,156.0,actress
Becky Hill,pop,176.0,singer
Becky G,pop,151.0,singer
Becky Lynch,,,wrestler
Becca Dudley,tv,,show
Bel Powley,,160.0,movies
Bela Lugosi,movie,185.0,actor
Barry Fitzgerald,movie,160.0,actor
Belén Cuesta,tv,173.0,actress
Belinda Carlisle,pop,165.0,singer
Bella Poarch,tiktok,,star
Belinda Bencic,,175.0,tennis
Bella Dayne,movie,,actress
Behati Prinsloo,,184.0,model
Bella Hadid,,173.0,model
Bella Thorne,tv,168.0,actress
Ben Affleck,movie,189.0,actor
Bella Ramsey,tv,156.0,actress
Bellamy Young,tv,170.0,actress
Ben Aldridge,movie,185.0,actor
Ben Barnes,movie,183.0,actor
Bella Heathcote,movie,168.0,actress
Belita Moreno,tv,,actress
Ben Barrington,tv,,actor
Ben Bruce,,,guitarist
Beatrice Rosen,tv,170.0,actress
Ben Chaplin,movie,178.0,actor
Ben Daniels,stage,182.0,actor
Ben Cross,movie,179.0,actor
Ben Elton,,170.0,comedian
Ben Browder,tv,183.0,actor
Ben Foster,,173.0,soccer
Ben Jelen,pop,185.0,singer
Ben Hardy,,174.0,movies
Ben Feldman,tv,173.0,actor
Ben Johnson,tiktok,188.0,star
Ben Johnson,tiktok,188.0,star
Ben Johnson,tiktok,188.0,star
Ben Johnson,tiktok,188.0,star
Ben Johnson,tiktok,188.0,star
Ben Kingsley,movie,172.0,actor
Ben Gazzara,tv,177.0,actor
Ben Lewis,stage,177.0,actor
Ben Lewis,stage,177.0,actor
Ben Lewis,stage,177.0,actor
Ben Mansfield,tv,185.0,actor
Ben Murphy,tv,179.0,actor
Ben Murphy,tv,179.0,actor
Ben Lamb,movie,188.0,actor
Ben Miles,tv,180.0,actor
Ben Miller,,174.0,comedian
Ben Miller,,174.0,comedian
Ben Miller,,174.0,comedian
Ben Platt,stage,191.0,actor
Ben Price,tv,203.0,actor
Ben Savage,tv,174.0,actor
Ben Simmons,,,basketball
Ben Schwartz,tv,180.0,actor
Ben Schwartz,tv,180.0,actor
Ben Shephard,tv,177.0,show
Benedict Cumberbatch,movie,182.0,actor
Ben Stein,game,,show
Ben Wallace,,201.0,basketball
Benedict Samuel,tv,,actor
Ben Whishaw,movie,175.0,actor
Benedict Wong,movie,178.0,actor
Ben Shapiro,,170.0,journalist
Ben Stiller,movie,165.0,actor
Benjamin Bratt,tv,187.0,actor
Benito Martinez,tv,177.0,actor
Ben Fogle,tv,183.0,show
Benjamin Netanyahu,world,,leader
Benjamin Walker,movie,188.0,actor
Benicio Del Toro,movie,187.0,actor
Benji Madden,,167.0,guitarist
Berenice Marlohe,movie,,actress
Berenice Bejo,movie,,actress
Bernadette Peters,stage,183.0,actress
Bernard Bresslaw,movie,198.0,actor
Bernard Curry,soap,183.0,actor
Benny Hill,,165.0,comedian
Bernard Cribbins,tv,174.0,actor
Bernard Lee,movie,184.0,actor
Bernhard Langer,,173.0,golf
Bernie Sanders,,183.0,politician
Berta Vázquez,tv,169.0,actress
Bess Armstrong,tv,163.0,actress
Ben Mendelsohn,movie,179.0,actor
Bergen Williams,soap,187.0,actress
Bessie Carter,tv,178.0,actress
Beth Behrs,tv,165.0,actress
Beth Allen,tv,163.0,actress
Beth Ditto,rock,155.0,singer
Beth Grant,tv,,actress
Benjamin Ayres,tv,,actor
Bernard Hill,movie,175.0,actor
Beth Hart,blues,175.0,singer
Beth Dover,tv,,actress
Beth Orton,folk,183.0,singer
Ben Lawson,tv,187.0,actor
Beth Howland,tv,,actress
Bernie Mac,tv,189.0,actor
Bert Convy,game,,show
Bessie Love,movie,152.0,actress
Beth Broderick,tv,173.0,actress
Ben Robson,tv,191.0,actor
Beth Riesgraf,tv,170.0,actress
Bertie Carvel,stage,183.0,actor
Beth Phoenix,,173.0,wrestler
Ben O'Toole,movie,,actor
Bethany Joy Lenz,tv,160.0,actress
Bethenny Frankel,reality,165.0,star
Beth Toussaint,soap,163.0,actress
Betsy Brandt,tv,175.0,actress
Betsy Palmer,movie,,actress
Bethany Mota,youtube,160.0,star
Bette Midler,,155.0,movies
Betsy Russell,movie,164.0,actress
Betsy Blair,movie,,actress
Bettie Page,,166.0,model
Betty White,tv,163.0,actress
Betty Gabriel,movie,163.0,actress
Betty Gilpin,tv,169.0,actress
Betty Garrett,tv,,actress
Betty Grable,movie,160.0,actress
Beth Littleford,tv,174.0,actress
Bette Davis,movie,157.0,actress
Beulah Koale,tv,173.0,actor
Beulah Bondi,movie,,actress
Betty Hutton,movie,171.0,actress
Betty Who,pop,,singer
Beverley Knight,soul,161.0,singer
Betty Compson,movie,,actress
Beverley Callard,soap,166.0,actress
Beverley Mitchell,tv,155.0,actress
Beverly Archer,tv,,actress
Beverly Garland,tv,,actress
Beyonce Knowles,pop,,singer
Beyonce Knowles,pop,,singer
Bhagyashree Patwardhan,movie,,actress
Bharat Jadhav,tv,,actor
Bhanupriya,movie,,actress
Bhavana,movie,,actress
Bhavna Limbachia,tv,,actress
Bhavya Gandhi,tv,,actor
Bhumi Pednekar,movie,,actress
Bianca Balti,,172.0,model
Betty Buckley,movie,169.0,actress
Beverly D'Angelo,movie,157.0,actress
Bianca Lawson,tv,160.0,actress
Bianca Kajlich,movie,173.0,actress
Bianna Golodryga,,,journalist
Bibi Andersson,movie,163.0,actress
Biff Byford,rock,185.0,singer
Big K.R.I.T.,,182.0,rapper
Big John Studd,,,wrestler
Big Sean,,171.0,rapper
Bill Bailey,,172.0,comedian
Bill Bailey,,172.0,comedian
Bill Bailey,,172.0,comedian
Bill Bailey,,172.0,comedian
Big Show,,,wrestler
Big Boi,,168.0,rapper
Bijou Phillips,movie,173.0,actress
BigDawsTv,youtube,,star
Biju Menon,movie,,actor
Bill Bixby,tv,175.0,actor
Bill Burr,,177.0,comedian
Bill Brochtrup,tv,,actor
Bill Camp,movie,,actor
Bill Bellamy,movie,187.0,actor
Bill Bellamy,movie,187.0,actor
Bill Clinton,us,187.0,president
Bill Cosby,tv,183.0,actor
Beverly Johnson,,174.0,model
Beverly Johnson,,174.0,model
Bill Hader,tv,185.0,actor
Bill de Blasio,,198.0,politician
Bill Hicks,,173.0,comedian
Bill Fagerbakke,tv,198.0,actor
Bianca Santos,tv,,actress
Bill Gates,,177.0,entrepreneur
Bill Moseley,movie,180.0,actor
Bill Murray,movie,185.0,actor
Bill Mumy,tv,172.0,actor
Bill Nunn,movie,191.0,actor
Bill Nighy,movie,184.0,actor
Bill O'Reilly,tv,193.0,show
Bill Paxton,movie,166.0,actor
Bill Sage,movie,180.0,actor
Bill Skarsgård,movie,,actor
Bill Pullman,movie,182.0,actor
Bill Russell,,207.0,basketball
Bill Russell,,207.0,basketball
Bill Maher,tv,173.0,show
Bill Robinson,movie,,actor
Bill Smitrovich,movie,182.0,actor
Bill Treacher,soap,170.0,actor
Bill Walton,,213.0,basketball
Billi Mucklow,reality,,star
Bill Wyman,,168.0,bassist
Billie Burke,movie,159.0,actress
Billie Dove,movie,,actress
Billie Eilish,pop,160.0,singer
Billie Faiers,reality,,star
Billie Holiday,jazz,170.0,singer
Billie Joe Armstrong,rock,170.0,singer
Billie Jean King,,163.0,tennis
Billie Whitelaw,movie,157.0,actress
Billie Lourd,tv,155.0,actress
Billy Bob Thornton,movie,178.0,actor
Billy Boyd,movie,166.0,actor
Billy Burke,movie,185.0,actor
Billy Campbell,tv,191.0,actor
Billy Campbell,tv,191.0,actor
Bill Oddie,,160.0,comedian
Billie Piper,tv,178.0,actress
Billy Brown,tv,187.0,actor
Billy Connolly,movie,183.0,actor
Billy Crystal,movie,168.0,actor
Billy Crudup,movie,173.0,actor
Billy Barty,tv,114.0,actor
Billy Eichner,game,191.0,show
Billy Dee Williams,movie,180.0,actor
Billy Gunn,,,wrestler
Bill Travers,movie,196.0,actor
Billy Idol,punk,175.0,singer
Billy Joel,rock,166.0,singer
Billy Drago,movie,,actor
Billy Magnussen,movie,179.0,actor
Billy Ray Cyrus,country,183.0,singer
Billy Van Zandt,tv,,actor
Billy West,voice,163.0,actor
Billy West,voice,163.0,actor
Billy Warlock,tv,166.0,actor
Billy Zane,movie,184.0,actor
Bindi Irwin,tv,150.0,show
Bindu Madhavi,movie,,actress
Bindu Madhavi,movie,,actress
Bing Russell,tv,,actor
Birdman,,173.0,rapper
Birgitte Hjort Sorensen,tv,,actress
Birdy,pop,160.0,singer
Biswajit Chatterjee,movie,,actor
Bipasha Basu,movie,170.0,actress
